NQUEST;Y;YL;YL1;YL2;YT;YTP;YTP1;YTP2;YTA;YTA1;YTA11;YTA12;YTA2;YTA3;YTA31;YTA32;YTA4;YTA5;YM;YC;YCA;YCA1;YCA2;YCF;YCF1;YCF2;YCF3;YCF4;CLY;CLY2
930344;49.554.943.514;20000;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15000;14.554.943.514;14400;0;14400;15.494.351.361;15.494.351.361;0;0;0;8;4
930364;95.740.745.211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72000;23.740.745.211;21600;0;21600;21.407.452.114;1.637.232.459;0;19.770.219.655;0;10;5
930407;9.800.653.188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;80.065.318.805;10800;0;10800;-279.346.812;77.471.756.805;0;0;28.709.398.763;10;5
930413;45.543.980.936;40000;40000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.439.809.362;5400;0;5400;14.398.093.624;18.593.221.633;0;53.223.669.517;57.418.797.526;8;4
930419;4.929.009.081;0;0;0;38800;39000;39000;0;-200;0;0;0;0;-200;0;200;0;0;0;1.049.009.081;10200;0;10200;29.009.081.008;92.966.108.166;0;19.712.470.191;0;8;4
930424;1.400.309.887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122000;18.030.988.703;18000;0;18000;30.988.702.722;30.988.702.722;0;0;0;10;5
930432;81.199.686.228;66000;66000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.199.686.228;14400;0;14400;79.968.622.793;67.766.998.922;12.201.623.872;0;0;10;5
930452;50.379.972.974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;37.997.297.411;0;0;0;37.997.297.411;37.997.297.411;0;0;0;8;4
930454;99.527.992.217;50000;40000;10000;2400;0;0;0;2400;0;0;0;0;0;0;0;2400;0;26000;21.127.992.217;20600;8600;12000;52.799.221.668;557.796.649;0;47.221.255.178;0;10;5
930476;28.156.853.882;0;0;0;20800;20800;20800;0;0;0;0;0;0;0;0;0;0;0;0;73.568.538.823;7200;0;7200;15.685.388.226;15.478.142.863;0;207.245.363;0;6;3
930498;40176.27;29200;28000;1200;1800;0;0;0;1800;0;0;0;0;1800;1800;0;0;0;0;9176.27;9150;150;9000;26.27;0;0;26.27;0;7;4
930528;42.015.849.143;0;0;0;24000;24000;24000;0;0;0;0;0;0;0;0;0;0;0;0;18.015.849.143;18000;0;18000;15.849.143.287;15.849.143.287;0;0;0;8;4
930548;24.505.577.966;18500;18500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60.055.779.665;6000;0;6000;557.796.649;557.796.649;0;0;0;5;3
930571;36.285.596.272;23.555.555.556;23555.56;0;66.444.444.444;0;0;0;66.444.444.444;54.444.444.444;44.444.444.444;1000;0;0;0;0;1200;0;0;60.855.962.719;6000;0;6000;85.596.271.947;85.596.271.947;0;0;0;7;4
930576;72.111.765.168;65000;65000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.111.765.168;9600;0;9600;-2.488.234.832;38.270.504.427;0;0;28.709.398.763;10;5
930577;22.076.471.953;18000;18000;0;4000;0;0;0;4000;2000;0;2000;0;0;0;0;0;2000;0;76.471.953.043;0;0;0;76.471.953.043;76.471.953.043;0;0;0;4;2
930580;29.624.377.737;26000;26000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.243.777.373;3600;0;3600;24.377.737.326;24.377.737.326;0;0;0;6;3
930586;19.062.488.447;0;0;0;900;0;0;0;900;0;0;0;0;0;0;0;900;0;180000;9.724.884.472;9600;0;9600;12.488.447.197;12.488.447.197;0;0;0;10;5
