NQUEST;NCOMP;nord;SEX;PARENT;NASC;ANASC;CIT;ANINGR;MOTIV;STACIV;STUDIO;TIPOLAU;VOTOEDU;SUEDU;SELODE;ANNOEDU;TIPODIP;UNIVER;PRESNORD;NORDP;MOTENT;ANNOENUS;B01;APQUAL2;ASNONOC2;NACE2;NESPLAV;EXLAV;ETALAV;DISLAV;DISANN1;DISANN2;CONTRIB;ACONTRIB;FCONTRIB;OCCNOW;PROBLAV1;CERC2;PROBLAV2;SALMIN;SMARTW;SMARTWA;SMARTWB;ETAPEN;COPPU;PREVCOM;COPPIP;b22;b23a;b23b;b24;b25a;b25b;b25c;ATTIVP;ISCO;NACE;ETALAV2;MISCOVID1;MISCOVID2;MISCOVIDV1;ETA;NASCREG;NASCAREA;IREG;PARENTP;smartwa1;CLETA5;QUAL;Q;SETT;CFRED;PERC;PERL;NPERL;NPERC;AREA3;AREA5;ACOM4C;ACOM5;PESOFIT2;PESOFIT
957306;2;1;1;1;1;1947;1;;;1;2;;;;;;;;1;;;;2;16;;;0;;;;;;;;;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;73;19;3;19;;;5;6;3;5;1;1;0;0;1;3;5;3;5;10.263.460.406;0.2528857477
957306;2;2;2;3;1;1954;1;;;1;2;;;;;;;;1;;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;66;19;3;19;;;5;7;3;5;0;0;0;0;1;3;5;3;5;10.263.460.406;0.2528857477
957307;2;1;1;1;1;1946;1;;;1;7;1;110;110;1;1970;2;;1;;;;2;15;5;16;1;;26;2;;;1;44;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;74;19;3;19;;;5;6;3;5;1;1;0;1;2;3;5;3;5;71.399.798.934;0.1759249885
957307;2;2;2;2;1;1971;1;;;1;7;1;107;110;0;1997;3;;2;;;;1;5;;;1;;32;2;;;1;18;0;1;;2;;;2;;;;;2;;1;2;2;2;2;2;2;;2310;15;;2;2;;49;19;3;19;;;3;3;1;3;0;1;1;1;2;3;5;3;5;71.399.798.934;0.1759249885
957313;2;1;1;1;1;1954;1;;;1;5;;40;60;;1973;2;2;1;;;;2;15;4;8;2;1;20;2;;;1;43;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;66;19;3;19;;;5;6;3;5;1;1;0;0;1;3;5;3;5;62.282.131.897;0.1534595826
957313;2;2;2;2;1;1957;1;;;1;5;;45;60;;1975;5;2;2;;;;2;13;;;1;;20;2;;;2;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;63;19;3;19;;;4;7;3;5;0;0;0;0;1;3;5;3;5;62.282.131.897;0.1534595826
957315;2;1;1;1;1;1956;1;;;1;5;;56;60;;1974;2;2;1;;;;1;5;;;1;;18;1;2;;1;42;0;2;;2;;;;;;65;85;2;;1;2;2;2;2;2;2;;1211;11;;2;2;;64;19;3;19;;;4;3;1;4;1;1;1;1;1;3;5;3;5;44.684.153.592;0.1100991785
957315;2;2;2;2;1;1959;1;;;1;5;;46;60;;1977;2;2;2;;;;2;13;;;1;;19;1;32;;2;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;61;19;3;19;;;4;7;3;5;0;0;0;1;1;3;5;3;5;44.684.153.592;0.1100991785
957333;3;1;1;1;1;1961;1;;;1;5;;38;60;;1980;3;2;1;;;;1;8;;;1;;27;2;;;1;30;0;1;100;2;;;2;;;67;50;;;2;1;2;2;2;2;2;;1221;3;;2;2;;59;19;3;19;;;4;5;2;2;1;1;1;1;1;3;5;3;5;17.122.231.282;0.4218819082
957333;3;2;2;2;1;1961;1;;;1;5;;50;60;;1981;5;2;2;;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;59;19;3;19;;;4;7;3;5;0;0;0;1;1;3;5;3;5;17.122.231.282;0.4218819082
957333;3;3;1;6;1;1991;1;;;2;7;7;104;110;0;2018;3;;2;;;;2;11;;;0;;;;;;;;;2;;1;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;29;19;3;19;;;1;7;3;5;0;0;0;1;1;3;5;3;5;17.122.231.282;0.4218819082
957344;5;1;1;1;1;1969;1;;;1;5;;46;60;;1988;3;2;1;;;;1;6;;;1;;19;2;;;1;20;0;1;100;2;;;2;;;67;80;;;2;1;2;2;2;2;2;;3321;11;;2;2;;51;19;3;19;;;3;4;2;4;1;1;1;2;2;3;5;3;5;19.267.751.572;0.4747462913
957344;5;2;2;2;1;1977;1;;;1;7;8;110;110;0;2000;3;;2;;;;1;6;;;1;;25;2;;;1;20;0;1;;2;;;2;;;;;;;2;1;2;2;2;2;2;;2611;15;;2;2;;43;18;3;19;;;2;4;2;3;0;1;1;2;2;3;5;3;5;19.267.751.572;0.4747462913
957344;5;3;2;6;1;2005;1;;;2;3;;;;;;;;2;;;;2;17;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;15;19;3;19;;;1;7;3;5;0;0;0;2;2;3;5;3;5;19.267.751.572;0.4747462913
957344;5;4;1;6;1;2007;1;;;2;3;;;;;;;;2;;;;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;2;;0;;;;;;13;19;3;19;;;1;7;3;5;0;0;0;2;2;3;5;3;5;19.267.751.572;0.4747462913
957344;5;5;2;6;1;2017;1;;;2;1;;;;;;;;;;;;2;18;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;2;;0;;;;;;3;19;3;19;;;1;7;3;5;0;0;0;2;2;3;5;3;5;19.267.751.572;0.4747462913
957386;3;1;1;1;1;1986;1;;;1;5;;68;100;;2004;3;2;1;;;;1;2;;;1;;20;2;;;1;15;0;1;30;2;;;2;;;65;50;2;;1;2;2;2;2;2;2;;3114;19;;2;2;;34;19;3;19;;;1;2;1;4;1;1;1;1;1;3;5;3;5;31.362.680.676;0.7727583719
957386;3;2;2;2;1;1991;1;;;1;5;;80;100;;2010;3;2;2;;;;2;12;2;7;1;;18;;;3;2;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;29;19;3;19;;;1;7;3;5;0;0;0;1;1;3;5;3;5;31.362.680.676;0.7727583719
957386;3;3;1;6;1;2020;1;;;2;1;;;;;;;;;;;;2;18;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;2;;0;;;;;;0;19;3;19;;;1;7;3;5;0;0;0;1;1;3;5;3;5;31.362.680.676;0.7727583719
