NQUEST,NUMADD,NUMDIP,QUOPRO,FORGIU,FATLOR,YM,DEBATT1,NDEBATT1,DEBATT2,NDEBATT2,DEBCOM,TDEBCOM,CREDCOM,TCREDCOM,TFR,IMMOB,VALAZ,IND1,IND2,IND3,IND4,IND5,IND6,ATTIVP1,ATTIVP2,ATTIVP3,ATTIVP4,ATTIVP5,ATTIVP6,MESILAV1,MESILAV2,MESILAV3,MESILAV4,MESILAV5,MESILAV6,ORETOT1,ORETOT2,ORETOT3,ORETOT4,ORETOT5,ORETOT6
855221,3,0,100,8,87000,43000,2,,1,1,2,,2,,,1,120000,1,2,,,,,1,1,,,,,12,11,,,,,50,35,,,,
855752,2,0,100,8,5000,1000,2,,2,,2,,2,,,1,15000,1,2,,,,,2,1,,,,,7,9,,,,,30,10,,,,
855766,2,0,100,8,95000,40000,2,,2,,2,,1,65000,,1,160000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
855803,3,0,100,8,150000,36000,2,,2,,1,10000,1,15000,,1,100000,1,2,3,,,,1,1,1,,,,12,12,12,,,,60,60,60,,,
856008,7,3,45,6,60000,30000,2,,2,,2,,2,,10000,2,10000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
856167,2,0,100,8,30000,22000,2,,2,,2,,2,,,1,20000,1,,,,,,1,,,,,,12,,,,,,30,,,,,
856297,6,4,40,8,80000,60000,2,,2,,2,,1,350000,40000,2,3000000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
856333,4,2,100,9,700000,60000,2,,2,,1,40000,2,,20000,2,500000,1,2,,,,,1,2,,,,,12,12,,,,,60,25,,,,
857110,2,1,100,8,25000,17000,2,,2,,2,,2,,1000,1,30000,1,2,,,,,1,1,,,,,12,12,,,,,48,4,,,,
857343,2,2,100,8,33000,25000,2,,2,,2,,2,,,1,0,1,2,,,,,1,1,,,,,12,12,,,,,60,30,,,,
857405,2,0,100,7,120000,60000,2,,2,,2,,2,,,2,15000,1,2,,,,,1,1,,,,,12,12,,,,,45,45,,,,
857522,3,2,100,8,12000,10000,2,,2,,2,,2,,1000,2,400000,2,,,,,,1,,,,,,12,,,,,,70,,,,,
857754,2,1,100,8,24000,18000,2,,2,,2,,2,,,2,1000,1,2,,,,,1,1,,,,,12,12,,,,,44,24,,,,
858085,3,1,50,1,24000,12000,1,1,2,,2,,2,,500,2,45000,3,,,,,,1,,,,,,11,,,,,,10,,,,,
858205,1,0,10,7,6000,5000,2,,2,,2,,2,,,2,0,2,,,,,,1,,,,,,12,,,,,,40,,,,,
858525,2,0,50,9,42000,22000,2,,2,,2,,2,,,2,90000,1,,,,,,1,,,,,,11,,,,,,55,,,,,
858666,2,0,100,7,25000,15000,2,,2,,2,,2,,,2,120000,1,2,,,,,1,1,,,,,12,12,,,,,65,54,,,,
858847,2,0,100,8,100000,60000,2,,2,,2,,2,,,1,100000,1,2,,,,,1,1,,,,,12,10,,,,,50,30,,,,
