NQUEST,NORD,NORDP,NESPLAV,EXLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,ETALAV2,LAVFATT1,LAVFATT2,LAVFATT3,LAVFATT4,LAVFATT5,LAVFATT6,LAVFATT7,ETAPEN,COPPU,PREVCOM,ANPREVCOM,MPREVCOM1,MPREVCOM,COPPIP,DOCSEZB,ETA,maxan
22286,2,2,2,1,15,1,35,,34,4,2,5,3,1,6,7,60,70,1,2007,1,,90,2,54,44
22292,1,1,1,,14,1,35,,,,,,,,,,,,,,,,,2,75,66
22292,2,2,1,,14,1,40,,,,,,,,,,,,,,,,,2,81,72
22516,1,2,3,1,15,1,20,,36,3,1,2,4,5,6,7,65,70,2,,,,,2,55,45
22516,2,1,2,1,14,1,35,,,,,,,,,,,,,,,,,2,62,53
22624,1,1,1,,14,1,15,,,,,,,,,,,,,,,,,2,53,44
22624,2,2,0,,,,,,,,,,,,,,,,,,,,,2,49,
22624,3,3,1,,14,1,10,,,1,7,3,4,5,2,6,70,70,2,,,,,2,29,20
22624,4,4,3,1,16,2,,,25,,,,,,,,,,2,,,,,2,26,15
22624,5,5,0,,,,,,,,,,,,,,,,,,,,,2,15,
22624,6,6,,,,,,,,,,,,,,,,,,,,,,2,13,
22657,1,1,1,,25,1,30,,,6,2,1,3,4,7,5,65,75,2,,,,,2,59,39
22657,2,2,2,1,20,1,35,,,,,,,,,,,,,,,,,2,64,49
22850,1,1,1,,31,1,30,,,1,4,2,3,5,6,7,65,70,,,,,,2,61,35
22995,1,1,2,1,14,1,37,,,,,,,,,,,,,,,,,2,67,58
22995,2,2,0,,,,,,,,,,,,,,,,,,,,,2,64,
22996,1,1,1,,21,1,36,,,,,,,,,,,,,,,,,2,76,60
22996,2,2,1,,16,1,40,,,,,,,,,,,,,,,,,2,68,57
23193,1,1,1,,21,1,38,,,,,,,,,,,,,,,,,2,80,64
23370,1,1,8,1,16,1,38,,,,,,,,,,,,,,,,,2,68,57
23370,2,2,1,,18,1,3,,,,,,,,,,,,,,,,,2,68,55
23384,1,1,1,,26,1,40,,,,,,,,,,,,,,,,,1,79,58
23490,1,1,1,,22,1,33,,,,,,,,,,,,,,,,,2,73,56
23797,1,1,1,,32,1,12,,,1,7,4,3,2,5,6,70,50,3,,,,,2,55,28
23797,2,2,0,,,,,,,,,,,,,,,,,,,,,2,52,
23797,3,4,0,,,,,,,,,,,,,,,,,,,,,2,21,
23798,1,1,1,,20,1,37,,,,,,,,,,,,,,,,,2,69,54
23798,2,2,0,,,,,,,,,,,,,,,,,,,,,2,65,
23821,1,1,0,,,,,,,,,,,,,,,,,,,,,2,74,
23821,2,2,0,,,,,,,,,,,,,,,,,,,,,2,42,
23823,1,1,0,,,,,,,,,,,,,,,,,,,,,2,73,
23823,2,2,1,,20,1,9,,,,,,,,,,,,3,,,,,2,38,23
23865,1,1,1,,25,1,35,,,,,,,,,,,,,,,,,2,66,46
23865,2,2,0,,,,,,,,,,,,,,,,,,,,,2,60,
23986,1,2,0,,,,,,,,,,,,,,,,,,,,,2,75,
23986,2,1,1,,16,1,35,,,,,,,,,,,,,,,,,2,81,70
24010,1,2,0,,,,,,,,,,,,,,,,,,,,,2,76,
24147,1,1,2,1,20,1,35,,,,,,,,,,,,,,,,,2,62,47
24147,2,2,1,,16,1,36,,,,,,,,,,,,2,,,,,2,52,41
24149,1,1,1,,15,1,40,,,,,,,,,,,,,,,,,2,87,77
24158,1,1,5,1,20,1,24,,,,,,,,,,,,,,,,,2,75,60
24158,2,10,1,,24,1,7,,,,,,,,,,,,3,,,,,2,31,12
24171,1,1,3,3,15,1,40,,37,5,2,6,3,7,1,4,74,50,,,,,,2,71,61
24194,1,1,5,1,15,1,40,,24,4,1,2,3,5,7,6,59,80,2,,,,,2,58,48
24194,2,2,1,,18,1,20,,,5,2,4,1,3,7,6,60,50,2,,,,,2,50,37
24194,3,3,3,1,20,1,2,,22,,,,,,,,,,2,,,,,2,26,11
24194,4,4,1,,19,1,,3,,,,,,,,,,,2,,,,,2,20,6
24195,1,1,2,3,15,1,15,,,,,,,,,,,,,,,,,2,58,48
24195,2,2,2,1,15,1,37,,,,,,,,,,,,,,,,,2,74,64
24202,1,1,1,,25,2,,,,,,,,,,,,,,,,,,2,76,56
24202,2,2,5,3,22,1,20,,22,,,,,,,,,,3,,,,,2,46,29
24326,1,1,1,,21,1,36,,,,,,,,,,,,,,,,,1,86,70
24374,1,1,2,3,15,1,25,,,,,,,,,,,,,,,,,2,53,43
24374,2,10,2,1,8,1,35,,,,,,,,,,,,,,,,,2,64,61
24374,3,2,2,1,16,1,10,,21,,,,,,,,,,2,,,,,2,32,21
24374,4,3,2,1,18,1,10,,29,,,,,,,,,,2,,,,,2,29,16
24379,1,1,0,,,,,,,,,,,,,,,,,,,,,2,71,
24382,1,1,2,1,13,1,34,,,,,,,,,,,,,,,,,2,70,62
24382,2,2,2,1,32,1,10,,40,1,3,6,2,4,5,7,65,50,2,,,,,2,61,34
24393,1,1,0,,,,,,,,,,,,,,,,,,,,,2,79,
24529,1,2,3,1,18,1,15,,,,,,,,,,,,,,,,,1,59,46
24529,2,1,2,3,27,1,36,,,,,,,,,,,,,,,,,1,63,41
24529,3,3,6,1,19,1,13,,22,,,,,,,,,,3,,,,,1,32,18
24529,4,4,3,1,16,1,4,,24,,,,,,,,,,3,,,,,1,27,16
24616,1,1,2,1,15,1,37,,,,,,,,,,,,,,,,,2,71,61
24616,2,2,2,1,22,1,38,,,,,,,,,,,,,,,,,2,65,48
24760,1,1,1,,10,2,,,,,,,,,,,,,,,,,,2,90,85
24764,1,2,0,,,,,,,,,,,,,,,,,,,,,2,44,
24764,2,1,1,,18,1,26,,,,,,,,,,,,2,,,,,2,47,34
24764,3,3,,,,,,,,,,,,,,,,,,,,,,2,14,
24764,4,4,,,,,,,,,,,,,,,,,,,,,,2,12,
24764,5,5,,,,,,,,,,,,,,,,,,,,,,2,3,
24809,1,1,0,,,,,,,,,,,,,,,,,,,,,2,71,
24809,2,2,1,,32,1,32,,,,,,,,,,,,,,,,,2,80,53
24853,1,1,1,,21,1,32,,,1,4,7,3,2,6,5,54,100,,,,,,2,53,37
24853,2,2,1,,30,1,20,,,,,,,,,,,,1,2007,2,,,2,48,23
24853,3,3,0,,,,,,,,,,,,,,,,,,,,,2,19,
24885,1,1,0,,,,,,,,,,,,,,,,,,,,,2,77,
24924,1,1,1,,18,1,28,,,2,3,1,5,6,7,4,70,50,,,,,,1,46,33
24924,2,2,1,,22,1,26,,,1,2,3,5,4,6,7,65,20,,,,,,1,50,33
24924,3,3,1,,20,1,,9,,,,,,,,,,,2,,,,,1,21,6
24924,4,4,0,,,,,,,,,,,,,,,,,,,,,1,19,
24984,1,1,0,,,,,,,,,,,,,,,,,,,,,2,54,
24984,2,2,1,,14,1,40,,,,,,,,,,,,,,,,,2,56,47
24984,3,3,1,,14,1,40,,,,,,,,,,,,,,,,,2,86,77
24984,4,4,1,,27,1,3,,,,,,,,,,,,2,,,,,2,30,8
25007,1,1,1,,23,1,15,,,,,,,,,,,,,,,,,2,76,58
25138,1,1,1,,18,1,40,,,,,,,,,,,,,,,,,2,60,47
25138,2,2,0,,,,,,,,,,,,,,,,,,,,,2,54,
25138,3,3,0,,,,,,,,,,,,,,,,,,,,,2,27,
25148,1,1,1,,26,1,32,,,1,4,5,3,7,6,2,63,70,2,,,,,2,60,39
25148,2,2,1,,28,1,20,,,,,,,,,,,,2,,,,,2,48,25
25148,3,3,0,,,,,,,,,,,,,,,,,,,,,2,25,
25245,1,2,3,3,23,1,10,,26,5,1,2,3,6,7,4,65,50,2,,,,,2,39,21
25245,2,1,3,1,18,1,10,,,,,,,,,,,,,,,,,2,42,29
25245,3,3,1,,20,1,1,,,,,,,,,,,,,,,,,2,22,7
25245,4,4,0,,,,,,,,,,,,,,,,,,,,,2,15,
25435,1,1,1,,20,1,34,,,,,,,,,,,,,,,,,2,54,39
25435,2,2,1,,30,1,15,,,,,,,,,,,,3,,,,,2,46,21
25435,3,3,,,,,,,,,,,,,,,,,,,,,,2,11,
25625,1,1,1,,46,1,15,,,,,,,,,,,,,,,,,2,85,44
25930,1,1,1,,21,1,37,,,,,,,,,,,,,,,,,2,64,48
25930,2,2,1,,15,1,15,,,,,,,,,,,,,,,,,2,62,52
25968,1,1,2,1,17,1,36,,,,,,,,,,,,,,,,,2,69,57
25968,2,2,2,1,37,1,28,,,,,,,,,,,,,,,,,2,66,34
25970,1,1,2,1,15,1,35,,,,,,,,,,,,,,,,,2,83,73
25970,2,2,0,,,,,,,,,,,,,,,,,,,,,2,79,
26048,1,1,1,,20,1,35,,,,,,,,,,,,,,,,,1,68,53
26048,2,2,0,,,,,,,,,,,,,,,,,,,,,1,66,
