NQUEST,NORD,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,MOTIV,ANNOENUS,TIPOLAU,TIPODIP,NASCREG,NASCAREA,IREG,NCOMP,ETA,CLETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
865999,2,2,2,1965,1,,2,1,5,60,60,2,1986,2,,,13,,,,,,3,,,20,5,45,3,3,7,3,,5,0,0,1,3,5,0,1.1794116791
865999,3,1,6,1997,1,,2,2,3,,,,,,,,17,,,,,,,20,3,20,5,13,1,1,7,3,,5,0,0,1,3,5,0,1.1794116791
865999,4,2,6,1998,1,,2,2,2,,,,,,,,17,,,,,,,20,3,20,5,12,1,1,7,3,,5,0,0,1,3,5,0,1.1794116791
865999,5,2,6,2000,1,,2,2,2,,,,,,,,17,,,,,,,20,3,20,5,10,1,1,7,3,,5,0,0,1,3,5,0,1.1794116791
866000,1,1,1,1935,1,,2,1,3,,,,,,,,15,1,3,,,,,20,3,20,2,75,5,5,6,3,3,5,1,1,2,3,5,0,1.0636635898
866000,2,2,2,1941,1,,2,1,2,,,,,,,,16,,,,,,,20,3,20,2,69,5,5,6,3,,5,0,1,2,3,5,0,1.0636635898
866007,1,2,1,1963,1,,2,1,3,,,,,,,,1,,20,,,,,3,1,20,2,47,3,3,1,1,20,4,0,1,2,3,5,0,0.9108714097
866007,2,1,2,1959,1,,2,1,3,,,,,,,,1,,6,,,,,3,1,20,2,51,4,3,1,1,6,4,1,1,2,3,5,0,0.9108714097
866009,1,2,1,1947,1,,2,4,2,,,,,,,,15,8,1,,,,,20,3,20,4,63,4,4,6,3,1,5,0,1,3,3,5,0,1.1286192532
866009,2,1,8,1977,1,,2,1,3,,,,,,,,1,,19,,,,,20,3,20,4,33,2,1,1,1,19,4,1,1,3,3,5,0,1.1286192532
866009,3,2,7,1983,1,,2,1,5,100,100,2,2002,2,,,8,,7,,,,2,20,3,20,4,27,1,1,5,2,7,4,0,1,3,3,5,0,1.1286192532
866009,4,2,9,2008,1,,2,2,1,,,,,,,,18,,,,,,,20,3,20,4,2,1,1,7,3,,5,0,0,3,3,5,0,1.1286192532
866010,1,2,1,1937,1,,2,2,5,38,60,2,1957,2,,,15,3,16,,,,1,20,3,20,3,73,5,5,6,3,16,5,1,1,3,3,5,0,1.0753136684
866010,2,2,11,1938,1,,2,2,2,,,,,,,,15,8,1,,,,,20,3,20,3,72,5,5,6,3,1,5,0,1,3,3,5,0,1.0753136684
866010,3,2,11,1932,1,,5,2,2,,,,,,,,16,,,,,,,20,3,20,3,78,5,5,6,3,,5,0,1,3,3,5,0,1.0753136684
866012,1,1,1,1943,1,,3,2,2,,,,,,,,15,8,19,,,,,20,3,20,1,67,5,5,6,3,19,5,1,1,1,3,5,0,1.0521141623
866015,1,1,1,1943,1,,2,1,5,60,60,2,1964,2,,,15,1,2,,,,1,20,3,20,2,67,5,5,6,3,2,5,1,1,2,3,5,0,0.9578806065
866015,2,2,2,1948,1,,2,1,5,60,60,2,1968,2,,,15,3,16,,,,1,20,3,20,2,62,4,4,6,3,16,5,0,1,2,3,5,0,0.9578806065
866024,1,1,1,1953,1,,2,1,3,,,,,,,,1,,2,,,,,19,3,19,2,57,4,4,1,1,2,2,1,1,1,3,5,2,0.7300005508
866024,2,2,2,1954,1,,2,1,3,,,,,,,,13,,,,,,,19,3,19,2,56,4,4,7,3,,5,0,0,1,3,5,2,0.7300005508
866025,1,1,1,1964,1,,1,1,7,104,110,2,1988,,,,8,,19,,,8,3,19,3,19,2,46,3,3,5,2,19,4,1,1,1,3,5,2,0.9461248754
866025,2,2,2,1972,1,,2,1,5,45,60,2,1991,1,,,13,,,,,,3,19,3,19,2,38,2,2,7,3,,5,0,0,1,3,5,2,0.9461248754
866027,1,2,1,1952,1,,2,4,3,,,,,,,,16,,,,,,,19,3,19,1,58,4,4,6,3,,5,1,1,1,3,5,2,0.7379960899
866028,1,1,1,1947,1,,2,1,7,98,110,2,1972,,,,3,,15,,,1,2,19,3,19,2,63,4,4,2,1,15,3,1,1,2,3,5,2,0.7300005508
866028,2,2,2,1950,1,,2,1,7,107,110,2,1972,,,,15,3,15,,,1,3,19,3,19,2,60,4,4,6,3,15,5,0,1,2,3,5,2,0.7300005508
866029,1,2,1,1944,1,,2,1,5,52,60,2,1963,1,,,15,3,16,,,,5,19,3,19,2,66,5,5,6,3,16,5,0,1,2,3,5,2,0.9032105908
866029,2,1,2,1944,1,,2,1,5,48,60,2,1963,1,,,8,,7,,,,3,19,3,19,2,66,5,5,5,2,7,4,1,1,2,3,5,2,0.9032105908
866033,1,2,1,1939,1,,3,2,5,50,60,2,1958,2,,,13,,,,,,3,19,3,19,2,71,5,5,7,3,,5,0,0,1,3,5,2,0.9032105908
866033,2,1,3,1929,1,,5,1,7,110,120,2,1956,,,,15,5,11,,,7,3,19,3,19,2,81,5,5,6,3,11,5,1,1,1,3,5,2,0.9032105908
866034,1,1,1,1950,1,,4,1,3,,,,,,,,16,,,,,,,19,3,19,3,60,4,4,6,3,,5,1,1,2,3,5,2,0.8365507471
866034,2,2,2,1960,1,,2,1,2,,,,,,,,1,,1,,,,,19,3,19,3,50,3,3,1,1,1,1,0,1,2,3,5,2,0.8365507471
866034,3,1,6,1989,1,,1,2,3,,,,,,,,11,,,,,,,19,3,19,3,21,1,1,7,3,,5,0,0,2,3,5,2,0.8365507471
866035,1,1,1,1943,1,,2,1,2,,,,,,,,15,1,6,,,,,19,3,19,2,67,5,5,6,3,6,5,1,1,1,3,5,2,0.8133849056
866035,2,2,2,1949,1,,2,1,2,,,,,,,,13,,,,,,,19,3,19,2,61,4,4,7,3,,5,0,0,1,3,5,2,0.8133849056
866037,1,2,1,1945,1,,3,1,5,36,60,2,1966,2,,,2,,16,,,,2,19,3,19,4,65,4,5,2,1,16,3,0,1,3,3,5,2,0.9603265876
866037,2,1,2,1945,1,,3,1,5,36,60,2,1966,2,,,15,2,19,,,,2,19,3,19,4,65,4,5,6,3,19,5,1,1,3,3,5,2,0.9603265876
866037,3,1,6,1974,1,,2,2,7,110,110,1,2009,,,,11,,,,,6,3,19,3,19,4,36,2,2,7,3,,5,0,0,3,3,5,2,0.9603265876
866037,4,2,4,1925,1,,5,4,2,,,,,,,,16,,,,,,,19,3,19,4,85,5,5,6,3,,5,0,1,3,3,5,2,0.9603265876
866041,1,2,1,1951,1,,2,1,3,,,,,,,,13,,,,,,,19,3,19,2,59,4,4,7,3,,5,0,0,1,3,5,2,0.7300005508
866041,2,1,2,1949,1,,2,1,3,,,,,,,,15,4,3,,,,,19,3,19,2,61,4,4,6,3,3,5,1,1,1,3,5,2,0.7300005508
866044,1,1,1,1970,1,,2,1,5,44,60,2,1988,1,,,7,,19,,,,3,9,2,19,3,40,2,2,4,2,19,4,1,1,2,3,5,2,1.0675995283
866044,2,2,2,1978,1,,2,1,5,37,60,2,1996,2,,,2,,19,,,,3,15,3,19,3,32,2,1,2,1,19,4,0,1,2,3,5,2,1.0675995283
866044,3,1,6,2006,1,,1,2,1,,,,,,,,18,,,,,,,19,3,19,3,4,1,1,7,3,,5,0,0,2,3,5,2,1.0675995283
866047,1,1,1,1940,1,,4,1,2,,,,,,,,15,1,6,,,,,19,3,19,3,70,5,5,6,3,6,5,0,1,3,3,5,2,0.9429196059
866047,2,2,2,1945,1,,2,1,2,,,,,,,,15,1,3,,,,,19,3,19,3,65,4,5,6,3,3,5,0,1,3,3,5,2,0.9429196059
866047,3,1,6,1984,1,,1,2,3,,,,,,,,2,,19,,,,,19,3,19,3,26,1,1,2,1,19,4,1,1,3,3,5,2,0.9429196059
866052,1,1,1,1967,1,,3,1,3,,,,,,,,12,1,4,,,,,19,3,19,4,43,3,2,7,3,4,5,1,1,1,3,5,2,1.0891707229
866052,2,2,2,1972,1,,2,1,3,,,,,,,,12,1,17,,,,,19,3,19,4,38,2,2,7,3,17,5,0,0,1,3,5,2,1.0891707229
866052,3,2,6,1995,1,,2,2,3,,,,,,,,17,,,,,,,19,3,19,4,15,1,1,7,3,,5,0,0,1,3,5,2,1.0891707229
866052,4,1,6,2001,1,,2,2,1,,,,,,,,17,,,,,,,19,3,19,4,9,1,1,7,3,,5,0,0,1,3,5,2,1.0891707229
866053,1,1,1,1947,1,,4,1,2,,,,,,,,16,,,,,,,19,3,19,4,63,4,4,6,3,,5,0,1,3,3,5,2,0.8984505133
866053,2,2,2,1955,1,,2,1,2,,,,,,,,13,,,,,,,19,3,19,4,55,4,4,7,3,,5,0,0,3,3,5,2,0.8984505133
866053,3,2,6,1975,1,,2,2,5,80,100,2,1994,1,,,1,,7,,,,3,19,3,19,4,35,2,2,1,1,7,4,1,1,3,3,5,2,0.8984505133
