NQUEST,ANABIT,GODABIT,UNIPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS,IMPACQ,FITTONOP,TFITTONOP,TFITTO,TIPOAFF,DFITTOM,TFITTOM,PROPRIET,TFITIMP,UBIC1,SUPAB,ANCOSTR,BAGNI,VALABIT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,ANTIC,ANTICIPI,MANSTRA,TMANSTRA,MANSTR2,TMANSTR2,ENERGIA,TENERGIA,DEBITA1,NDEBITA1,DEBITA2,NDEBITA2,CHIFINCONS,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR,MUTUOE,FMUTRIF,MUTUORIF,REAPMUT,MUTUORIC,DOCSEZD,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,QUOPRO
22516,1995,3,2,1995,0,1,0,0,0,0,0,0,0,7,5000,2,,,,,,,300,2,80,1980,1,70000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,75
22624,2005,1,1,2005,1,1,0,0,0,0,0,0,0,4,,,,,,,,,700,1,90,2004,2,450000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,1,5000,2,,,,,2,2,0,,0,,0,,0,,100
22657,2001,1,1,2000,1,1,0,0,0,0,0,0,0,1,370000,,,,,,,,1500,2,300,1994,2,800000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
22850,1964,1,1,1963,1,0,0,0,0,0,0,0,0,5,2500,,,,,,,,800,2,200,1958,2,350000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
22995,1970,1,1,1970,1,1,0,0,0,0,0,0,0,4,,,,,,,,,1800,1,250,1895,2,500000,2,,2,,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
22996,1934,1,1,1934,1,0,0,0,0,0,0,0,0,4,,,,,,,,,500,6,100,1900,1,200000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
23193,1995,2,,,,,,,,,,,,,,,,485,1,2,,4,,4,110,1931,1,380000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
23370,1988,2,,,,,,,,,,,,,,,,220,1,1,450,7,,2,82,1975,1,100000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
23384,1939,1,1,1964,1,0,0,0,0,0,0,0,0,6,,,,,,,,,700,4,110,1934,1,200000,2,,2,,2,,2,,2,,1,3000,2,,2,,2,,,,,,2,,2,,2,,,,,2,1,0,,0,,0,,0,,100
23490,1958,1,1,1996,1,0,0,0,0,0,0,0,0,4,,,,,,,,,600,3,80,1958,1,100000,2,,2,,2,,2,,2,,1,3000,2,,1,3000,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
23797,1987,4,,,,,,,,,,,,,,,,,,,,5,800,4,70,1950,1,700000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
23798,1970,2,,,,,,,,,,,,,,,,380,1,2,,4,,4,80,1900,1,200000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
23821,1959,1,1,1959,1,0,0,0,0,0,0,0,0,1,20000,,,,,,,,300,3,70,1950,1,130000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
