NQUEST,DEBM21,DEBRF21,TDEBITA21,TMUTUOAB21,MUTUOIN21,ANMUTUO21,MUTUODU21,TIPOTAX21,DEBGAR21_1,DEBGAR21_2,DEBGAR21_3,DEBGAR21_4,DEBPERS21,DEBM22,DEBRF22,TDEBITA22,TMUTUOAB22,MUTUOIN22,ANMUTUO22,MUTUODU22,TIPOTAX22,DEBGAR22_1,DEBGAR22_2,DEBGAR22_3,DEBGAR22_4,DEBPERS22,DEBM23,DEBRF23,TDEBITA23,TMUTUOAB23,MUTUOIN23,ANMUTUO23,MUTUODU23,TIPOTAX23,DEBGAR23_1,DEBGAR23_2,DEBGAR23_3,DEBGAR23_4,DEBPERS23,TAXFIS21,TAXVAR21,TAX21,TAXFIS22,TAXVAR22,TAX22,TAXFIS23,TAXVAR23,TAX23
801434,1,2,142000,7200,170000,2006,25,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,
804172,1,2,32000,6000,40000,2008,7,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
805932,1,2,130000,2500,130000,2010,30,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
806591,1,2,215000,12200,235000,2006,30,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,0,,,,,,
806661,1,2,45000,7200,80000,2003,15,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
811903,1,2,120000,9000,130000,2010,20,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,0,,,,,,
813026,1,2,23000,6000,30000,2009,5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,0,,,,,,
814868,1,2,80000,6000,100000,2006,25,2,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,
819330,1,2,25000,5000,50000,2000,15,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
851844,2,2,7000,3000,10000,2007,7,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
851863,2,2,10000,5000,10000,2009,3,2,0,0,1,0,1,2,2,15000,5000,15000,2010,2,1,0,0,1,0,1,2,2,5000,3000,8000,2009,3,2,0,0,1,0,1,,,1,,,1,,,1
852030,1,2,15000,6000,50000,1995,20,4,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853629,1,2,500,950,10000,2003,8,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853778,3,2,60000,6000,70000,2008,15,1,1,0,0,0,,2,2,80000,7400,80000,2008,20,1,1,0,0,0,,,,,,,,,,,,,,,,,1,,,1,,,
853979,1,2,70000,6000,80000,2009,15,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,0,,,,,,
854862,1,2,60000,6000,80000,2006,20,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
