NQUEST,CHKCC,CHKTIPO,PINT1,PINT11,PINT2,PINT21,PBORS1,PBORS11,PBORS2,PBORS21,PCAS1,PCAS11,PCAS2,PCAS21,ASPASS,ASPTAX
858390,1,1,10,,0,,5,,0,,80,,0,,1,3
858396,3,1,,2,,,0,,,,3,,4,,2,2
858397,3,1,,2,,,,2,,,,2,,,4,4
858479,4,1,,1,,,,1,,,20,,10,,1,3
858481,4,1,2,,1,,5,,5,,10,,10,,1,3
858492,4,3,4,,2,,5,,3,,10,,6,,2,2
858504,3,3,15,,10,,10,,4,,10,,5,,1,3
858506,4,3,5,,2,,10,,4,,10,,5,,2,2
858514,3,1,25,,10,,10,,0,,30,,0,,1,3
858530,4,3,50,,50,,50,,,1,60,,50,,2,2
858535,3,1,40,,50,,0,,,,30,,50,,3,2
858570,,,,1,,,,1,,,,1,,,1,1
858585,1,3,60,,80,,,1,,,0,,,,2,3
858607,1,2,90,,90,,80,,30,,10,,0,,3,3
858677,3,2,80,,80,,20,,0,,30,,0,,1,3
858714,4,3,,1,,,10,,5,,0,,,,1,2
858722,4,2,10,,5,,4,,0,,10,,2,,4,2
858725,3,1,2,,,1,0,,,,20,,0,,2,4
858728,4,3,,1,,,,1,,,30,,,1,3,1
858736,,,50,,10,,0,,,,10,,,1,1,3
858751,4,2,20,,,1,0,,,,20,,20,,1,3
858763,1,2,95,,95,,90,,50,,0,,,,1,3
858765,5,6,,1,,,,1,,,,1,,,2,3
858769,2,3,0,,,,1,,,1,30,,30,,1,2
858778,3,3,,1,,,,1,,,0,,,,1,2
858784,3,3,,1,,,,1,,,50,,,1,1,2
858786,1,3,70,,70,,60,,,1,90,,,1,3,3
858787,1,1,65,,65,,0,,,,0,,,,1,3
858800,,,,1,,,,1,,,,1,,,1,3
858810,1,2,10,,10,,0,,,,0,,,,1,3
858815,3,1,50,,50,,,1,,,0,,,,1,3
858847,3,1,,1,,,,1,,,0,,,,1,3
858893,4,3,90,,,1,10,,0,,20,,0,,1,3
858899,3,1,,1,,,,1,,,,1,,,4,4
858916,4,1,,1,,,,1,,,,1,,,4,4
858932,4,1,,1,,,,1,,,,1,,,4,4
858946,3,3,50,,70,,10,,10,,0,,,,1,3
858999,2,1,20,,5,,10,,0,,40,,20,,1,3
859006,3,2,5,,2,,3,,0,,5,,0,,2,3
859022,3,2,5,,2,,5,,0,,5,,3,,2,3
859039,4,3,2,,0,,3,,0,,,1,,,2,2
859061,,,,1,,,,1,,,,1,,,4,2
859074,3,2,10,,5,,5,,2,,10,,5,,2,3
859080,3,1,20,,0,,10,,5,,30,,10,,1,3
859083,3,3,5,,5,,5,,0,,10,,5,,2,3
859084,3,1,,1,,,,1,,,35,,15,,2,2
859127,4,3,10,,5,,10,,2,,10,,5,,2,2
859165,3,2,5,,2,,5,,2,,6,,3,,2,2
859191,2,2,,1,,,,1,,,,1,,,1,3
859200,2,2,,1,,,,1,,,,1,,,1,3
859203,1,2,,1,,,5,,2,,2,,5,,1,3
859212,1,2,,1,,,,1,,,,1,,,2,2
859214,3,1,5,,1,,10,,1,,15,,10,,1,3
859237,3,3,,1,,,,1,,,,1,,,1,2
859245,1,1,100,,100,,50,,30,,50,,50,,1,3
859258,4,3,,1,,,,1,,,,1,,,1,2
859266,2,1,,1,,,,1,,,0,,,,1,3
859273,3,3,0,,,,,1,,,,1,,,2,4
859282,3,1,0,,,,0,,,,0,,,,1,3
859283,4,3,,1,,,,1,,,,1,,,2,2
859286,4,2,0,,,,0,,,,0,,,,3,3
859288,2,2,0,,,,2,,0,,5,,0,,1,3
859290,3,5,100,,75,,,1,,,0,,,,2,2
859293,3,2,2,,2,,50,,20,,1,,0,,2,3
859299,,,,1,,,,1,,,,1,,,4,4
859306,3,2,50,,,1,,1,,,,1,,,1,3
859339,3,2,,1,,,,1,,,,1,,,2,2
859355,2,2,,1,,,,1,,,,1,,,2,2
859358,,,,1,,,,1,,,,1,,,2,2
859360,2,2,,1,,,,1,,,,1,,,2,2
859364,,,,1,,,,1,,,,1,,,2,2
859384,,,,1,,,,1,,,,1,,,2,2
859398,4,3,,1,,,,1,,,,1,,,2,2
859400,1,2,100,,0,,100,,,1,50,,,1,1,3
859429,3,3,100,,,1,,1,,,,1,,,1,2
859430,4,1,100,,0,,,2,,,,1,,,1,2
859449,2,2,0,,,,0,,,,20,,10,,1,3
859456,1,1,80,,25,,25,,10,,0,,,,1,3
859461,4,1,0,,,,10,,0,,,1,,,1,4
859473,3,2,0,,,,,1,,,0,,,,2,3
859489,3,2,50,,50,,0,,,,40,,50,,2,2
859495,,,,1,,,,1,,,5,,5,,2,2
859501,2,1,80,,50,,30,,,1,60,,60,,2,2
859508,,,20,,30,,1,,1,,30,,30,,2,3
859510,3,2,10,,,1,10,,,1,15,,,1,2,2
859515,,,,1,,,,1,,,,1,,,2,3
859517,3,2,,1,,,,1,,,,1,,,2,2
859520,3,2,20,,30,,5,,5,,1,,1,,2,3
859527,2,2,,1,,,,1,,,,1,,,2,2
859537,4,1,20,,5,,,1,,,0,,,,2,3
859566,2,1,0,,,,,1,,,0,,,,2,2
859575,2,3,0,,,,0,,,,80,,100,,1,3
859578,,,,1,,,,1,,,70,,100,,1,3
859585,,,50,,100,,10,,20,,100,,100,,1,3
859586,2,1,90,,,2,0,,,,100,,100,,1,3
859587,2,1,,1,,,0,,,,7,,10,,1,1
859588,,,,1,,,,1,,,,1,,,1,3
859591,,,80,,100,,0,,,,100,,50,,2,3
859592,2,3,30,,100,,0,,,,100,,100,,1,3
859616,2,1,50,,100,,1,,0,,70,,100,,1,2
859619,2,1,,1,,,,1,,,60,,100,,3,2
859628,1,1,0,,,,0,,,,40,,100,,2,2
859634,3,2,,2,,,,2,,,,2,,,2,5
859648,3,2,,1,,,,1,,,,1,,,2,2
859660,2,1,1,,50,,50,,,2,,2,,,2,3
859668,,,,2,,,,1,,,,1,,,2,2
859674,,,,1,,,,1,,,,1,,,3,3
859714,2,1,80,,50,,0,,,,0,,,,1,3
859717,3,1,,1,,,,1,,,,1,,,4,4
859720,3,1,50,,,1,20,,0,,0,,,,2,3
859728,1,1,80,,80,,20,,0,,10,,0,,3,3
859730,2,3,,1,,,,1,,,,1,,,2,2
859732,4,4,30,,,1,,1,,,5,,0,,1,3
859734,1,3,30,,20,,0,,,,70,,40,,1,3
859746,4,1,,1,,,,1,,,0,,,,1,3
859776,2,1,2,,0,,0,,,,0,,,,2,3
859779,3,4,0,,,,0,,,,0,,,,1,3
859795,4,1,10,,30,,20,,15,,40,,5,,1,3
859845,3,1,30,,50,,0,,,,0,,,,1,3
859856,3,1,,1,,,,1,,,30,,100,,1,3
859888,2,3,,1,,,,1,,,,1,,,2,2
