NQUEST,NORD,INTPER,ATTIVP,PARTIME,CONTRATT,TUTTANNO,MESILAV,PUBBLICO,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,OREDES
31868,1,1,1,2,2,1,12,1,,30,1,7,9000,2,0,40
32028,1,1,1,1,1,2,9,1,,36,2,,21600,2,0,38
32028,3,1,1,1,1,2,2,2,4,40,2,,3400,2,0,
32033,1,1,1,1,1,1,12,1,,38,2,,20280,2,0,45
32057,3,1,1,1,1,1,12,2,4,40,2,,25350,2,0,
32206,1,1,2,2,2,3,,2,1,12,2,,3600,2,0,
32206,2,1,1,1,3,1,12,2,2,40,2,,8400,2,0,
32209,3,1,1,1,1,1,12,2,2,40,2,,15000,2,0,
32210,2,1,2,1,2,2,3,2,2,40,2,,4100,2,0,
32210,3,1,2,1,2,2,2,2,1,40,2,,2000,2,0,
32288,1,1,1,1,1,1,12,2,2,40,2,,22000,2,0,40
32288,2,1,1,1,2,1,12,1,,36,2,,12000,2,0,
32288,3,1,1,1,1,1,12,2,5,40,1,2,17000,1,1000,
32320,1,1,1,1,1,1,12,1,,24,2,,22000,2,0,30
32320,2,1,1,1,1,1,12,2,6,30,2,,31000,2,0,
32438,1,1,1,2,2,1,12,1,,20,2,,7000,2,0,40
32438,2,2,1,1,1,1,12,2,1,40,1,2,5000,2,0,40
32668,3,1,1,1,1,2,3,2,2,40,2,,3000,2,0,
32709,2,2,2,2,1,1,12,2,4,20,2,,9600,2,0,
32709,3,3,1,1,1,1,12,2,7,44,1,4,30000,2,0,
32709,4,4,1,1,2,1,12,1,,18,2,,16000,2,0,
32713,1,1,1,2,1,1,12,2,2,20,2,,10000,2,0,20
32713,3,3,1,1,1,1,12,1,,24,2,,14950,2,0,
32734,1,1,1,1,1,1,12,2,2,40,1,2,24000,2,0,50
32734,2,1,1,2,1,1,12,2,7,35,2,,15000,2,0,
32764,2,1,1,2,1,1,12,2,3,30,2,,12500,2,0,
32765,1,1,1,1,1,1,12,1,,36,2,,21000,1,200,30
32765,2,2,1,1,1,1,12,2,5,40,1,2,28000,1,1000,40
32822,3,1,1,1,1,1,12,1,,40,2,,13150,2,0,
32861,3,1,1,1,2,1,12,2,2,40,2,,13000,2,0,
33036,3,1,1,1,2,3,,2,1,36,2,,8500,2,0,
33038,2,2,1,1,2,1,12,1,,36,1,20,16000,2,0,40
33328,4,1,1,2,1,1,12,2,5,20,2,,5000,2,0,40
33328,5,1,1,1,2,1,12,2,2,40,2,,13000,2,0,
33328,6,1,1,2,2,2,6,2,1,10,2,,2000,2,0,
33335,1,1,1,1,1,1,12,1,,36,1,2,17000,2,0,36
33335,2,2,1,1,1,1,12,2,2,40,1,1,12000,2,0,
33335,3,1,1,1,2,1,12,2,1,40,2,,12000,2,0,
33335,4,1,1,1,2,1,12,2,6,40,1,1,13000,1,500,
33451,1,1,1,1,1,1,12,2,7,40,1,0,20000,2,0,40
33773,1,1,1,1,1,1,12,1,,30,2,,16000,2,0,30
33777,2,1,1,2,2,1,12,1,,20,2,,8000,2,0,
33778,1,1,2,2,2,2,4,1,,18,2,,3000,2,0,36
