NQUEST,QUEST,NQUESTP,CONTINT,NOPCF,STUPCF,CONPCF,SETPCF,ANAPCF,CITPCF,NOMCF,STUMCF,CONMCF,SETMCF,ANAMCF,CITMCF,VITGEN,NGEN,VITF,NFRAT,NSORE,FIGLI,NFIGLI,PRIMOGE,PRIMOSEX,PRIMOANASC,NFIGLINOIT,PARNOIT,ANCONV,CAPI
858763,1,,1,1,2,1,4,1919,,1,2,9,,1917,,2,,2,,,2,,,,,,2,,1
858765,1,,1,2,,,,,,2,,,,,,2,,1,0,2,1,2,2,2,1947,,,,1
858769,2,,1,1,3,8,4,1947,,1,3,1,4,1951,,1,3,1,3,1,2,,,,,,,1994,1
858770,2,,1,1,2,1,4,1924,,1,2,9,,1925,,1,3,2,,,1,1,2,1,1981,,,1980,1
858778,2,,1,2,,,,,,1,1,1,4,1906,,2,,1,1,0,1,1,2,1,1958,,,,1
858784,2,,1,1,1,1,1,1880,,2,,,,,,2,,1,8,5,1,3,2,1,1953,,,1952,1
858786,2,,1,1,3,1,2,1941,,1,7,1,2,1945,,1,2,1,4,3,2,,,,,,,1998,1
858787,2,,3,1,3,8,4,1930,,1,4,9,,1936,,1,2,1,1,1,2,,,,,,,1994,1
858799,1,,1,1,1,1,4,1908,,1,1,9,,1910,,2,,1,1,0,1,2,2,2,1966,,,1965,1
858800,1,,3,1,1,8,1,1905,,1,1,9,,1915,,2,,1,2,2,1,3,2,2,1962,,,1961,1
858808,1,,2,1,1,8,1,1914,,1,1,8,1,,,1,1,1,1,3,1,2,2,1,1976,,,1975,1
858810,1,,3,1,1,1,2,1912,,1,1,9,,1922,,1,1,1,1,3,1,2,2,1,1975,,,1974,1
858811,2,,4,1,3,2,3,1939,,1,2,9,,1933,,1,4,1,1,1,2,,,,,,,1993,1
858815,2,,3,1,2,1,3,1920,,1,2,9,,1926,,2,,1,3,0,1,2,2,1,1970,,,1969,1
858830,2,,1,1,1,1,1,1957,2,1,1,9,,1960,2,1,4,1,4,4,2,,,,,,,2010,1
858846,2,,4,1,3,1,4,1922,1,1,3,2,3,1926,1,1,1,1,0,2,2,,,,,,,1977,1
858847,2,,1,1,2,8,1,1921,,1,2,9,,1925,,1,2,1,4,2,1,1,2,2,1979,,,1977,1
858858,1,,1,2,,,,,,2,,,,,,1,3,1,1,6,2,,,,,,,1997,1
858864,2,,1,1,3,2,3,1938,,1,2,8,4,1937,,1,2,1,0,1,2,,,,,,,,1
858893,2,,1,1,1,1,1,1901,,1,1,9,,1903,,2,,1,0,7,1,2,2,1,1971,,,1969,1
858896,2,,1,2,,,,,,2,,,,,,2,,1,0,1,1,4,2,1,1954,,,1953,1
858899,1,,1,1,1,1,3,1899,,1,1,1,1,1901,,2,,1,2,1,2,,,,,,2,,1
858916,2,,1,2,,,,,,2,,,,,,1,2,2,,,1,2,2,1,1950,,,,1
858932,2,,1,1,1,1,4,1908,,1,1,9,,1908,,2,,1,1,6,1,2,2,1,1981,2,,1978,1
858944,1,,2,1,3,1,2,1927,,1,3,9,,1933,,1,1,1,3,1,2,,,,,,2,,1
858946,1,,1,1,3,7,4,1940,,1,4,9,,1951,,1,2,1,1,0,2,,,,,,2,,1
858950,1,,2,1,1,1,1,1921,,1,1,9,,1922,,1,1,1,2,4,1,1,1,,,,,1973,1
858996,1,,1,1,2,8,4,1908,,1,2,9,,1910,,1,1,1,6,2,1,1,2,1,1983,,,1977,1
858999,1,,1,1,2,1,2,1923,,1,2,1,2,1932,,2,,1,2,2,2,,,,,,2,,1
859006,2,,1,1,5,7,4,1908,,1,4,9,,1917,,2,,1,2,1,1,2,2,1,1974,,,1972,1
859008,2,,1,1,4,5,4,1924,,1,3,9,,1928,,1,4,1,2,0,2,,,,,,,1981,1
859017,2,,1,1,2,1,2,1936,,1,3,9,,1942,,1,4,1,1,2,2,,,,,,,2000,1
859022,2,,1,1,4,5,4,1910,,1,3,9,,1916,,2,,1,3,3,1,3,2,1,1969,,,1968,1
859031,2,,1,1,2,2,3,1911,,1,2,7,4,1911,,1,1,1,0,1,1,2,2,2,1968,,,,1
859039,2,,1,1,2,1,1,1919,,1,2,9,,1931,,1,3,1,2,4,1,3,2,2,1981,,,1980,1
859052,1,,1,1,2,1,2,1930,,1,2,9,,1934,,1,2,1,4,4,2,,,,,,,1990,1
859061,2,,1,1,2,1,2,1933,2,1,2,9,,1936,2,2,,1,0,2,1,2,2,1,1983,0,1,,1
859074,2,,1,1,2,8,4,1919,,1,2,9,,1925,,2,,2,,,2,,,,,,2,,1
859075,2,,1,1,3,8,4,1944,,1,3,2,2,1944,,1,2,1,1,0,2,,,,,,2,,1
859080,2,,2,1,3,2,2,1906,,1,2,9,,1908,,2,,1,1,0,1,2,2,1,1967,,,1966,1
859083,2,,1,1,2,1,1,1896,,1,2,1,1,1901,,2,,1,2,5,1,2,2,2,1965,,,1963,1
859084,2,,1,1,1,1,1,1908,,1,1,1,1,1909,,2,,2,,,1,2,2,1,1961,,,,1
859085,2,,1,1,5,2,3,1931,,1,3,9,,1941,1,1,2,1,1,0,2,,,,,,2,,1
859127,1,,1,2,,,,,,2,,,,,,2,,1,3,2,1,2,1,,,,,1971,1
859134,2,,1,2,,,,,,2,,,,,,1,3,1,3,2,2,,,,,,,1994,1
859143,2,,2,1,4,4,2,1955,,1,4,9,,1956,,1,2,1,2,1,2,,,,,,,2007,1
859153,2,,2,1,2,1,2,1931,,1,2,9,,1934,,1,4,1,2,2,1,1,2,2,1984,,,1979,1
859165,2,,1,1,2,1,4,1920,,1,2,2,4,1923,,1,1,1,2,0,2,,,,,,,1972,1
