NQUEST,QUEST,NQUESTP,CONTINT,NOPCF,STUPCF,CONPCF,SETPCF,ANAPCF,CITPCF,NOMCF,STUMCF,CONMCF,SETMCF,ANAMCF,CITMCF,VITGEN,NGEN,VITF,NFRAT,NSORE,FIGLI,NFIGLI,PRIMOGE,PRIMOSEX,PRIMOANASC,NFIGLINOIT,PARNOIT,ANCONV,CAPI
681192,3,,1,2,,,,,,2,,,,,,2,,1,1,1,1,2,2,1,1969,,,,1
681196,3,,1,2,,,,,,2,,,,,,1,2,1,1,1,2,,,,,,,1973,1
681197,3,,1,1,2,1,1,1919,,1,2,9,,1924,,2,,1,2,1,2,,,,,,,1974,1
681200,3,,1,1,2,1,1,1929,,1,2,9,,1933,,1,2,1,1,4,2,,,,,,,1989,1
681244,3,,2,1,2,7,2,1936,,1,2,9,,1938,,1,1,1,6,3,2,,,,,,,1988,0
681263,3,,2,1,1,1,1,1887,,1,1,9,,1888,,2,,2,,,2,,,,,,,,1
681266,3,,3,2,,,,,,2,,,,,,1,2,1,1,1,2,,,,,,2,,1
681268,3,,3,1,2,8,4,1934,,1,2,9,,1935,,1,3,1,1,0,2,,,,,,,1985,1
681329,3,,4,1,1,1,1,1940,,1,1,1,1,1950,,1,4,1,3,2,2,,,,,,,1991,1
681349,3,,2,2,,,,,,2,,,,,,2,,1,2,0,2,,,,,,,1972,1
681366,3,,3,1,1,1,1,1928,,1,2,1,1,1930,,2,,1,2,1,1,1,2,1,1990,,2,,1
681368,3,,4,1,5,5,3,1933,,1,5,3,3,1935,,1,4,1,4,2,2,,,,,,,1987,1
681371,3,,2,1,2,1,2,1924,,1,2,8,4,1929,,1,1,1,4,0,2,,,,,,,1986,1
681379,3,,1,1,2,1,1,1924,,1,2,1,1,1930,,1,1,1,2,0,2,,,,,,,1978,1
681380,3,,1,1,2,1,2,1932,,1,2,1,2,1939,,1,2,1,2,2,1,2,2,1,1979,,,1978,1
681387,3,,2,1,1,1,2,1927,,1,1,9,,,,2,,1,3,2,2,,,,,,2,,1
681394,3,,3,1,4,4,3,1941,,1,3,8,4,1947,,1,4,1,1,2,2,,,,,,,1999,0
681403,3,,3,1,2,1,4,1958,,1,2,9,,1961,,1,3,1,3,1,2,,,,,,,2004,1
681430,3,,2,1,3,9,,1909,,1,3,9,,1913,,2,,2,,,2,,,,,,2,,1
681431,3,,2,2,,,,,,1,2,9,,,,2,,2,,,2,,,,,,2,,1
681433,3,,2,1,2,9,,1895,,1,2,9,,1896,,2,,2,,,2,,,,,,,1961,1
681435,3,,2,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,1968,1
681436,3,,2,1,3,1,2,1945,,1,3,1,2,1953,,2,,2,,,2,,,,,,,1997,1
681438,3,,2,1,3,2,4,1941,,2,,,,,,2,,1,2,1,2,,,,,,,1999,1
681441,3,,3,1,5,4,4,1926,,1,3,4,4,1939,,1,2,1,1,1,2,,,,,,,1997,1
681477,3,,1,1,3,8,1,1913,,1,2,9,,1921,,1,2,1,1,7,2,,,,,,,1986,1
681499,3,,2,1,2,8,1,1907,,1,2,8,1,1918,,2,,1,0,2,1,2,2,2,1962,,2,,1
681520,3,,1,1,2,1,4,1952,,1,2,9,,1950,,2,,1,2,0,2,,,,,,,2005,1
681528,3,,3,1,6,9,,1902,,1,6,9,,1905,,2,,1,2,0,1,2,2,2,1960,,,,0
681571,3,,1,1,2,8,4,1920,,1,2,9,,1922,,2,,2,,,1,1,1,,,,,1989,1
681575,3,,2,1,3,1,2,1932,,1,2,9,,1939,,1,3,1,0,4,2,,,,,,,1997,1
681596,3,,2,1,4,3,3,1940,,1,4,9,,1947,,1,4,1,2,1,2,,,,,,,1992,1
681613,3,,1,2,,,,,,2,,,,,,2,,2,,,1,1,2,2,1960,,,,1
681640,3,,4,1,3,8,4,1951,,1,4,4,4,1958,,1,4,1,1,0,2,,,,,,,2010,1
681658,3,,2,1,1,9,,1914,,1,1,9,,1909,,2,,1,2,1,1,2,2,2,1964,,,,1
681668,3,,1,1,1,9,,1907,,1,1,9,,1905,,2,,1,4,2,1,4,1,,,,,1968,1
681673,3,,4,2,,,,,,2,,,,,,2,,1,2,0,1,1,2,2,1964,,,,1
681711,3,,1,1,2,1,2,1915,,1,1,9,,1912,1,2,,1,4,3,1,2,2,1,1965,,,1964,1
681713,3,,1,1,4,8,4,1925,,1,4,9,,1930,,2,,2,,,2,,,,,,,1985,1
681748,3,,4,1,2,8,4,1915,,1,1,9,,1916,,2,,1,2,3,1,2,2,2,1967,,2,,1
681781,3,,2,1,1,1,1,1930,,1,2,1,1,1934,,1,2,1,5,3,2,,,,,,,1981,1
681790,3,,1,1,3,2,3,1920,,1,2,9,,1922,,1,1,1,5,5,2,,,,,,,1975,1
681804,3,,1,1,1,1,1,1926,,1,2,9,,1934,,1,1,1,2,1,2,,,,,,,,1
681819,3,,1,1,1,1,1,1903,,1,1,9,,1907,,2,,1,1,2,1,2,2,1,1951,,,,1
681822,3,,1,1,1,1,2,1931,,1,1,9,,1934,,1,4,1,0,2,2,,,,,,,2004,1
681832,3,,1,1,3,1,3,1905,,1,2,9,,1915,,2,,1,1,4,1,2,2,1,1964,,,1963,1
681844,3,,3,1,2,1,1,1931,,1,2,9,,1933,,1,1,1,2,1,2,,,,,,,1995,1
681845,3,,2,1,4,4,4,1899,,1,4,3,3,1902,,2,,1,1,1,1,3,2,1,1966,,,1965,1
681863,3,,3,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,,1
681867,3,,4,2,,,,,,2,,,,,,2,,1,0,1,2,,,,,,,,1
681875,3,,3,1,2,8,4,1930,,1,2,9,,1938,,1,3,1,2,2,2,,,,,,,1989,1
681887,3,,1,1,1,1,1,1888,,1,1,9,,1898,,2,,1,3,4,2,,,,,,,1965,1
681897,3,,2,1,2,1,4,1921,,1,2,9,,1933,,1,1,1,1,3,2,,,,,,,1977,1
681929,3,,3,2,,,,,,2,,,,,,2,,1,3,3,1,4,2,1,1976,,,,1
681932,3,,2,2,,,,,,2,,,,,,1,2,1,1,0,2,,,,,,,,1
681933,3,,1,2,,,,,,2,,,,,,2,,1,3,2,1,3,2,1,1964,,,1963,1
681975,3,,2,1,3,8,4,1950,,1,3,2,2,1957,,1,2,2,,,2,,,,,,2,,0
682000,3,,1,1,2,8,5,1905,,1,2,8,5,1906,,2,,1,2,1,1,1,2,2,1973,,,1972,0
682006,3,,4,1,2,8,4,1891,,1,2,9,,1895,,2,,1,0,1,1,2,2,1,1967,,,,1
682020,3,,2,2,,,,,,2,,,,,,2,,2,,,2,,,,,,2,,1
682022,3,,2,1,2,1,1,1914,,1,2,9,,1918,,2,,1,1,1,1,3,2,1,1968,,,,1
682086,3,,1,1,2,1,2,1930,,1,2,9,,1931,,2,,2,,,1,2,2,1,1985,,2,,1
682117,3,,1,1,1,1,1,1905,,1,1,1,1,1905,,2,,1,1,1,1,2,2,2,1959,,,,0
682118,3,,2,1,1,1,1,1902,,1,1,9,,1905,,2,,1,1,0,1,1,2,2,1962,,,,0
682121,3,,3,1,3,2,4,1935,,1,3,9,,1938,,1,3,1,3,3,2,,,,,,,1985,1
682125,3,,2,2,,,,,,2,,,,,,2,,1,2,4,1,2,2,2,1967,,,1967,1
682154,3,,1,1,1,1,2,1881,,1,1,1,2,1893,,2,,1,4,2,1,2,2,1,1950,,,1949,0
682165,3,,3,2,,,,,,2,,,,,,1,1,1,2,2,2,,,,,,,1981,1
682169,3,,1,1,2,8,1,1899,,1,2,9,,1898,,1,2,1,0,2,2,,,,,,,1948,1
682170,3,,2,1,2,8,1,1918,,1,2,9,,1919,,2,,1,0,2,1,1,2,2,1982,,,1981,1
682191,3,,3,1,2,1,1,1898,,1,2,9,,1905,,2,,1,3,1,2,,,,,,,1961,1
682192,3,,4,1,1,1,1,1913,,1,1,9,,1919,,2,,1,0,2,1,1,2,2,1971,,,1969,1
682201,3,,4,2,,,,,,2,,,,,,1,2,1,3,2,1,1,2,2,1988,,,1986,1
682204,3,,2,1,2,1,2,1936,,2,,,,,,1,3,1,2,1,2,,,,,,,1996,1
682210,3,,4,1,3,8,4,1915,,1,2,9,,1912,,2,,1,2,2,2,,,,,,2,,1
682240,3,,1,1,2,1,1,1904,,1,2,9,,1908,,1,1,1,2,2,1,1,2,2,1975,,,1974,1
682259,3,,2,1,1,1,1,1891,,1,2,9,,1919,,1,1,1,1,1,1,1,2,1,1975,,,1974,0
682263,3,,1,1,5,2,4,1926,,1,2,9,,1924,,1,2,1,2,1,2,,,,,,,1986,1
682269,3,,2,1,2,1,4,1922,,1,2,9,,1926,,2,,1,0,2,1,1,2,2,1968,,,1967,1
682272,3,,2,1,2,1,1,1932,,1,2,9,,1938,,1,1,1,2,3,2,,,,,,,1989,1
682275,3,,3,1,2,8,1,1937,,1,2,9,,1941,,1,3,1,1,0,2,,,,,,,1996,1
682280,3,,1,1,2,1,4,1946,,1,2,9,,1952,,1,3,1,1,0,2,,,,,,,1998,1
682281,3,,1,1,3,8,4,1925,,1,2,9,,1924,,2,,1,1,3,1,3,2,2,1972,,,2004,1
682282,3,,1,1,2,1,3,1892,,1,2,9,,1893,,2,,1,0,2,1,4,2,2,1954,,,1952,1
682285,3,,1,1,2,8,4,1886,,1,2,9,,1886,,2,,2,,,1,1,2,1,1957,,,,1
682297,3,,2,2,,,,,,1,4,2,3,1920,,2,,1,0,1,1,3,2,2,1964,0,,1963,1
682298,3,,2,1,4,8,4,1950,2,1,1,9,,1956,2,1,4,1,6,5,2,,,,,,,1999,1
682311,3,,2,1,1,1,1,1906,,1,1,9,,1916,,2,,1,0,1,1,1,2,1,1971,,,1966,0
682359,3,,2,1,2,1,4,1931,,1,2,1,1,1939,,1,2,1,8,3,2,,,,,,,1994,1
682360,3,,2,1,1,9,,1888,,1,1,9,,1896,,2,,1,0,1,1,2,2,1,1954,,,,1
682363,3,,3,1,2,9,,1907,,1,2,9,,1915,,2,,1,3,0,1,2,2,1,1975,,,,1
682398,3,,3,1,2,1,1,1895,,1,2,9,,1898,,2,,2,,,1,3,2,1,1953,,,,0
682400,3,,2,1,2,1,4,1935,,1,2,1,4,1938,,1,3,1,1,2,2,,,,,,,1992,1
682408,3,,2,1,2,1,4,1949,,1,2,1,4,1951,,1,2,1,1,2,2,,,,,,2,,1
682413,3,,3,1,2,1,2,1932,,1,2,9,,1940,,1,3,1,3,2,2,,,,,,,1993,1
682457,3,,1,1,1,1,1,1928,,1,1,1,1,1927,,2,,1,1,6,2,,,,,,,1983,1
682486,3,,2,1,1,1,1,1903,,1,1,9,,1906,,2,,2,,,1,3,2,1,1950,,,,1
682491,3,,2,1,2,3,4,1905,,1,2,9,,1909,,2,,1,1,1,1,2,2,2,1964,0,,1963,1
682496,3,,4,1,2,8,4,,,1,2,9,,,,2,,1,1,0,2,,,,,,2,,0
682503,3,,2,1,2,8,4,1897,,1,2,9,,1903,,2,,1,1,1,1,2,2,1,1956,,,,1
682507,3,,1,1,2,1,2,1927,,1,2,9,,1934,,2,,2,,,2,,,,,,,2009,1
682525,3,,1,2,,,,,,2,,,,,,2,,1,1,1,2,,,,,,,1952,1
682532,3,,3,1,2,1,4,1922,,1,2,1,4,1923,,2,,1,3,0,2,,,,,,,,1
682571,3,,3,1,2,2,3,1913,,1,2,9,,1915,,2,,1,1,1,1,1,2,2,1981,,2,,1
682572,3,,1,1,2,1,4,1915,,1,2,9,,1916,,2,,1,2,0,1,1,2,1,1970,0,,1969,1
682593,3,,3,1,2,9,,1900,,1,2,9,,1903,,2,,2,,,1,4,2,1,1953,,,,1
682594,3,,2,1,1,9,,1867,,1,1,9,,1885,,2,,1,1,0,1,2,2,2,1951,,,,1
682608,3,,2,1,1,8,1,1900,,1,1,9,,1909,,2,,1,0,1,1,3,2,1,1943,,,,1
682609,3,,1,1,3,8,4,1941,,1,2,9,,1941,,1,2,1,1,0,2,,,,,,2,,1
682625,3,,2,1,1,1,2,1913,,1,1,9,,1922,,1,1,1,0,1,1,1,2,1,1972,,2,,1
682633,3,,1,1,2,8,1,1896,,1,2,9,,1901,,2,,2,,,2,,,,,,2,,0
682704,3,,3,1,2,1,1,1927,,1,2,9,,1930,,1,2,1,3,0,2,,,,,,,1985,1
682706,3,,2,1,2,1,4,1930,,1,2,9,,1930,,2,,2,,,2,,,,,,2,,1
682715,3,,1,1,3,9,,1916,,1,2,9,,1919,,2,,1,3,1,1,3,2,2,1969,,,1968,1
682732,3,,2,1,2,8,4,1927,,1,2,2,3,1931,,1,2,1,2,1,1,2,2,1,1979,,,1978,1
682737,3,,4,1,4,5,4,1915,,1,3,9,,1922,,2,,1,2,1,1,2,2,1,1977,,,1975,1
682743,3,,3,1,2,1,2,1904,,1,2,9,,1911,,2,,1,2,0,1,2,2,1,1960,,,1957,1
682776,3,,1,1,1,1,2,1900,,1,1,9,,1900,,2,,1,2,3,2,,,,,,,,0
682779,3,,4,1,3,1,4,1928,2,1,3,8,4,1931,2,1,3,1,2,5,2,,,,,,,1997,0
682782,3,,2,1,2,1,1,,,1,1,1,1,1923,,1,1,1,1,1,2,,,,,,2,,0
682783,3,,2,1,2,1,4,1904,,1,1,9,,1907,,2,,1,0,2,1,1,2,1,1967,,,1964,0
682791,3,,2,1,4,4,4,1926,,1,4,9,,1931,1,1,3,1,2,0,2,,,,,,,1985,1
682794,3,,2,2,,,,,,2,,,,,,2,,1,0,1,1,1,2,1,1956,,,,1
682812,3,,2,1,1,1,4,1911,,1,1,9,,1920,,1,1,1,1,2,1,1,2,1,1974,,,1973,1
682829,3,,2,1,2,9,,1910,,1,2,9,,1917,,2,,1,0,1,2,,,,,,2,,1
682879,3,,3,1,2,1,4,1937,,1,2,9,,1938,,1,2,2,,,1,1,2,1,1996,,2,,1
682884,3,,2,1,3,2,3,1950,,1,3,2,4,1956,,1,4,2,,,2,,,,,,,2008,1
682897,3,,2,1,1,1,1,1934,,1,1,1,4,1936,,1,3,1,2,0,2,,,,,,,1989,0
682900,3,,2,1,2,1,2,1934,,1,2,9,,1941,,1,2,1,0,1,2,,,,,,,,0
682906,3,,1,1,1,1,1,1899,,1,1,9,,1907,,2,,1,2,4,1,1,2,1,1960,,,1959,0
682918,3,,2,1,2,1,1,1930,,1,2,1,1,1932,,1,3,1,2,2,2,,,,,,,1984,1
682969,3,,2,1,4,3,3,1909,,1,2,9,,1918,,2,,1,1,1,1,1,2,1,1972,,2,,1
682972,3,,2,1,3,1,1,1945,,1,2,1,1,1943,,1,4,1,1,0,2,,,,,,,1992,1
682982,3,,1,1,2,8,4,1929,,1,2,9,,1932,,1,4,1,2,1,2,,,,,,,1998,1
682995,3,,1,2,,,,,,2,,,,,,2,,1,4,7,1,2,1,,,,,1966,1
683031,3,,1,1,2,2,3,1910,,1,3,9,,1916,,1,1,1,0,2,1,2,2,1,1970,,,1969,1
683033,3,,2,1,1,8,4,1927,,1,1,9,,1933,,1,4,1,2,1,2,,,,,,,1993,1
683034,3,,2,1,2,1,2,1930,,1,2,9,,1935,,1,2,2,,,2,,,,,,2,,1
683042,3,,1,2,,,,,,2,,,,,,2,,1,1,1,1,3,2,1,1958,,,1957,1
683043,3,,1,2,,,,,,2,,,,,,2,,1,1,1,1,1,1,,,,,,1
683044,3,,1,2,,,,,,2,,,,,,2,,1,3,2,1,1,2,1,1969,,,1965,1
683052,3,,2,1,3,3,1,1906,,1,2,9,,1912,,2,,1,0,1,1,2,2,2,1961,,,,1
683075,3,,3,1,1,1,1,1921,,1,1,9,,1925,,1,2,1,7,1,1,1,2,1,1981,,,1980,1
683081,3,,3,2,,,,,,2,,,,,,2,,2,,,1,2,2,1,1946,,,,1
683117,3,,2,1,2,9,,1901,,1,1,9,,1901,,2,,1,0,4,1,2,2,1,1952,,,,1
683119,3,,2,1,2,1,2,1942,,1,2,8,4,1943,,2,,1,2,0,2,,,,,,,2000,1
683120,3,,2,1,2,1,4,1934,,1,2,9,,1939,,2,,1,2,3,2,,,,,,,1985,1
683121,3,,2,1,2,8,1,1893,,1,2,9,,1904,,2,,1,5,7,2,,,,,,,1978,1
683143,3,,2,1,1,1,4,1903,,1,1,9,,1924,,1,1,1,6,5,2,,,,,,,1989,1
683145,3,,1,1,2,2,3,1918,,1,2,9,,1920,,2,,2,,,1,1,2,2,1969,,,,1
683147,3,,1,1,2,1,1,1898,,1,2,9,,1900,,2,,2,,,1,1,2,2,1950,,,,1
683159,3,,1,1,2,1,1,1930,,1,2,9,,1934,,1,1,1,1,3,2,,,,,,,1997,1
683164,3,,2,1,3,1,4,1933,,1,2,9,,1934,,1,2,1,1,3,2,,,,,,,2009,1
683171,3,,3,1,3,9,,1925,,1,2,9,,1931,,1,2,1,1,1,1,1,2,1,1978,,,1977,1
683177,3,,2,1,1,1,1,1911,,1,1,9,,1917,,1,1,1,2,5,1,1,2,2,1983,,,1982,1
683192,3,,1,2,,,,,,2,,,,,,2,,1,1,0,2,,,,,,2,,1
683201,3,,2,1,2,2,3,1934,,1,3,9,,1945,,1,3,1,1,3,2,,,,,,,2001,1
683206,3,,1,1,2,1,1,1926,,1,2,9,,1927,,1,4,1,0,1,1,2,2,2,1976,,,1975,0
683217,3,,2,1,1,1,1,1905,,1,1,9,,1909,,2,,1,1,0,1,2,2,2,1965,,,,0
683227,3,,1,2,,,,,,2,,,,,,2,,1,3,3,1,3,2,2,1960,,,1959,1
683230,3,,1,1,1,1,1,1884,,1,1,1,1,1887,,2,,2,,,1,1,2,2,1952,,,1952,1
683233,3,,1,1,2,8,4,1894,,1,1,9,,1900,,2,,2,,,2,,,,,,2,,1
683240,3,,1,1,1,8,1,1911,,1,1,8,1,1914,,2,,1,0,2,1,3,2,2,1963,,,1962,1
683245,3,,2,1,2,9,,1908,,1,2,9,,1919,,1,1,1,1,0,1,1,2,2,1972,,,1972,1
683246,3,,2,1,1,9,,1890,,1,1,9,,1895,,2,,1,2,1,2,,,,,,,1955,1
683247,3,,1,1,1,9,,1922,,1,1,9,,1928,,1,1,1,5,3,1,2,2,2,1980,,,1979,1
683248,3,,2,1,2,9,,1914,,1,2,9,,1915,,1,1,1,2,3,2,,,,,,,1978,1
683249,3,,2,1,1,9,,1936,,1,1,9,,1936,,1,2,1,0,2,2,,,,,,,1988,1
683250,3,,2,1,2,9,,1909,,1,1,9,,1918,,2,,1,1,3,2,,,,,,,1975,1
683251,3,,2,1,1,9,,1901,,1,1,9,,1903,,2,,1,2,1,1,5,2,1,1950,,,1948,1
683257,3,,2,1,3,9,,1915,,1,3,9,,1917,,2,,2,,,1,1,2,2,1975,,2,,1
683306,3,,1,2,,,,,,2,,,,,,1,3,1,2,2,2,,,,,,,2000,1
683317,3,,2,1,2,9,,1911,,1,2,9,,1916,,2,,1,0,4,1,1,2,1,1981,,,1990,1
683337,3,,2,1,2,8,1,1921,,1,2,8,1,1921,,2,,1,1,1,1,2,2,2,1966,,,1960,0
683339,3,,3,1,3,1,2,1941,,1,3,9,,1945,,1,4,1,1,2,2,,,,,,,1992,0
683343,3,,1,1,4,4,2,1938,,1,4,4,3,1939,,1,4,1,5,1,2,,,,,,,1997,0
683344,3,,2,1,2,1,2,1921,,1,2,9,,1924,,2,,1,1,1,1,1,2,2,1971,,,,0
683345,3,,2,1,2,8,4,1924,,1,2,8,4,1930,,2,,1,1,0,1,2,2,2,1980,,2,,0
683349,3,,2,1,2,1,3,1938,,1,2,9,,1944,,1,3,1,3,4,2,,,,,,,1996,1
683352,3,,3,1,2,1,2,1940,2,1,2,1,1,1946,2,1,3,1,5,7,2,,,,,,,1985,1
683358,3,,2,1,2,8,4,1940,,1,2,9,,1943,,1,4,1,2,0,2,,,,,,,2002,1
683373,3,,1,1,2,1,1,1944,,1,2,9,,1949,,1,4,1,2,2,2,,,,,,,2000,1
683377,3,,1,1,5,3,3,1936,,1,5,3,3,1938,,1,4,1,1,0,2,,,,,,,1997,1
683381,3,,1,1,1,1,1,1899,,1,1,1,1,1901,,2,,1,1,0,1,1,2,1,1945,,,,1
683388,3,,2,2,,,,,,2,,,,,,2,,1,2,2,1,5,2,2,1939,,,,1
683399,3,,3,1,3,2,4,1912,,1,3,9,,1929,,1,1,1,1,0,2,,,,,,2,,1
683418,3,,2,1,1,8,1,1921,,1,1,8,1,1922,,1,2,1,6,4,1,2,2,1,1982,,,1980,1
683430,3,,2,1,2,2,3,1922,,1,2,9,,1902,,2,,1,2,1,1,2,2,1,1950,,,,1
683431,3,,2,1,1,9,,1890,,1,1,9,,1896,,2,,1,1,1,1,3,2,2,1947,,,,1
683437,3,,1,1,2,1,2,1928,,1,2,9,,1929,,1,2,1,1,0,2,,,,,,,,1
683438,3,,3,1,5,3,3,1916,,1,3,9,,1922,,1,1,1,2,1,1,2,2,1,1974,,,1972,1
683440,3,,1,1,1,8,1,1887,,1,1,9,,1888,,2,,2,,,1,2,2,2,1951,,,,1
683446,3,,1,1,1,1,1,1925,,1,1,1,1,1930,,1,1,1,4,5,1,2,2,1,1978,,,1976,0
683453,3,,2,1,5,2,3,1929,2,1,3,9,,1938,2,1,2,1,4,3,2,,,,,,,1997,1
683469,3,,2,1,2,8,1,1910,,1,2,9,,1908,,1,1,1,7,5,2,,,,,,,2007,1
683472,3,,3,1,5,6,1,1925,,1,4,9,,1929,,1,3,1,0,3,2,,,,,,,1991,1
683530,3,,3,1,1,1,1,1914,,1,1,1,1,1920,,1,2,1,1,0,1,1,2,1,1987,,,1982,0
683544,3,,4,1,3,2,2,1905,,1,3,9,,1911,,2,,1,3,2,1,2,2,1,1971,,,1970,1
683569,3,,2,1,3,1,1,1951,,1,3,9,,1950,,1,4,1,0,3,2,,,,,,,2000,1
683611,3,,3,1,2,2,3,1956,,1,3,9,,1958,,1,2,1,2,1,2,,,,,,,2007,1
683627,3,,1,2,,,,,,2,,,,,,2,,2,,,1,2,2,2,1956,,,,1
683645,3,,2,1,2,1,1,1914,,1,2,1,1,1915,,2,,1,2,2,2,,,,,,,1976,0
683650,3,,1,1,1,1,1,1902,,1,1,1,1,1906,,1,1,1,3,0,1,2,2,1,1972,,,1971,0
683652,3,,2,1,2,7,4,1942,,1,2,9,,1949,,1,2,1,1,0,2,,,,,,,1998,1
683653,3,,2,1,2,1,3,1934,,1,2,9,,1936,,2,,1,1,3,1,3,1,,,,,1994,1
683660,3,,1,2,,,,,,2,,,,,,2,,2,,,2,,,,,,2,,1
683661,3,,1,2,,,,,,2,,,,,,1,4,1,3,1,2,,,,,,,1985,1
683664,3,,4,1,4,2,3,1923,,1,3,9,,1928,,1,4,1,2,0,2,,,,,,,1984,1
683665,3,,3,1,2,1,2,1921,,1,2,9,,1921,,1,2,1,5,1,1,1,1,,,,,1980,1
683669,3,,3,2,,,,,,2,,,,,,1,2,1,2,3,2,,,,,,,1988,1
683670,3,,2,1,1,1,1,1892,,1,1,9,,1894,,2,,1,0,1,1,5,2,1,1956,,,,1
683671,3,,1,1,1,1,1,1896,,1,1,9,,1899,,2,,1,2,1,1,2,2,1,1942,,,,1
683673,3,,3,1,1,1,1,1932,,1,1,9,,1936,,1,4,1,3,3,2,,,,,,,2005,1
683675,3,,1,1,2,1,2,,,1,3,9,,,,2,,1,1,0,2,,,,,,2,,1
683689,3,,2,1,1,1,1,1905,,1,1,9,,1910,,2,,1,1,2,1,1,2,1,1970,,,1969,1
683692,3,,2,1,1,1,1,1910,,1,1,9,,1913,,2,,1,2,1,1,3,1,,,,,1967,1
683694,3,,2,1,1,9,,1899,,1,1,9,,1906,,2,,2,,,1,5,2,1,1964,,,,1
683696,3,,2,1,2,9,,1905,,1,1,9,,1909,,2,,1,0,1,1,2,2,2,1970,,,1969,1
683707,3,,1,1,1,1,1,1910,,1,1,9,,1915,,2,,1,2,2,1,4,2,1,1970,,,1968,1
683727,3,,1,1,2,1,4,1927,,1,2,9,,1930,,1,2,1,1,2,1,1,2,2,1973,,,,1
683732,3,,2,2,,,,,,2,,,,,,2,,1,3,0,1,1,2,1,1969,,,,1
683737,3,,3,2,,,,,,2,,,,,,2,,1,1,2,1,6,2,1,1952,,,,1
683767,3,,2,1,2,8,4,1923,,1,2,8,4,1924,,1,2,1,2,1,1,1,2,2,1982,,,1979,1
683782,3,,2,2,,,,,,2,,,,,,1,1,1,10,8,1,1,2,1,1983,1,,1982,1
683785,3,,2,1,1,1,4,1922,,1,3,8,1,1930,,2,,1,3,0,1,1,2,2,1982,,,1981,1
683803,3,,4,1,3,1,4,1920,,1,2,9,,1928,,1,1,1,9,12,1,2,2,1,1971,,,1970,1
683810,3,,1,1,2,1,1,1885,,1,2,9,,1889,,2,,2,,,2,,,,,,,1960,1
683812,3,,1,1,4,2,3,1916,,1,4,3,3,1923,,1,1,1,2,2,1,1,2,2,1983,,,1981,1
683816,3,,2,1,3,1,2,1914,,1,2,9,,1919,,2,,2,,,1,3,2,1,1959,,,1950,0
683829,3,,3,1,1,1,1,1903,,1,1,9,,1906,,2,,1,7,2,1,2,2,1,1956,,,1955,0
683861,3,,1,2,,,,,,2,,,,,,1,3,1,1,2,2,,,,,,,1991,1
683866,3,,1,2,,,,,,2,,,,,,1,4,1,2,1,2,,,,,,,1987,1
683869,3,,1,2,,,,,,2,,,,,,2,,1,2,2,2,,,,,,,1993,1
683881,3,,1,1,2,1,1,1911,,1,2,9,,1914,,2,,1,0,1,1,3,2,1,1962,,,,1
683882,3,,1,1,5,8,4,1904,,1,5,8,4,1906,,2,,1,6,4,1,2,2,1,1969,,,1968,1
683896,3,,2,1,2,8,1,1923,,1,2,9,,1921,,2,,2,,,1,1,2,1,1969,,,1968,1
683897,3,,3,2,,,,,,2,,,,,,2,,1,1,1,1,1,1,,,,,,1
683904,3,,2,1,1,8,4,1946,,1,2,9,,1943,,1,3,1,3,5,2,,,,,,,2000,1
683908,3,,1,1,2,1,4,1885,,1,2,9,,1895,,2,,1,4,0,1,3,2,2,1965,,,1963,1
683910,3,,1,1,2,1,2,1908,,1,2,9,,1911,,2,,1,1,3,2,,,,,,,1963,1
683970,3,,2,1,2,1,3,1930,,1,2,9,,1931,,1,2,2,,,2,,,,,,,1985,1
683973,3,,3,1,1,1,1,1903,,1,1,9,,1909,,2,,1,0,1,1,1,2,1,1957,,,,1
683974,3,,2,1,1,1,1,1898,,1,1,1,1,1901,,2,,1,0,3,1,1,2,1,1971,,,1968,1
683978,3,,2,1,3,2,4,1909,,1,3,9,,1914,,2,,1,0,2,1,2,2,1,1960,,,1959,1
683980,3,,2,1,2,1,2,1942,,1,2,1,4,1944,,1,3,1,1,2,2,,,,,,,1997,1
683991,3,,3,1,1,1,1,1934,,1,1,9,,1941,,1,4,1,4,4,1,1,2,1,1982,,,1981,1
683996,3,,1,1,1,1,1,1870,,1,1,9,,1880,,2,,2,,,1,5,2,2,1943,,,,1
684000,3,,1,2,,,,,,2,,,,,,1,1,1,2,2,2,,,,,,,1993,1
684005,3,,2,1,1,1,1,1900,,1,1,9,,1900,,2,,1,0,2,1,4,2,1,1948,,,,1
684035,3,,2,1,1,1,1,1903,,1,1,1,1,1905,,2,,2,,,2,,,,,,2,,0
684037,3,,2,1,1,1,4,1898,,1,1,9,,1899,,2,,1,1,1,1,2,2,1,1963,,,1960,0
684063,3,,2,1,2,1,3,1918,,1,2,9,,1919,,1,3,1,5,0,1,1,1,,,,,1977,1
684064,3,,2,1,5,3,3,1931,,1,4,9,,1929,,2,,1,1,1,2,,,,,,2,,1
684086,3,,1,2,,,,,,2,,,,,,1,2,1,3,1,2,,,,,,2,,1
684130,3,,2,1,3,2,2,1934,,1,3,1,2,1936,,2,,1,1,0,2,,,,,,,2000,1
684131,3,,2,1,2,1,2,1898,,1,2,9,,1896,,2,,1,1,0,1,2,2,2,1963,,,1958,0
684135,3,,2,1,2,1,4,1927,,1,2,9,,1934,,1,2,2,,,2,,,,,,,,0
