NQUEST,YCF4,YCF,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YCA,YCA1,YCA2,YCF1,YCF2,YCF3,YC
24171,0,0,29310,0,0,0,11310,11310,11310,0,0,0,0,0,0,0,12000,12000,0,6000,0,6000,0,0,0,6000
24194,0,63.320550034,48563.32055,38300,36800,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,10200,0,10200,63.320550034,0,0,10263.32055
24195,0,94.980825051,18774.980825,0,0,0,15080,15080,15080,0,0,0,0,0,0,0,0,0,0,3600,0,3600,94.980825051,0,0,3694.9808251
24202,0,0,39600,18000,18000,0,14400,14400,14400,0,0,0,0,0,0,0,0,0,0,7200,0,7200,0,0,0,7200
24326,0,31.660275017,21631.660275,0,0,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,0,9600,0,9600,31.660275017,0,0,9631.660275
24374,0,20.988877322,27120.988877,20400,19200,1200,1900,8400,8400,0,-6500,500,0,-7000,0,7000,0,0,0,4800,0,4800,20.988877322,0,0,4820.9888773
24379,0,43.532280688,14803.532281,0,0,0,9960,9960,9960,0,0,0,0,0,0,0,0,0,0,4800,0,4800,43.532280688,0,0,4843.5322807
24382,0,88.648770048,13588.64877,2000,2000,0,10200,10200,10200,0,0,0,0,0,0,0,0,0,0,1300,0,1300,88.648770048,0,0,1388.64877
24393,0,80.706367253,14480.706367,0,0,0,9600,9600,9600,0,0,0,0,0,0,0,0,0,0,4800,0,4800,80.706367253,0,0,4880.7063673
24529,7093.5804387,-7049.256054,65000.743946,30000,30000,0,24050,24050,24050,0,0,0,0,0,0,0,0,0,0,18000,0,18000,44.324385024,0,0,10950.743946
24616,0,44.324385024,30024.324385,0,0,0,21580,21580,21580,0,0,0,0,0,0,0,0,0,0,8400,0,8400,44.324385024,0,0,8444.324385
24760,221.67438871,-212.1763062,16767.823694,0,0,0,10980,10980,10980,0,0,0,0,0,0,0,0,0,0,6000,0,6000,9.4980825051,0,0,5787.8236938
24764,0,25.328220014,26425.32822,21600,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,4800,25.328220014,0,0,4825.32822
24809,0,10645.447959,48145.447959,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,23200,13600,9600,2551.8181664,1759.4847375,6334.1450549,33845.447959
24853,0,399.38736002,49199.38736,41600,41600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,7200,47.490412526,351.8969475,0,7599.38736
24885,0,12.081521837,9112.0815218,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,12.081521837,0,0,12.081521837
24924,0,212.53948613,21962.539486,8250,8250,0,0,0,0,0,0,0,0,0,0,0,13500,13500,0,0,0,0,18.99616501,0,193.54332112,212.53948613
24984,0,17.210008982,68957.210009,15600,15600,0,37700,37700,37700,0,0,0,0,0,0,0,0,0,0,15640,3640,12000,17.210008982,0,0,15657.210009
25007,0,2.9257171393,19102.925717,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,4800,0,4800,2.9257171393,0,0,4802.9257171
25138,0,0,21050,0,0,0,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,4800,0,4800,0,0,0,4800
25148,7536.9292161,-7503.391897,52096.608103,47000,47000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12600,0,12600,33.537318714,0,0,5096.6081026
25245,0,0,32400,6000,6000,0,0,0,0,0,0,0,0,0,0,0,18000,18000,0,8400,0,8400,0,0,0,8400
25435,0,1014.7110334,81214.711033,45900,45000,900,8500,0,0,0,8500,8500,0,0,0,0,0,0,0,25800,0,25800,31.660275017,0,983.05075834,26814.711033
25625,0,6334.1450549,260982.14505,0,0,0,19448,19448,19448,0,0,0,0,0,0,0,0,0,0,235200,205200,30000,0,2287.3301587,4046.8148962,241534.14505
25930,0,962.32447435,38863.324474,0,0,0,28301,28301,28301,0,0,0,0,0,0,0,0,0,0,9600,0,9600,70.40604821,0,891.91842614,10562.324474
