NQUEST,NORD,YCF4,YCF,Y,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YMA1,YMA2,YC
506396,1,0,743.33079935,37743.330799,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,12000,12000,178.97197517,0,564.35882418,25000,0,12743.330799
506402,1,0,287.16114479,16687.161145,0,0,10400,0,0,0,0,0,0,10400,0,0,10400,0,0,6000,6000,287.16114479,0,0,0,0,6287.1611448
506402,2,0,0,5850,0,0,5850,0,0,0,0,0,0,5850,0,0,5850,0,0,0,0,0,0,0,0,0,0
506410,1,0,183.27705232,24783.277052,14000,0,0,0,0,0,0,0,14000,0,0,0,0,0,3600,7000,10600,183.27705232,0,0,0,0,10783.277052
506410,2,0,0,20000,20000,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506411,1,0,94.980825051,14899.980825,0,0,7605,0,0,0,0,0,0,7605,0,0,7605,0,0,7200,7200,94.980825051,0,0,0,0,7294.9808251
506411,2,0,0,13000,13000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506411,3,0,0,7020,7020,0,0,0,0,0,0,0,7020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506413,1,399.01389968,-337.0438084,28462.956192,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,10800,10800,61.970091312,0,0,0,18000,10462.956192
506413,2,0,0,13000,13000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
