NQUEST,TIPOIMM,QUOPRO,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,ANPOSS,SUPAB,ANCOSTR,SUPTE,SUPTM,USOIMM,VALABIT,AFFITTO,AFFEFF,AFFIMP,POSS,IMMDOVE,IMMREG,IMMEST,PRO7,PRO8,PRO9,quo
27923,7,33,1,0,0,0,0,0,,,,,2000,9,10000,2,,1000,3,1,,,0,0,0,0.33
27930,7,100,0,1,0,0,0,0,,,,,3000,14,2000,2,,1000,3,1,,,0,0,0,1
28331,1,100,1,0,0,0,0,0,1957,150,1945,,,8,100000,2,,1200,1,1,,,0,0,0,1
28331,1,100,1,0,0,0,0,0,1966,120,1966,,,3,250000,2,,7200,1,1,,,0,0,0,1
28441,1,50,0,1,0,0,0,0,2005,80,1969,,,3,250000,2,,8400,3,1,,,0,0,0,0.5
28441,1,100,1,0,0,0,0,0,1986,40,1940,,,,150000,2,,6000,3,1,,,0,0,0,1
28920,1,67,1,0,0,0,0,0,1980,60,1980,,,4,250000,1,4800,0,1,1,,,0,0,0,0.67
28920,1,100,1,0,0,0,0,0,1970,100,1950,,,1,200000,2,,6000,1,1,,,0,0,0,1
28920,4,33,1,0,0,0,0,0,1980,44,1500,,,5,250000,1,8400,0,3,1,,,0,0,0,0.33
28920,7,100,1,0,0,0,0,0,,,,,2400,11,20000,2,,2000,1,1,,,0,0,0,1
28992,7,100,0,1,0,0,0,0,,,,60,,10,40000,2,,5000,3,1,,,0,0,0,1
29280,1,100,1,0,0,0,0,0,2002,300,1784,,,3,80000,2,,3600,3,1,,,0,0,0,1
29280,7,100,1,0,0,0,0,0,,,,5,,10,250000,2,,24000,3,1,,,0,0,0,1
29288,1,100,1,0,0,0,0,0,2009,150,1950,,,13,170000,2,,4800,3,1,,,0,0,0,1
29288,4,100,1,0,0,0,0,0,2009,70,1950,,,2,50000,2,,6000,3,1,,,0,0,0,1
29678,1,100,1,1,0,0,0,0,1980,130,1975,,,1,70000,2,,2000,1,1,,,0,0,0,1
29684,1,100,1,1,0,0,0,0,2000,80,1980,,,1,100000,2,,4000,1,1,,,0,0,0,1
29684,4,50,1,0,0,0,0,0,2006,150,1966,,,8,80000,2,,7000,3,1,,,0,0,0,0.5
31137,1,100,1,1,0,0,0,0,1987,70,1965,,,13,150000,2,,7200,1,1,,,0,0,0,1
31163,4,100,1,0,0,0,0,0,1990,200,1950,,,2,100000,2,,9600,1,1,,,0,0,0,1
31220,1,100,1,1,0,0,0,0,1988,86,1988,,,4,80000,1,3000,0,6,1,,,0,0,0,1
31220,1,100,1,1,0,0,0,0,1999,100,1989,,,1,125000,2,,2000,1,1,,,0,0,0,1
31220,3,100,1,1,0,0,0,0,1991,780,1962,,,4,300000,1,22000,0,1,1,,,0,0,0,1
31220,7,100,1,0,0,0,0,0,,,,,3800,3,20000,2,,500,98,1,,,0,0,0,1
31220,7,30,1,0,0,0,0,0,,,,,4000,13,150000,2,,3000,3,1,,,0,0,0,0.3
31221,1,100,1,0,0,0,0,0,2003,45,2003,,,3,160000,2,,4800,2,1,,,0,0,0,1
