NQUEST,DEPC,NDEPC,IDEPC,LIB,NLIB,ILIB,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,PREFBA11,PREFBA12,PREFBA13,SERVB1,SERVB2,SERVB3,SERVB4,SERVB5,SERVB6,SERVB7,SERVB8,SERVB9,SERVB10,SERVB11,SERVB12,SERVB13,SERVB14,FIDBANC,PRIVATEB,SCOPER,UTSCOPER,FSCOPER1,FSCOPER,CARTA,CARTE,USOCART,CARTDEB1,CARTDEB,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS
22262,1,1,2,2,,,1,1,2,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,,,,1,1,1,,,1,2,1,1,300,1
22263,1,2,2,2,,,1,1,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,8,2,1,2,,,2,,,,,1,2,2,,600,2
22266,1,1,2,2,,,1,1,2,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,6,2,1,2,,,2,,,,,1,1,2,,1700,2
22276,1,2,2,2,,,2,,,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,2,,2,,700,2
22277,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,2,,,,1,2,2,,,1,1,2,,1000,2
22279,1,2,2,2,,,2,,,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,2,,,2,,,,,1,1,2,,500,2
22286,1,2,2,2,,,1,1,2,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,500,2
22292,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,2,,2,,1000,2
22516,1,2,2,2,,,2,,,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,6,2,1,2,,,1,1,2,,,1,1,2,,2200,1
22624,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,650,2
22657,1,2,2,1,1,1,1,2,2,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,5,2,1,2,,,1,1,1,,,1,2,2,,1000,1
22850,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,8,2,1,2,,,2,,,,,1,1,2,,1500,2
22995,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,1,1,1,,,1,2,2,,700,2
22996,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9,2,2,,,,1,2,2,,,1,2,2,,600,1
23193,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,800,2
23370,1,1,2,2,,,1,1,2,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,2,,,2,,,,,1,1,2,,500,2
23384,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,500,2
23490,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,1,1,2,,350,2
