NQUEST,FIDGEN,FID1,FID2,FID3,FID4,FID5,FID6,FID7,FID8,SOCGEN,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,EDUC6,GIUSTIZ1,NSGIUSTIZ2,GIUSTIZ2,HAPPY
682491,6,9,8,6,5,5,5,2,6,1,7,9,8,10,8,7,8,8,8,8,7,8,1,,5000,
682496,5,10,6,5,5,5,5,3,1,1,8,8,8,8,6,8,10,10,10,7,8,8,2,,50000,7
682503,5,9,8,8,8,7,5,4,6,7,6,7,7,8,7,7,5,8,8,7,8,7,2,1,,
682532,7,8,10,8,7,7,7,7,6,1,1,10,10,10,5,10,10,7,10,6,7,7,2,,20000,
682571,7,9,5,5,6,7,7,5,3,1,8,8,8,6,7,8,9,8,8,6,6,7,2,,5000,
682593,2,9,5,5,5,5,5,5,5,8,8,8,8,9,8,8,8,8,8,9,7,7,2,1,,
682608,6,8,6,6,5,5,5,5,5,1,6,7,7,8,7,7,7,7,7,7,7,7,2,1,,
682609,7,10,7,6,7,7,7,7,6,1,7,7,7,7,7,7,7,7,7,7,7,7,2,1,,
682625,7,8,8,5,7,7,3,3,6,10,8,10,10,8,8,10,8,10,10,3,10,10,2,1,,
682704,8,10,8,6,6,6,4,5,5,1,8,8,8,8,8,8,8,8,8,8,8,8,2,,5000,
682732,2,10,6,7,4,6,6,4,3,6,7,9,7,10,9,8,9,10,9,9,9,9,2,,4000,
682737,7,10,7,7,5,5,3,3,5,1,7,10,10,8,8,8,8,10,10,8,8,8,2,,10000,
682743,1,10,7,7,7,7,5,5,6,1,7,10,10,10,10,10,8,10,10,10,10,10,2,1,,
682779,4,10,10,5,5,5,5,5,5,1,10,10,10,10,10,10,10,10,10,10,10,10,2,,10000,7
682782,8,10,10,10,10,8,8,8,6,1,10,10,10,4,6,8,10,10,10,8,7,8,2,,10000,10
682879,6,8,8,8,8,8,7,6,7,1,7,7,9,9,8,8,7,8,9,9,8,8,2,,2000,
682897,7,8,6,5,6,6,6,3,1,5,10,10,10,6,6,6,10,10,10,6,6,10,2,,2000,2
682906,3,10,3,2,5,5,5,1,8,1,8,9,9,9,9,6,10,10,10,8,9,10,2,,50000,8
682969,8,10,9,9,5,5,5,5,1,1,8,10,10,10,6,6,10,7,10,10,7,7,2,,50000,
682972,7,9,9,8,7,6,5,5,6,1,8,8,8,9,8,8,9,8,8,9,9,8,2,1,,
682982,3,9,8,8,7,7,6,6,6,1,8,8,7,7,8,7,8,9,9,8,8,7,2,1,,
683031,7,10,10,8,7,7,7,5,7,1,1,10,10,10,9,7,9,10,10,10,10,8,2,,20000,
683034,4,10,10,8,5,5,5,3,5,1,7,10,10,10,8,8,10,10,10,8,8,8,2,,50000,
683043,7,10,6,6,5,6,5,4,5,7,6,5,6,5,6,5,4,5,5,4,5,4,2,,1000,
683075,4,10,4,8,7,4,4,4,6,8,6,8,8,9,7,8,9,10,9,10,6,9,2,1,,
683081,6,10,8,7,7,7,6,4,5,1,6,10,10,10,10,10,6,10,10,10,10,10,2,1,,
683117,5,8,8,6,7,7,7,7,4,4,6,9,10,10,7,6,8,10,10,10,7,6,2,2,,
683119,7,10,8,4,8,7,7,7,5,8,8,7,8,9,8,9,8,6,8,9,8,7,2,1,,
683121,9,10,8,7,8,6,8,4,8,8,8,7,8,8,8,8,8,7,8,7,8,8,2,1,,
683147,9,10,9,8,7,7,6,5,8,1,7,9,9,9,8,7,7,9,9,9,8,7,2,,500,
683192,7,6,7,6,7,6,6,5,6,5,5,7,8,8,7,9,6,7,9,7,8,9,1,1,,
683217,5,10,5,6,6,6,6,6,6,2,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,6
683245,7,9,5,6,6,6,6,6,4,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
683246,8,9,6,6,5,5,5,5,5,9,8,9,8,8,8,8,8,8,8,8,8,8,2,1,,
683249,9,9,6,5,5,5,5,5,6,9,9,9,9,8,8,8,8,9,9,9,8,8,2,1,,
683250,9,9,5,5,5,5,5,5,4,8,8,9,9,9,7,7,8,9,8,8,8,8,2,1,,
683251,7,9,6,6,6,6,5,5,4,7,7,8,8,8,7,8,7,8,8,8,7,8,2,1,,
683257,7,9,7,7,8,8,7,7,6,2,6,8,8,8,7,8,8,8,8,9,8,8,2,1,,
683339,8,10,10,7,7,6,6,6,6,1,9,10,9,9,9,8,9,10,9,9,9,8,2,,10000,8
683344,8,9,8,8,9,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,8,8,2,,10000,8
683345,10,10,8,7,5,5,5,5,5,9,9,9,9,9,8,8,9,9,9,8,8,8,2,,15000,8
683377,7,9,6,5,6,7,8,7,5,7,7,8,7,8,8,8,7,8,8,9,8,8,2,,20000,
683381,3,10,10,10,7,7,6,4,5,3,7,10,10,10,8,8,8,8,10,10,8,8,2,1,,
683399,8,9,7,6,8,7,7,6,7,1,6,9,10,7,8,4,10,8,10,8,6,7,1,,20000,
683530,3,10,8,7,6,6,6,6,5,1,6,8,8,10,9,10,10,10,10,8,10,8,2,,10000,8
683544,4,9,6,3,2,6,5,5,5,10,5,9,9,9,6,6,8,9,9,9,6,5,1,,8000,
683611,6,9,6,5,5,5,5,5,4,7,7,8,8,8,8,8,9,8,8,8,8,8,2,1,,
683652,9,9,5,1,3,2,1,1,4,7,6,9,9,8,8,8,7,9,10,9,8,10,2,,500,
683661,4,10,10,9,8,8,7,6,9,1,10,9,9,9,9,7,10,9,9,9,9,4,2,1,,
683664,8,10,8,6,6,6,5,6,7,5,7,10,10,10,8,8,7,9,9,9,10,7,2,,10000,
683670,4,8,2,3,3,2,2,2,2,7,6,8,6,9,6,7,8,10,8,10,7,6,2,1,,
683671,9,10,2,2,1,1,1,1,2,7,7,10,10,10,5,9,10,10,10,10,7,9,2,1,,
683673,2,8,5,5,5,4,3,3,1,6,6,8,9,10,9,10,8,10,10,10,10,10,2,,3500,
683689,8,9,5,5,5,5,5,5,4,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
683696,7,10,8,8,8,6,5,5,5,10,9,9,9,9,9,9,10,9,10,10,10,10,2,1,,
