nquest,pro1,pro2,pro3,pro4,pro5,pro6,tipoimm,quopro,pro7,pro8,pro9,pro10,anposs,supab,ancostr,supte,suptm,usoimm,valabit,affitto,affeff,affimp,poss,immdove,immreg,immest
854970,1,,,,,,1,100,0,0,0,0,1979,144,1972,,,8,70000,2,0,4800,6,1,,
854990,1,,,,,,7,100,0,0,0,0,,,,,6000,9,30000,2,0,1000,3,1,,
854990,2,,,,,,1,33,0,0,0,0,1998,100,1966,,,13,200000,2,0,4000,3,1,,
854990,2,,,,,,7,33,0,0,0,0,,,,4,,9,200000,2,0,5000,3,1,,
855004,1,,,,,,7,100,0,0,0,0,,,,,4000,11,10000,2,0,1000,3,1,,
855035,2,,,,,,6,100,0,0,0,0,2003,80,1972,,,3,10000,2,0,1000,3,1,,
855035,1,2,,,,,7,100,0,0,0,0,,,,,7000,10,10000,2,0,2000,3,1,,
855035,1,,,,,,8,100,0,0,0,0,,,,,570,3,50000,2,0,2000,3,1,,
855088,1,,,,,,7,15,0,0,0,0,,,,1,,11,10000,2,0,100,3,2,18,
855111,1,,,,,,1,50,0,0,0,0,1990,100,1950,,,1,250000,2,0,600,3,1,,
855111,1,,,,,,1,50,0,0,0,0,1990,80,1951,,,1,300000,2,0,1000,3,2,4,
855155,1,,,,,,1,50,0,0,0,0,2011,45,1970,,,8,150000,2,0,400,3,1,,
855181,1,,,,,,7,100,0,0,0,0,,,,2,,3,10000,2,0,100,3,2,18,
855181,1,2,,,,,6,100,0,0,0,0,1990,100,1990,,,2,20000,2,0,200,6,2,18,
855181,1,2,,,,,1,100,0,0,0,0,1990,100,1990,,,1,30000,2,0,200,6,2,18,
855221,1,,,,,,1,100,0,0,0,0,1978,70,1974,,,8,90000,2,0,400,5,1,,
855238,1,,,,,,7,100,0,0,0,0,,,,,800,9,5000,2,0,200,3,1,,
855238,1,2,,,,,1,100,0,0,0,0,1976,75,1976,,,14,100000,2,0,5400,6,1,,
855245,1,2,,,,,7,100,0,0,0,0,,,,,4000,9,5000,2,0,300,1,1,,
855245,1,2,,,,,1,100,0,0,0,0,1992,80,1976,,,14,80000,2,0,3600,1,1,,
855259,1,2,,,,,4,100,0,0,0,0,1970,250,1940,,,5,400000,1,32000,,3,1,,
855268,1,2,,,,,3,100,0,0,0,0,1991,200,1991,,,5,200000,1,8400,,6,1,,
855274,1,,,,,,8,100,0,0,0,0,,,,2,,11,10000,2,0,300,3,1,,
855274,1,,,,,,1,100,0,0,0,0,1985,75,1947,,,8,120000,2,0,5000,3,1,,
855274,4,,,,,,1,100,0,0,0,0,1999,70,1954,,,4,140000,1,5000,,2,1,,
855274,3,,,,,,1,100,0,0,0,0,2009,113,1500,,,4,150000,1,6000,,1,1,,
855274,2,,,,,,1,100,0,0,0,0,2002,92,1995,,,4,180000,1,7200,,2,1,,
855295,1,,,,,,7,100,0,0,0,0,,,,2,,10,50000,1,,,3,1,,
855300,1,,,,,,1,12,0,0,0,0,2000,200,1900,,,8,100000,2,0,2000,3,1,,
855325,1,,,,,,3,25,0,0,0,0,1992,1000,1963,,,2,300000,2,0,10000,4,1,,
855343,1,2,,,,,1,100,0,0,0,0,1973,110,1973,,,4,100000,1,3600,,2,1,,
855343,1,2,,,,,1,100,0,0,0,0,1973,110,1973,,,4,100000,1,3600,,2,1,,
855343,1,2,,,,,1,100,0,0,0,0,1973,110,1973,,,4,100000,1,3600,,2,1,,
855344,1,,,,,,1,100,0,0,0,0,2002,50,1950,,,13,100000,2,0,3500,4,1,,
855350,2,,,,,,1,100,0,0,0,0,2007,60,2007,,,8,150000,2,0,6000,2,1,,
855372,1,,,,,,1,50,0,0,0,0,2000,100,1950,,,1,120000,2,0,5000,3,1,,
855376,1,,,,,,1,50,0,0,0,0,2000,90,1950,,,8,150000,2,0,6000,3,2,1,
855385,1,2,,,,,1,100,0,0,0,0,1993,80,1993,,,1,150000,2,0,6000,2,1,,
855417,1,,,,,,1,100,0,0,0,0,1987,50,1980,,,1,25000,2,0,100,1,2,,235
855468,2,,,,,,1,100,0,0,0,0,2010,60,1800,,,1,100000,2,0,300,1,1,,
855534,1,,,,,,7,100,0,0,0,0,,,,,1200,9,1500,2,0,100,3,1,,
855534,1,,,,,,7,100,0,0,0,0,,,,,4500,9,5000,2,0,200,3,1,,
855681,1,2,,,,,1,100,0,0,0,0,1980,150,1980,,,14,150000,2,0,300,2,1,,
855748,1,,,,,,7,25,0,0,0,0,,,,1,,8,10000,2,0,1000,3,1,,
855748,1,,,,,,1,25,0,0,0,0,2005,300,1900,,,8,300000,2,0,2400,3,1,,
855752,1,2,,,,,6,100,0,0,0,0,2006,30,2006,,,2,7000,2,0,100,2,1,,
855752,1,2,,,,,7,100,0,0,0,0,,,,1,,10,100000,2,0,1000,4,1,,
855846,1,,,,,,7,20,0,0,0,0,,,,,600,11,100,2,0,100,3,2,8,
855861,1,,,,,,1,100,0,0,0,0,1971,100,1971,,,8,180000,2,0,6000,1,1,,
855991,2,,,,,,1,33,0,0,0,0,1950,180,1920,,,15,100000,2,0,4000,1,1,,
856128,1,,,,,,7,100,0,0,0,0,,,,,4000,9,14000,2,0,300,3,1,,
856218,1,,,,,,6,100,0,0,0,0,2001,35,2001,,,2,40000,2,0,200,2,1,,
856218,2,,,,,,1,50,0,0,0,0,2007,90,1965,,,13,120000,2,0,450,3,1,,
856297,1,,,,,,1,100,0,0,0,0,1989,30,1970,,,3,50000,2,0,1500,1,1,,
856297,1,,,,,,7,100,0,0,0,0,,,,3,,9,100000,2,0,1000,3,1,,
856297,2,,,,,,1,100,0,0,0,0,1994,100,1972,,,4,160000,1,5000,,1,1,,
856297,1,,,,,,1,100,0,0,0,0,2009,160,1970,,,8,190000,2,0,3500,1,1,,
856322,1,,,,,,8,100,0,0,0,0,,,,2,,11,5000,2,0,200,3,1,,
856327,1,,,,,,1,100,0,0,0,0,1985,110,1982,,,4,300000,1,15000,,1,2,12,
856365,1,,,,,,1,100,0,0,0,0,1994,70,1994,,,4,100000,1,5200,,2,1,,
856365,1,,,,,,1,16,0,0,0,0,2004,85,1987,,,13,120000,2,0,6000,3,1,,
856374,1,,,,,,1,100,0,0,0,0,2006,150,1970,,,1,200000,2,0,6000,3,2,1,
856374,1,,,,,,1,100,0,0,0,0,1990,100,1970,,,1,200000,2,0,6000,3,2,9,
856600,1,,,,,,1,33,0,0,0,0,2010,80,1910,,,14,150000,2,0,6000,3,1,,
856664,1,2,,,,,6,100,0,0,0,0,1973,11,1973,,,3,15000,2,0,2500,2,1,,
856664,1,2,,,,,7,100,0,0,0,0,,,,6,,9,40000,2,0,1000,1,1,,
856664,1,2,,,,,1,100,0,0,0,0,1977,47,1952,,,1,80000,2,0,3600,1,1,,
856664,1,,,,,,3,50,0,0,0,0,1978,75,1973,,,5,120000,1,3600,,2,1,,
856664,1,2,,,,,1,100,0,0,0,0,1973,120,1972,,,8,300000,2,0,10800,1,1,,
856695,1,2,,,,,2,100,0,0,0,0,1979,30,1940,,,2,20000,2,0,3600,1,1,,
856695,1,2,,,,,1,100,0,0,0,0,1985,60,1890,,,1,180000,2,0,3000,1,1,,
856695,1,2,,,,,1,100,0,0,0,0,1985,65,1895,,,1,185000,2,0,3500,1,1,,
856695,1,2,,,,,2,100,0,0,0,0,1974,85,1930,,,6,380000,1,10000,,3,1,,
856708,1,3,4,5,,6,3,100,0,0,0,0,2009,150,1960,,,8,200000,2,0,6000,3,1,,
856708,1,3,4,5,,6,1,100,0,0,0,0,2009,80,1969,,,8,250000,2,0,7200,3,1,,
856708,1,3,4,5,,6,1,100,0,0,0,0,2009,80,1960,,,8,250000,2,0,7200,3,1,,
856708,2,,,,,,1,100,0,0,0,0,1980,100,1958,,,8,300000,2,0,8400,3,1,,
856731,1,,,,,,7,100,0,0,0,0,,,,1,,11,10000,2,0,100,3,2,19,
856731,1,,,,,,6,100,0,0,0,0,1990,30,1800,,,8,20000,2,0,600,5,2,19,
856731,1,,,,,,7,100,0,0,0,0,,,,2,,9,40000,2,0,300,3,2,19,
856731,1,,,,,,1,100,0,0,0,0,1997,200,1800,,,1,80000,2,0,3600,3,2,19,
856731,2,,,,,,1,100,0,0,0,0,2011,65,1955,,,4,220000,1,9600,,3,1,,
856731,2,,,,,,1,100,0,0,0,0,2010,67,1930,,,4,350000,1,13920,,3,1,,
856773,1,,,,,,3,50,0,0,0,0,2010,50,1966,,,3,50000,2,0,3600,1,1,,
856800,1,,,,,,1,100,0,0,0,0,2000,130,2000,,,1,500000,2,0,18000,1,2,7,
856941,2,,,,,,7,25,0,0,0,0,,,,,1800,11,10000,2,0,100,3,1,,
856941,1,2,,,,,1,50,0,0,0,0,1980,50,1979,,,1,80000,2,0,4200,3,1,,
856941,1,,,,,,1,100,0,0,0,0,1973,80,1965,,,6,190000,1,6000,,3,1,,
856963,1,,,,,,3,100,0,0,0,0,1970,70,1950,,,3,10000,2,0,600,3,1,,
856963,2,,,,,,7,100,0,0,0,0,,,,13,,4,25000,1,840,,3,1,,
856977,1,,,,,,7,100,0,0,0,0,,,,10,,9,30000,2,0,3000,3,1,,
856977,2,3,,,,,3,100,0,0,0,0,1996,250,1978,,,2,50000,2,0,3500,6,1,,
857273,1,,,,,,7,100,0,0,0,0,,,,,2500,11,10000,2,0,1000,3,1,,
857273,1,,,,,,6,100,0,0,0,0,2005,50,1920,,,3,30000,2,0,200,1,1,,
857353,2,,,,,,1,25,0,0,0,0,2012,70,1900,,,3,50000,2,0,1200,3,1,,
857353,2,,,,,,8,25,0,0,0,0,,,,1,,11,50000,2,0,500,3,1,,
857368,1,,,,,,7,100,0,0,0,0,,,,33,,9,100000,2,0,1000,3,1,,
857373,2,,,,,,1,100,0,0,0,0,2001,124,1985,,,2,300000,2,0,10000,2,1,,
857373,1,2,,,,,1,100,0,0,0,0,2005,70,1980,,,1,300000,2,0,9000,1,1,,
857373,1,,,,,,1,100,0,0,0,0,2012,300,1990,,,3,500000,2,0,12000,1,1,,
857466,1,,,,,,7,100,0,0,0,0,,,,4,,9,5000,2,0,100,3,1,,
857467,1,2,,,,,7,100,0,0,0,0,,,,6,,9,30000,2,0,1000,3,1,,
857467,1,2,,,,,1,100,0,0,0,0,2006,150,1972,,,14,80000,2,0,2500,3,1,,
857470,1,2,,,,,7,100,0,0,0,0,,,,2,,3,10000,2,0,1000,3,1,,
857549,1,,,,,,1,100,0,0,0,0,1960,90,1960,,,4,70000,2,0,3600,1,1,,
857624,1,2,,,,,6,100,0,0,0,0,2001,35,2001,,,2,100000,2,0,1800,1,1,,
857624,2,,,,,,1,100,0,0,0,0,2011,60,1900,,,4,150000,1,1500,,3,1,,
857624,2,,,,,,1,100,0,0,0,0,2011,70,1972,,,4,200000,1,1900,,3,1,,
857679,1,,,,,,1,100,0,0,0,0,2003,86,1911,,,14,200000,2,0,650,3,1,,
857686,1,2,,,,,6,100,0,0,0,0,1994,15,1975,,,2,35000,2,0,150,1,1,,
857840,1,,,,,,4,100,0,0,0,0,2006,33,1900,,,4,200000,1,13000,,3,1,,
857866,1,,,,,,1,100,0,0,0,0,1989,100,1975,,,14,170000,2,0,7800,1,1,,
857892,1,2,,,,,1,100,0,0,0,0,1998,60,1970,,,14,150000,2,0,7200,1,1,,
857892,1,,,,,,1,100,0,0,0,0,1993,100,1950,,,13,250000,2,0,9600,5,1,,
857895,1,,,,,,1,50,0,0,0,0,1992,95,1961,,,14,180000,2,0,7200,3,1,,
857994,1,,,,,,1,100,0,0,0,0,1990,50,1900,,,1,30000,2,0,1200,1,1,,
857994,1,,,,,,1,100,0,0,0,0,2007,100,2007,,,8,180000,2,0,500,2,1,,
858047,1,,,,,,1,100,0,0,0,0,2004,60,1960,,,4,100000,1,6000,,3,1,,
858090,2,,,,,,7,100,0,0,0,0,,,,10,,10,100000,2,0,1000,3,1,,
858159,1,2,,,,,1,100,0,0,0,0,2008,75,2001,,,4,120000,1,4800,,2,1,,
858186,1,,,,,,7,100,0,0,0,0,,,,7,,4,140000,1,2100,,4,1,,
858305,1,,,,,,1,33,0,0,0,0,2008,400,1800,,,8,200000,2,0,4000,3,2,3,
858712,1,,,,,,7,100,0,0,0,0,,,,,200,9,20000,2,0,300,3,1,,
858722,1,2,,,,,1,100,0,0,0,0,1970,57,1968,,,1,50000,2,0,3000,6,1,,
858787,1,,,,,,6,100,0,0,0,0,1981,15,1900,,,3,10000,2,0,1000,3,1,,
858787,1,,,,,,6,100,0,0,0,0,1981,15,1900,,,3,10000,2,0,1000,3,1,,
858787,1,,,,,,6,100,0,0,0,0,1981,15,1900,,,3,10000,2,0,1000,3,1,,
858787,1,,,,,,6,50,0,0,0,0,1981,15,1900,,,4,10000,1,1000,,3,1,,
858787,1,,,,,,1,50,0,0,0,0,1981,65,1900,,,4,60000,1,720,,3,1,,
858787,1,,,,,,1,50,0,0,0,0,1981,65,1900,,,4,60000,1,720,,3,1,,
858787,1,,,,,,1,50,0,0,0,0,1981,65,1900,,,4,60000,1,720,,3,1,,
858799,1,2,,,,,7,100,0,0,0,0,,,,2,,9,30000,2,0,1000,3,1,,
858950,1,2,,,,,7,100,0,0,0,0,,,,,3000,11,2000,2,0,50,1,1,,
858950,1,2,,,,,1,100,0,0,0,0,2009,60,1985,,,1,80000,2,0,300,1,1,,
859022,1,,,,,,1,100,0,0,0,0,2012,80,1900,,,4,140000,1,2400,,7,1,,
859085,1,,,,,,6,100,0,0,0,0,2002,25,1970,,,3,80000,2,0,3000,2,1,,
859212,1,2,,,,,4,100,0,0,0,0,1974,40,1940,,,4,100000,1,5400,,1,2,7,
859259,1,,,,,,1,50,0,0,0,0,2007,90,1968,,,1,90000,2,0,3000,3,2,19,
859259,1,,,,,,3,66,0,0,0,0,1980,300,1900,,,8,170000,2,0,20000,3,1,,
859259,1,2,3,,,,1,100,0,0,0,0,1979,90,1860,,,8,200000,2,0,3000,3,2,17,
859261,1,,,,,,1,50,0,0,0,0,1980,90,1978,,,14,120000,2,0,7000,5,1,,
859264,2,,,,,,1,50,0,0,0,0,1992,55,1970,,,13,90000,2,0,4500,1,1,,
859321,2,,,,,,3,100,0,0,0,0,2001,35,1996,,,3,30000,2,0,840,2,1,,
859321,1,,,,,,1,100,0,0,0,0,2004,120,1850,,,15,140000,2,0,1200,1,1,,
859321,1,,,,,,1,50,0,0,0,0,2012,80,1960,,,13,150000,2,0,4800,3,1,,
859321,2,,,,,,1,100,0,0,0,0,2010,75,2006,,,1,190000,2,0,6000,1,1,,
859321,1,2,,,,,1,100,0,0,0,0,1998,360,1850,,,3,240000,2,0,3600,1,1,,
859321,1,,,,,,1,100,0,0,0,0,2000,150,1850,,,3,350000,2,0,8400,1,1,,
859449,1,,,,,,8,25,0,0,0,0,,,,5,,11,10000,2,0,500,3,1,,
859449,1,,,,,,7,25,0,0,0,0,,,,5,,11,50000,2,0,1500,3,1,,
859449,1,,,,,,1,25,0,0,0,0,2002,100,1900,,,8,100000,2,0,3000,3,1,,
859453,1,2,,,,,1,100,0,0,0,0,1989,130,1988,,,3,100000,2,0,7200,6,1,,
859453,1,2,,,,,5,100,0,0,0,0,1967,250,1967,,,2,120000,2,0,12000,4,1,,
859456,1,2,,,,,1,100,0,0,0,0,2004,90,1900,,,8,100000,2,0,4000,1,1,,
859459,1,2,,,,,1,100,0,0,0,0,1990,80,1990,,,2,100000,2,0,6000,6,1,,
859464,1,,,,,,4,50,0,0,0,0,2001,30,1900,,,2,100000,2,0,12000,1,1,,
859501,1,,,,,,1,100,0,0,0,0,2006,25,1960,,,3,50000,1,2400,,3,1,,
859592,1,2,,,,,1,100,0,0,0,0,1993,70,1988,,,1,40000,2,0,200,1,1,,
859592,3,,,,,,1,100,0,0,0,0,2011,100,1972,,,3,100000,2,0,200,6,1,,
859597,1,,,,,,1,100,0,0,0,0,2011,70,1985,,,1,30000,2,0,3000,3,1,,
859734,1,,,,,,7,100,0,0,0,0,,,,,1500,11,3000,2,0,500,3,1,,
859734,1,,,,,,4,100,0,0,0,0,1992,45,1970,,,5,100000,1,3600,,3,1,,
859734,1,,,,,,4,100,0,0,0,0,1992,45,1970,,,5,100000,1,3600,,3,1,,
859754,1,2,,,,,1,100,0,0,0,0,1994,44,1980,,,1,50000,2,0,200,1,2,16,
859779,1,2,,,,,1,100,0,0,0,0,1991,50,1991,,,1,110000,2,0,600,2,1,,
859795,2,,,,,,1,100,0,0,0,0,1985,60,1956,,,3,150000,2,0,500,3,1,,
859856,1,,,,,,1,100,0,0,0,0,2003,40,1900,,,8,30000,2,0,1500,1,1,,
859983,2,,,,,,6,100,0,0,0,0,1998,20,1960,,,8,40000,2,0,4000,3,1,,
859983,1,,,,,,1,100,0,0,0,0,1998,90,1920,,,8,100000,2,0,6000,3,2,12,
859983,2,,,,,,1,100,0,0,0,0,1990,100,1960,,,8,400000,2,0,12000,3,1,,
859983,1,2,,,,,1,100,0,0,0,0,1993,100,1953,,,1,500000,2,0,15000,2,2,1,
859993,1,,,,,,2,50,0,0,0,0,1986,230,1960,,,2,800000,2,0,30000,1,1,,
860011,1,4,,,,,1,100,0,0,0,0,1968,50,1968,,,1,220000,2,0,3000,2,2,5,
860011,2,,,,,,1,100,0,0,0,0,1994,50,1984,,,1,250000,2,0,5000,1,2,3,
860042,1,2,,,,,1,100,0,0,0,0,1989,110,1930,,,1,400000,2,0,12000,1,2,9,
860092,1,,,,,,1,100,0,0,0,0,1960,100,1960,,,1,500000,2,0,8000,1,2,1,
860167,2,,,,,,1,100,0,0,0,0,2010,105,1950,,,3,120000,2,0,7200,1,1,,
860381,1,2,,,,,1,100,0,0,0,0,1990,70,1960,,,13,110000,2,0,600,1,1,,
860484,1,2,,,,,6,100,0,0,0,0,1989,5,1989,,,3,10000,2,0,100,1,1,,
860503,1,,,,,,7,100,0,0,0,0,,,,1,,9,30000,2,0,100,1,1,,
860757,1,2,,,,,7,100,0,0,0,0,,,,,1300,11,13000,2,0,500,1,1,,
860780,1,,,,,,7,100,0,0,0,0,,,,,1000,11,10000,2,0,100,5,1,,
860780,1,,,,,,1,100,0,0,0,0,1990,50,1800,,,8,15000,2,0,500,5,1,,
860780,1,,,,,,8,100,0,0,0,0,,,,,500,11,15000,2,0,200,5,1,,
860851,1,,,,,,1,100,0,0,0,0,1999,68,1965,,,1,200000,2,0,6000,1,1,,
860940,1,,,,,,4,50,0,0,0,0,2012,60,1950,,,8,100000,2,0,5000,3,1,,
860940,2,,,,,,1,50,0,0,0,0,2012,65,1960,,,14,120000,2,0,6000,3,1,,
860940,1,,,,,,1,50,0,0,0,0,2012,85,1940,,,14,150000,2,0,6500,3,1,,
861019,2,,,,,,7,100,0,0,0,0,,,,3,,9,90000,2,0,5000,3,1,,
861061,1,2,,,,,6,100,0,0,0,0,2008,15,1990,,,2,20000,2,0,1200,1,1,,
861061,2,,,,,,1,100,0,0,0,0,2004,80,1980,,,4,200000,1,9000,,5,2,13,
861345,1,2,,,,,7,90,0,0,0,0,,,,2,,11,20000,2,0,100,3,1,,
861471,2,,,,,,1,100,0,0,0,0,1998,100,1986,,,1,120000,2,0,5000,1,2,,235
861476,1,2,,,,,4,100,0,0,0,0,1990,30,1980,,,8,60000,2,0,500,1,1,,
861477,1,,,,,,1,100,0,0,0,0,2007,80,1980,,,3,90000,2,0,5000,1,1,,
861477,1,,,,,,1,100,0,0,0,0,2006,90,1950,,,13,190000,2,0,9000,5,1,,
861858,1,,,,,,1,100,0,0,0,0,1990,90,1971,,,4,250000,1,6000,,5,1,,
861867,1,,,,,,1,100,0,0,0,0,1992,25,1990,,,3,15000,2,0,2000,1,1,,
861954,1,,,,,,7,100,0,0,0,0,,,,2,,10,100000,2,0,2000,3,1,,
861954,1,,,,,,1,100,0,0,0,0,2007,70,1900,,,14,150000,2,0,2400,3,1,,
861992,1,,,,,,7,20,0,0,0,0,,,,15,,4,400000,1,3000,,3,1,,
862080,1,2,,,,,6,16,0,0,0,0,2006,26,2006,,,8,2500,2,0,2000,1,1,,
862080,1,2,,,,,6,100,0,0,0,0,2006,32,2006,,,8,6000,2,0,2500,1,1,,
862080,1,2,,,,,1,100,0,0,0,0,2006,94,2006,,,8,250000,2,0,10000,1,1,,
862162,1,,,,,,7,100,0,0,0,0,,,,1,,9,,2,0,,3,1,,
862168,1,,,,,,8,50,0,0,0,0,,,,1,,11,10000,2,0,100,3,1,,
862168,1,,,,,6,7,50,0,0,0,0,,,,2,,9,65000,2,0,100,3,1,,
862302,1,,,,,,3,30,0,0,0,0,1980,16,1955,,,3,20000,2,0,1200,3,1,,
862310,1,2,,,,,1,100,0,0,0,0,1992,40,1992,,,1,100000,2,0,1500,6,1,,
862455,2,,,,,,3,100,0,0,0,0,1990,1000,1990,,,2,50000,2,0,500,1,1,,
862583,2,,,,,,1,100,0,0,0,0,2000,160,1970,,,14,200000,2,0,5000,5,1,,
862604,2,,,,,,7,100,0,0,0,0,,,,4,,10,100000,2,0,1000,3,1,,
862605,2,,,,,,3,100,0,0,0,0,1978,100,1960,,,2,70000,2,0,600,3,1,,
862605,2,,,,,,7,100,0,0,0,0,,,,2,,10,100000,2,0,2000,3,1,,
862739,1,,,,,,1,100,0,0,0,0,1990,100,1860,,,3,100000,2,0,6000,1,2,,243
862826,1,,,,,,1,100,0,0,0,0,1991,130,1991,,,3,60000,2,0,2400,6,2,,254
862877,1,,,,,,1,20,0,0,0,0,1999,100,1920,,,8,100000,2,0,500,3,1,,
862939,1,,,,,,6,50,0,0,0,0,1995,15,1995,,,3,25000,2,0,600,2,1,,
862939,1,,,,,,6,50,0,0,0,0,1995,15,1995,,,3,25000,1,600,,2,1,,
862939,1,,,,,,1,100,0,0,0,0,1997,70,1800,,,14,120000,2,0,10000,1,1,,
862939,1,,,,,,1,100,0,0,0,0,2001,150,1931,,,1,250000,2,0,15000,1,2,7,
862968,1,2,,,,,7,100,0,0,0,0,,,,1,,9,3000,2,0,200,1,1,,
862968,2,,,,,,7,100,0,0,0,0,,,,1,,11,5000,2,0,200,4,1,,
862968,2,,,,,,7,100,0,0,0,0,,,,1,,11,5000,2,0,300,1,1,,
862968,2,,,,,,3,100,0,0,0,0,1990,350,1990,,,2,80000,2,0,5000,6,1,,
862975,1,,,,,,7,33,0,0,0,0,,,,,2500,11,1500,2,0,100,3,1,,
862975,1,,,,,,7,33,0,0,0,0,,,,,2000,11,1500,2,0,100,3,1,,
862975,1,,,,,,7,100,0,0,0,0,,,,,3300,9,3000,2,0,500,3,1,,
862976,2,,,,,,7,50,0,0,0,0,,,,,3200,11,1000,2,0,50,3,1,,
862976,1,2,,,,,7,100,0,0,0,0,,,,,1400,11,2000,2,0,50,1,1,,
862976,1,2,,,,,7,100,0,0,0,0,,,,1,,9,14000,2,0,250,4,1,,
862976,1,,,,,,1,100,0,0,0,0,1987,80,1817,,,8,15000,2,0,100,3,1,,
863055,1,3,,,,,1,100,0,0,0,0,2012,220,1960,,,15,400000,2,0,1000,1,1,,
863064,2,,,,,,1,100,0,0,0,0,1995,75,1960,,,14,140000,2,0,500,1,1,,
863078,1,,,,,,8,100,0,0,0,0,,,,,100,11,100,2,0,,4,1,,
863157,1,2,,,,,1,100,0,0,0,0,1990,28,1988,,,1,120000,2,0,4000,2,1,,
863195,1,,,,,,7,35,0,0,0,0,,,,1,,8,12000,2,0,1000,3,1,,
863195,1,,,,,,1,35,0,0,0,0,1954,100,1900,,,8,20000,2,0,500,3,1,,
863239,1,,,,,,1,100,0,0,0,0,1999,45,1900,,,8,30000,2,0,2000,3,2,17,
863239,2,,,,,,1,100,0,0,0,0,2007,52,2007,,,4,150000,1,4800,,1,1,,
863291,1,,,,,,1,50,0,0,0,0,1990,30,1990,,,1,50000,2,0,2500,2,1,,
863291,1,,,,,,1,17,0,0,0,0,2003,70,1980,,,1,150000,2,0,6000,3,1,,
863308,1,,,,,,6,100,0,0,0,0,1987,40,1900,,,8,30000,2,0,2000,3,1,,
863308,1,,,,,,6,100,0,0,0,0,1987,30,1900,,,8,30000,2,0,1000,3,1,,
863308,1,,,,,,6,100,0,0,0,0,1987,30,1900,,,8,30000,2,0,1500,3,1,,
863308,1,,,,,,1,100,0,0,0,0,1987,50,1900,,,4,70000,1,3000,,3,1,,
863308,1,,,,,,1,100,0,0,0,0,1987,50,1900,,,8,80000,2,0,3000,3,1,,
863308,1,,,,,,1,100,0,0,0,0,1987,70,1900,,,8,80000,2,0,3000,3,1,,
863308,1,,,,,,1,100,0,0,0,0,1987,50,1900,,,8,80000,2,0,4000,3,1,,
863308,1,,,,,,1,100,0,0,0,0,1987,80,1900,,,4,100000,1,5000,,3,1,,
863308,1,,,,,,1,100,0,0,0,0,1987,70,1900,,,14,100000,2,0,4500,3,1,,
863308,1,,,,,,1,100,0,0,0,0,1971,170,1962,,,1,200000,2,0,5000,3,1,,
863387,1,,,,,,1,100,0,0,0,0,2009,150,1900,,,8,115000,2,0,4500,3,2,19,
863387,1,,,,,,1,100,0,0,0,0,2009,160,1968,,,8,150000,2,0,6000,3,2,19,
863387,1,,,,,,7,100,0,0,0,0,,,,3,,14,200000,2,0,3000,3,2,19,
863397,1,,,,,,1,33,0,0,0,0,1998,160,1971,,,14,300000,2,0,3600,3,1,,
863402,1,,,,,,2,50,0,0,0,0,2009,10,1960,,,2,10000,2,0,1200,3,1,,
863402,1,,,,,,2,50,0,0,0,0,2009,50,1960,,,8,40000,2,0,5000,3,1,,
863402,1,,,,,,2,50,0,0,0,0,2009,250,1960,,,5,200000,1,6000,,3,1,,
863673,2,,,,,,1,100,0,0,0,0,1968,80,1954,,,1,200000,2,0,800,3,2,7,
863684,1,,,,,,4,50,0,0,0,0,1998,20,1960,,,2,70000,2,0,450,1,1,,
863691,1,2,,,,,3,50,0,0,0,0,1987,600,1987,,,5,600000,1,18000,,7,1,,
863719,1,2,,,,,1,100,0,0,0,0,1990,70,1980,,,3,120000,2,0,300,4,1,,
863863,1,,,,,,7,100,0,0,0,0,,,,,1000,3,5000,2,0,200,3,1,,
863863,1,,,,,,1,100,0,0,0,0,2008,66,1920,,,4,90000,1,4800,,3,1,,
863863,1,,,,,,1,100,0,0,0,0,2008,95,1950,,,4,110000,1,4800,,3,1,,
864000,1,,,,,,1,100,0,0,0,0,2007,60,1978,,,1,100000,2,0,4000,1,1,,
864040,1,2,,,,,7,100,0,0,0,0,,,,1,,3,20000,2,0,5000,1,1,,
864040,1,2,,,,,1,100,0,0,0,0,1972,80,1972,,,14,200000,2,0,11000,1,1,,
864040,1,2,,,,,1,100,0,0,0,0,1975,300,1975,,,1,750000,2,0,15000,6,1,,
864125,1,,,,,,1,100,0,0,0,0,2003,55,1962,,,8,30000,2,0,3600,1,1,,
864125,1,,,,,,6,100,0,0,0,0,2005,60,1998,,,3,55000,2,0,6000,1,1,,
864125,2,,,,,,1,33,0,0,0,0,2012,100,1970,,,14,250000,2,0,9600,3,2,8,
864220,2,,,,,,1,100,0,0,0,0,1959,50,1900,,,1,80000,2,0,1800,3,1,,
864228,2,,,,,,1,22,0,0,0,0,1980,130,1800,,,3,50000,2,0,500,3,1,,
864228,1,,,,,,1,100,0,0,0,0,2012,200,1885,,,3,500000,2,0,1500,3,1,,
864243,1,,,,,,7,100,0,0,0,0,,,,,300,9,10000,2,0,1000,1,1,,
864456,1,,,,,,2,100,0,0,0,0,2011,130,1960,,,2,700000,2,0,30000,3,1,,
864473,1,2,,,,,1,100,0,0,0,0,1990,90,1990,,,4,300000,1,1200,,6,2,,323
864474,1,2,,,,,1,100,0,0,0,0,2000,60,1900,,,1,70000,2,0,2000,1,2,11,
864477,1,,,,,,1,50,0,0,0,0,2007,120,1975,,,1,400000,2,0,700,3,2,9,
864486,1,,,,,,1,100,0,0,0,0,1992,50,1940,,,6,100000,1,3500,,1,1,,
864532,1,,,,,,7,50,0,0,0,0,,,,1,,11,4000,2,0,100,3,2,19,
