nquest,pro1,pro2,pro3,pro4,pro5,pro6,tipoimm,quopro,pro7,pro8,pro9,pro10,anposs,supab,ancostr,supte,suptm,usoimm,valabit,affitto,affeff,affimp,poss,immdove,immreg,immest
29684,1,,,,,,4,50,0,0,0,0,2006,160,1970,,,5,70000,1,3000,,3,1,,
29684,1,,,,,,1,50,0,0,0,0,2006,100,1990,,,4,80000,1,1500,,3,1,,
29684,1,,,,,,1,100,0,0,0,0,2006,100,1990,,,4,100000,1,1500,,3,1,,
29684,1,2,,,,,1,100,0,0,0,0,1998,80,1960,,,1,120000,2,0,3500,1,1,,
29742,1,2,,,,,8,100,0,0,0,0,,,,,100,3,2500,2,0,200,1,1,,
31092,1,2,,,,,1,100,0,0,0,0,1989,70,1950,,,8,75000,2,0,5000,1,1,,
31092,1,2,,,,,1,100,0,0,0,0,1995,80,1960,,,8,110000,2,0,5000,1,1,,
31092,1,2,,,,,1,100,0,0,0,0,2010,100,1955,,,8,120000,2,0,4000,1,1,,
31093,1,,,,,,4,100,0,0,0,0,1990,150,1930,,,2,400000,2,0,18000,4,1,,
31122,1,,,,,,8,100,0,0,0,0,,,,5,,8,20000,2,0,10000,2,2,16,
31122,1,,,,,,8,100,0,0,0,0,,,,10,,8,20000,2,0,10000,2,2,16,
31137,1,2,,,,,1,100,0,0,0,0,1987,70,1965,,,13,150000,2,0,6000,1,1,,
31219,1,,,,,,1,100,0,0,0,0,1958,130,1957,,,8,90000,2,0,3600,1,1,,
31220,1,,,,,,7,100,0,0,0,0,,,,,1500,11,20000,2,0,150,7,1,,
31220,1,2,,,,,1,100,0,0,0,0,1988,65,1988,,,4,90000,1,3000,,6,1,,
31220,1,2,,,,,1,100,0,0,0,0,1999,140,1986,,,13,110000,2,0,1000,1,1,,
31220,1,2,,,,,1,100,0,0,0,0,1965,140,1800,,,8,150000,2,0,,2,1,,
31220,1,,,,,,8,33,0,0,0,0,,,,,4000,8,150000,2,0,500,3,1,,
31220,1,2,,,,,3,100,0,0,0,0,1992,330,1960,,,5,200000,1,12000,,1,1,,
31220,1,2,,,,,3,100,0,0,0,0,1992,330,1960,,,8,200000,2,0,12000,1,1,,
31221,1,2,,,,,1,100,0,0,0,0,2003,50,2003,,,8,150000,2,0,400,1,1,,
31304,1,,,,,,1,50,0,0,0,0,1987,160,1925,,,14,500000,2,0,1000,3,1,,
31309,1,4,,,,,1,100,0,0,0,0,2012,400,2012,,,3,1000000,2,0,1000,6,1,,
31387,1,2,,,,,6,100,0,0,0,0,1985,21,1985,,,3,12000,2,0,1200,1,1,,
31441,1,2,,,,,1,100,0,0,0,0,2005,30,1973,,,14,70000,2,0,6000,1,1,,
31441,1,2,,,,,1,100,0,0,0,0,2008,85,1973,,,8,150000,2,0,9600,1,1,,
31448,1,,,,,,1,100,0,0,0,0,1968,35,1968,,,14,100000,2,0,3600,2,1,,
31625,1,,,,,,7,100,0,0,0,0,,,,2,,9,20000,2,0,500,3,2,16,
31625,1,,,,,,1,100,0,0,0,0,1985,70,1985,,,1,90000,2,0,250,4,2,16,
31652,2,,,,,,8,35,0,0,0,0,,,,,250,11,35000,2,0,100,3,1,,
31652,2,,,,,,1,100,0,0,0,0,1977,90,1964,,,4,120000,1,2500,,3,1,,
31652,2,,,,,,7,35,0,0,0,0,,,,30,,4,1000000,1,1000,,3,1,,
31695,1,,,,,,6,100,0,0,0,0,1987,40,1987,,,3,15000,2,0,200,5,1,,
31695,1,,,,,,6,100,0,0,0,0,1987,20,1987,,,3,15000,2,0,300,5,1,,
31724,2,3,,,,,6,100,0,0,0,0,1989,35,1980,,,2,100000,2,0,1200,1,1,,
31799,1,2,,,,,7,100,0,0,0,0,,,,,5000,3,40000,2,0,2500,3,1,,
32144,1,,,,,,7,100,0,0,0,0,,,,1,,3,30000,2,0,2000,3,1,,
32198,1,,,,,,6,100,0,0,0,0,1992,15,1992,,,3,130000,2,0,2400,2,1,,
32198,2,,,,,,6,100,0,0,0,0,2000,18,1985,,,3,135000,2,0,2400,1,1,,
32198,1,,,,,,1,100,0,0,0,0,1978,75,1952,,,4,500000,1,4800,,1,1,,
32198,1,2,,,,,1,100,0,0,0,0,1994,80,1700,,,4,800000,1,6000,,1,1,,
32198,1,2,,,,,1,100,0,0,0,0,1992,120,1939,,,4,800000,1,12000,,1,1,,
32198,2,,,,,,1,100,0,0,0,0,1970,115,1500,,,6,800000,1,7000,,1,1,,
