nquest,debm31,tdebita31,mutuodu31,mutuoin31,tmutuoab31,debgar31_1,debgar31_2,debgar31_3,debgar31_4,debgar31_5,DEBPERS31,debrf31,debm32,tdebita32,mutuodu32,mutuoin32,tmutuoab32,debgar32_1,debgar32_2,debgar32_3,debgar32_4,debgar32_5,DEBPERS32,debrf32,debm33,tdebita33,mutuodu33,mutuoin33,tmutuoab33,debgar33_1,debgar33_2,debgar33_3,debgar33_4,debgar33_5,DEBPERS33,debrf33,taeg11,taeg12,taeg13
674757,1,6000,7,11000,1800,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,
674868,2,8000,3,15000,6000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,10,,
674968,1,2400,5,11000,3000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
675132,1,5000,4,10000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
675232,4,12400,10,18000,2800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
675265,1,4500,5,12000,4200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,
675315,1,2200,7,7200,1680,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,
675334,1,15000,10,30000,3600,0,0,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,
675988,4,3000,4,5000,1400,0,0,0,1,0,1,1,4,400,2,2000,1000,0,0,0,1,0,1,2,,,,,,,,,,,,,5,10.05,
676000,1,12000,5,16000,5520,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
676470,2,50,3,3600,1100,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,
676851,4,12300,5,15000,4600,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,
677230,1,2000,2,5000,3000,0,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
677775,2,700,3,800,300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
677896,1,9000,5,12800,2700,0,0,0,1,0,1,2,1,9000,7,10500,1740,0,0,0,1,0,1,1,,,,,,,,,,,,,7,7,
678091,1,10000,5,13000,3080,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
678190,1,6000,5,12000,3600,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,9,,
678255,1,1595,2,2669,1074,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8.05,,
678347,4,7937,5,33000,6732,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,
680244,1,2000,4,10000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
680285,4,3500,5,5000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
680651,1,3600,6,9400,2160,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
680746,1,19000,5,22000,5184,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
680870,1,4000,4,5000,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,
681097,4,2400,4,3600,1152,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
681099,1,1600,3,4000,1920,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
681394,1,2600,7,10000,2400,0,0,0,1,0,1,2,1,15000,5,16000,1900,0,0,0,1,0,1,2,,,,,,,,,,,,,0,0,
681499,1,350,6,8000,1800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
681520,1,19000,7,20000,3600,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
681711,2,600,1,900,300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
681713,1,3000,4,12000,3840,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
