nquest,nord,intper,entepen,tipopen,decor,tpens,mesipen,arret,tarret,quotape,npens
31625,1,1,1,5,1978,720,13,2,0,,1
31652,1,1,2,1,1994,2000,13,2,0,90,1
31652,2,1,2,1,1992,1100,13,2,0,60,1
31665,1,1,1,1,1997,1100,13,2,0,70,1
31671,1,1,1,5,1999,1800,13,2,0,,1
31724,5,1,1,5,2009,500,13,2,0,,2
31724,5,1,1,5,2009,1000,13,2,0,,1
31735,1,1,1,1,1995,1050,13,2,0,75,1
31735,2,1,1,1,1990,490,13,2,0,60,1
31757,1,1,1,5,1988,750,13,2,0,,1
31785,1,1,1,1,2004,1800,13,2,0,100,1
31785,1,1,5,7,2004,300,13,2,0,,2
31785,2,1,1,1,2012,1500,13,2,0,100,1
31798,1,1,1,1,1996,900,10,2,0,80,1
31799,1,1,1,1,2008,580,13,2,0,60,1
31799,2,1,1,1,1995,1400,13,2,0,80,1
31868,1,1,1,4,2012,278,13,1,3013,,1
31912,1,1,1,1,1995,520,13,2,0,60,1
31912,2,1,1,1,1984,1000,13,2,0,80,1
32001,1,1,1,1,1985,1400,12,2,0,90,1
32001,1,1,1,3,1984,450,12,2,0,,2
32028,1,1,2,1,2010,1950,13,2,0,90,1
32028,2,1,2,1,2007,1800,13,2,0,90,1
32034,1,1,1,1,1996,1200,13,2,0,70,1
32041,1,1,2,1,1994,1100,13,2,0,80,1
32041,2,2,1,1,2004,450,13,2,0,60,1
32044,1,1,1,5,1997,1000,13,2,0,,1
32052,1,1,1,1,2000,1400,13,2,0,80,1
32052,2,1,2,1,2004,750,13,2,0,65,1
32057,2,1,1,1,2008,1300,13,2,0,65,1
32057,3,1,2,1,2006,1250,13,2,0,80,1
32067,1,1,1,1,2000,1100,13,2,0,75,1
32144,1,1,1,1,2007,800,12,2,0,70,1
32144,2,1,1,1,2004,700,12,2,0,80,1
32190,1,1,2,1,2004,2400,13,2,0,95,1
32198,1,1,1,1,1996,1647,13,2,0,15,1
32198,2,2,1,1,1997,1745,13,2,0,10,1
32209,2,1,1,1,1990,1480,13,2,0,80,1
32210,2,1,1,1,2012,860,13,2,0,60,1
32229,1,1,1,5,2010,890,13,2,0,,1
32318,1,1,1,2,1995,400,13,2,0,,1
32318,1,1,3,5,1994,500,13,2,0,,2
32328,1,1,1,5,1992,760,13,2,0,,1
32470,1,1,1,1,1994,1500,13,2,0,90,1
32471,1,1,1,1,1997,470,13,2,0,70,1
32471,1,1,1,5,1987,150,13,2,0,,2
32524,1,1,1,1,1987,2154,13,2,0,56,1
32524,2,1,1,1,2005,1730,13,2,0,72,1
32556,1,1,1,1,2005,1100,13,2,0,70,1
32556,1,1,1,5,1985,200,13,2,0,,2
32668,1,1,1,1,1995,1400,13,2,0,60,1
32703,1,1,1,1,1981,620,13,2,0,35,1
32703,1,1,2,3,2011,720,13,2,0,,2
32703,2,2,1,1,2010,780,13,2,0,80,1
32709,1,1,1,1,1997,1400,13,2,0,80,1
32709,2,1,1,1,2000,580,13,2,0,50,1
32733,1,1,1,1,1991,798,13,2,0,40,1
32742,1,1,1,1,1998,1520,13,2,0,70,1
32742,2,1,1,1,1998,1100,13,2,0,70,1
32751,1,1,2,1,1989,760,13,2,0,70,1
32751,1,1,2,5,2006,600,13,2,0,,2
32772,2,1,1,1,2002,1500,13,2,0,85,1
32810,1,1,1,1,1991,400,13,2,0,80,1
32810,1,1,1,5,1972,161,13,2,0,,2
32822,1,1,2,1,1994,1953,13,2,0,90,1
32839,1,1,1,1,1999,1520,13,2,0,80,1
32861,1,1,1,1,2002,1500,13,2,0,100,1
32861,2,2,1,1,2010,1000,13,2,0,80,1
32962,1,1,1,1,2004,2050,13,2,0,92,1
32982,1,1,2,5,1983,1100,13,2,0,,1
32987,1,1,1,1,1992,1200,13,2,0,80,1
32987,2,2,1,1,1993,480,13,2,0,100,1
33036,1,1,1,1,2001,800,13,2,0,70,1
33228,1,1,1,1,1990,1500,13,2,0,90,1
33245,1,1,1,1,1990,1650,13,2,0,90,1
33245,2,1,1,1,1996,310,13,2,0,30,1
33275,1,1,1,1,2001,1600,13,2,0,95,1
33275,2,1,1,1,2006,1400,13,2,0,80,1
33303,1,1,2,1,2004,1550,13,2,0,90,1
33303,2,1,1,1,1999,960,13,2,0,85,1
33328,2,1,1,1,1990,680,13,2,0,70,1
33328,3,1,1,1,1995,650,13,2,0,80,1
