nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,etalav2,etapen,coppu,prevcom,anprevcom,mprevcom1,mprevcom,coppip,docsezb
27739,1,0,,,,,,,,,,,,,,,,2
27742,1,1,2,,,15,1,1,,,,,,,,,,1
27742,2,3,2,,1,30,1,4,,30,70,70,2,,,,,1
27744,1,2,2,,2,14,1,37,,,,,,,,,,2
27744,2,1,2,,,19,1,32,,,,,,,,,,2
27881,1,3,1,1,1,14,1,35,,,,,,,,,,2
27912,1,1,2,,,22,1,37,,,,,,,,,,2
27912,2,3,2,,1,24,1,34,,27,,,2,,,,,2
27912,3,3,1,1,1,22,1,3,,26,,,2,,,,,2
27923,1,3,2,,1,18,1,38,,,,,,,,,,2
27923,2,1,2,,,16,1,8,,,,,,,,,,2
27923,3,0,,,,,,,,,,,,,,,,2
27923,4,,,,,,,,,,,,,,,,,2
27930,1,2,2,,1,18,1,45,,,,,,,,,,2
27930,2,1,2,,,28,1,32,,,,,,,,,,2
27947,1,1,2,,,18,1,32,,,,,,,,,,2
27947,2,0,,,,,,,,,,,,,,,,2
28100,1,1,2,,,20,1,34,,,67,50,1,,,,60,2
28100,2,0,,,,,,,,,,,,,,,,2
28100,3,0,,,,,,,,,,,,,,,,2
28100,4,0,,,,,,,,,,,,,,,,2
28100,5,0,,,,,,,,,,,,,,,,2
28100,6,,,,,,,,,,,,,,,,,2
28331,1,3,2,,1,10,1,40,,,,,,,,,,2
28346,1,1,2,,,14,1,23,,,,,,,,,,2
28346,2,3,1,2,3,19,1,15,,51,,,3,,,,,2
28346,3,,,,,,,,,,,,,,,,,2
28362,1,1,2,,,23,1,39,,,,,,,,,,2
28441,1,3,2,,1,27,1,36,,,,,,,,,,2
28441,2,1,2,,,18,1,15,,,,,,,,,,2
28802,1,1,2,,,20,1,32,,,58,50,,,,,,2
28802,2,1,2,,,21,1,35,,,,,2,,,,,2
28802,3,0,,,,,,,,,,,,,,,,2
28859,1,1,2,,,30,1,20,,,,,,,,,,2
28920,1,1,2,,,18,1,41,,,,,,,,,,2
28992,1,3,2,,3,21,1,36,,,,,,,,,,2
28992,2,0,,,,,,,,,,,,,,,,2
29006,1,5,2,,3,23,1,35,,,,,,,,,,2
29006,2,4,2,,3,16,1,25,,,,,,,,,,2
29140,1,3,1,5,1,14,1,38,,,,,,,,,,1
29140,2,2,1,8,3,14,1,40,,35,63,80,2,,,,,1
29280,1,1,2,,,34,1,28,,,65,70,,,,,,2
29280,2,1,2,,,20,1,38,,,63,80,2,,,,,2
29280,3,0,,,,,,,,,,,,,,,,2
29288,1,1,2,,,27,1,16,,,65,40,,,,,,2
29288,2,0,,,,,,,,,,,,,,,,2
29288,3,,,,,,,,,,,,,,,,,2
29288,4,,,,,,,,,,,,,,,,,2
29678,1,3,2,,3,15,1,36,,,,,,,,,,2
29678,2,0,,,,,,,,,,,,,,,,2
29680,1,2,2,,1,15,1,30,,20,66,60,1,,,,90,2
29680,2,0,,,,,,,,,,,,,,,,2
29680,3,0,,,,,,,,,,,,,,,,2
29680,4,1,2,,,18,1,1,,,,,3,,,,,2
29684,1,3,2,,3,26,1,32,,37,65,70,,,,,,2
29684,2,1,2,,,22,1,37,,,,,,,,,,2
29684,3,1,1,6,,26,1,3,,,,,,,,,,2
29737,1,1,2,,,30,1,25,,,65,70,2,,,,,2
29737,2,1,2,,,24,1,36,,,63,80,2,,,,,2
29742,1,10,2,,3,10,1,34,,50,65,50,2,,,,,2
29742,2,1,2,,,21,1,38,,,,,2,,,,,2
29742,3,0,,,,,,,,,,,,,,,,2
29742,4,0,,,,,,,,,,,,,,,,2
29774,1,0,,,,,,,,,,,,,,,,2
29798,1,3,2,,1,13,1,36,,,,,,,,,,2
29798,2,2,2,,1,14,1,20,,,,,,,,,,2
29823,1,0,,,,,,,,,,,,,,,,2
29823,2,3,1,4,1,13,1,12,,36,75,45,1,,,,50,2
29823,3,0,,,,,,,,,,,,,,,,2
29823,4,0,,,,,,,,,,,,,,,,2
29823,5,,,,,,,,,,,,,,,,,2
29823,6,,,,,,,,,,,,,,,,,2
31092,1,2,2,,1,20,1,28,,35,65,70,2,,,,,2
31092,2,1,2,,,20,1,15,,,,,,,,,,2
31092,3,0,,,,,,,,,,,,,,,,2
31092,4,0,,,,,,,,,,,,,,,,2
31092,5,,,,,,,,,,,,,,,,,2
31093,1,2,2,,3,20,1,39,,40,65,60,,,,,,2
31122,1,1,2,,,10,1,35,,,65,70,3,,,,,2
31122,2,0,,,,,,,,,,,,,,,,2
31122,3,0,,,,,,,,,,,,,,,,2
31122,4,1,2,,,18,1,10,,,,,3,,,,,2
31137,1,1,2,,,22,1,35,,,65,60,1,,,,75,2
31137,2,1,2,,,19,1,35,,,,,2,,,,,2
31137,3,1,2,,,22,1,8,,,,,1,,,,,2
31137,4,0,,,,,,,,,,,,,,,,2
31145,1,4,2,,1,15,1,38,,,,,,,,,,2
31145,2,1,2,,,15,1,35,,,,,,,,,,2
31161,1,2,2,,1,19,1,35,,50,63,70,2,,,,,2
31161,2,2,1,3,1,20,1,26,,26,64,60,1,,,,70,2
31161,3,0,,,,,,,,,,,,,,,,2
31161,4,0,,,,,,,,,,,,,,,,2
31219,1,1,2,,,24,1,35,,,,,,,,,,2
31220,1,3,2,,3,11,1,41,,39,76,75,,,,,,2
31220,2,4,2,,3,11,1,25,,,,,,,,,,2
31221,1,2,2,,3,25,1,22,,,,,,,,,,2
31221,2,0,,,,,,,,,,,,,,,,2
31246,1,1,1,3,,14,1,38,,,,,,,,,,1
31246,2,1,2,,,15,1,35,,,,,,,,,,1
31304,1,2,1,2,1,23,1,28,,,,,,,,,,2
31304,2,1,2,,,24,1,35,,,,,,,,,,2
31309,1,2,1,1,1,20,1,6,,22,64,60,2,,,,,2
31309,2,2,2,,1,14,1,40,,,,,,,,,,2
