nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
35507,4,1,1,1,1,1,12,1,,18,2,,19000,2,0
35520,3,1,1,2,1,1,12,2,6,30,2,,10400,2,0
35682,2,2,1,1,1,2,11,2,7,37,2,,25000,2,0
35735,1,1,1,1,1,1,12,2,7,40,2,,30000,1,170
35735,2,2,1,1,1,1,12,2,1,40,1,2,23000,2,0
35735,3,1,1,2,1,1,12,2,7,25,2,,13000,2,0
35735,4,1,1,1,1,1,12,2,2,40,2,,14000,2,0
35788,3,1,1,1,2,1,12,2,2,42,1,2,18200,1,1800
36067,3,1,1,1,1,1,12,2,2,30,2,,11000,2,0
36120,1,1,1,1,1,1,12,2,6,38,2,,16000,2,0
36120,3,1,1,1,2,1,12,1,,36,2,,11500,2,0
36130,1,1,1,1,1,1,12,2,4,40,2,,21000,2,0
36130,2,2,1,2,1,1,12,2,3,25,2,,8000,2,0
36131,1,1,1,1,1,1,12,1,,36,2,,19500,2,0
36146,1,1,1,2,1,1,12,2,1,10,2,,3500,2,0
36164,1,1,1,1,1,1,12,2,5,40,2,,16000,2,0
36186,1,1,1,2,2,1,12,2,4,12,2,,5000,2,0
36186,2,2,1,1,2,1,12,2,2,40,2,,8500,2,0
36250,1,1,1,1,1,1,12,1,,40,1,0,20000,2,0
36311,1,1,1,1,1,1,12,1,,38,1,3,16000,1,900
36321,4,1,1,1,2,1,12,2,6,48,2,,22000,2,0
36333,2,1,1,1,2,2,10,2,2,40,2,,12000,2,0
36378,2,1,1,2,2,2,8,2,2,30,2,,8000,2,0
36378,3,1,1,1,1,1,12,2,2,40,1,10,20000,2,0
36409,1,1,1,1,1,1,12,1,,36,2,,24000,2,0
36409,2,1,1,1,1,1,12,1,,40,2,,24000,2,0
36409,3,1,1,1,1,1,12,2,5,40,2,,15500,2,0
36409,4,4,1,1,1,1,12,2,2,40,2,,14300,2,0
36409,5,1,1,1,1,1,12,2,2,40,2,,14300,2,0
36443,2,2,1,2,1,1,12,1,,33,2,,14500,2,0
36450,2,2,1,1,1,1,12,1,,25,2,,20000,2,0
36450,3,3,1,1,1,1,12,2,2,40,2,,13000,2,0
36522,1,1,1,1,1,1,12,1,,24,2,,20000,2,0
36522,2,1,1,1,1,1,12,1,,18,2,,21000,2,0
36524,1,1,1,1,1,1,12,2,2,40,2,,17000,2,0
36697,1,1,1,1,1,1,12,2,7,36,2,,18000,2,0
36893,1,1,1,1,1,1,12,1,,36,1,6,22000,1,1800
37001,3,3,1,1,1,2,11,2,1,40,2,,13000,2,0
37011,3,1,1,1,2,2,8,1,,18,2,,11000,2,0
37042,1,1,1,1,1,1,12,2,5,45,1,6,26000,2,0
37042,3,1,1,1,1,1,12,2,7,40,2,,19000,2,0
37286,2,1,1,1,1,1,12,1,,30,2,,20000,2,0
37299,1,1,1,1,1,1,12,2,1,30,2,,18000,2,0
37459,1,1,1,1,1,1,12,1,,40,1,0,18200,1,
37665,1,1,1,1,1,1,12,1,,36,2,,17000,2,0
37665,2,1,1,1,1,1,12,2,5,40,1,2,17000,1,1000
38095,2,2,1,1,1,1,12,2,4,40,2,,19000,2,0
38095,3,1,2,2,3,3,,2,1,20,2,,1000,2,0
38112,1,1,1,1,1,1,12,2,6,40,2,,20000,2,0
