nquest,nord,intper,attivp,tuttanno,mesilav,numadd,numdip,forgiu,oretot,compfiss,dividut,quopro,partecip
860985,1,1,1,1,12,7,5,7,50,20000,10000,50,100000
862168,1,1,1,1,12,2,0,8,18,0,12500,50,150000
862827,2,1,1,1,12,40,37,1,60,30000,0,10,1000000
863684,1,1,1,1,12,2,0,7,50,20000,0,93,15000
864431,1,1,1,1,12,5,0,1,55,30000,10000,33,50000
866553,1,1,1,1,12,2,0,8,50,20000,0,50,80000
868692,2,2,2,1,12,6,3,6,1,2500,3000,10,5000
869022,1,1,1,1,12,3,1,1,50,6000,6000,50,500
871273,3,1,1,1,12,3,0,7,36,10000,3000,33,15000
871438,1,1,1,1,12,5,3,1,50,45000,0,50,200000
871697,1,1,1,1,12,4,0,6,42,12000,0,26,300000
871697,2,2,1,1,12,4,0,6,50,12000,0,26,300000
871697,3,1,2,1,12,4,0,6,12,4000,0,24,270000
871697,4,4,1,1,12,4,0,6,50,12000,0,24,270000
871811,1,1,1,1,12,3,0,8,70,10800,0,100,1000000
871968,1,1,2,1,12,14,11,1,20,0,10000,33,100000
872027,1,1,1,1,12,6,5,1,45,0,100,25,17500
872137,1,1,1,1,12,12,8,6,67,1,0,35,1400000
872137,2,1,1,1,12,12,8,6,67,1,0,10,400000
872604,2,1,1,1,12,3,0,1,50,10000,0,33,10000
872619,2,1,1,1,12,3,0,8,45,16000,0,33,1000
872659,2,1,1,1,12,10,8,7,60,50000,25000,50,1000000
873122,1,1,1,1,12,5,0,7,30,30000,30000,25,40000
873172,2,2,1,1,12,6,2,7,40,10000,0,30,60000
873751,1,1,1,1,12,2,1,7,40,11000,5500,50,120000
873875,1,1,1,1,12,2,0,7,45,12000,0,50,20000
873875,2,1,1,1,12,3,0,1,45,9000,0,20,10000
873992,3,1,1,1,12,3,1,1,45,10000,10000,10,15000
874038,1,1,2,1,12,8,3,1,25,1000,0,20,500
874705,1,1,1,1,12,5,0,1,30,13000,0,20,60000
875096,2,1,1,1,12,3,0,1,36,28800,20000,50,75000
875126,2,1,2,1,12,4,0,1,1,1000,1000,17,100000
876767,1,1,1,1,12,2,0,6,25,0,25000,50,250000
876799,1,1,1,1,12,4,1,1,70,0,10181,33,500
877241,1,1,1,1,12,18,12,1,50,45000,0,44,2000
878552,2,1,1,1,12,2,0,8,42,1000,500,50,500
878648,1,1,1,1,12,3,0,6,40,0,10000,33,10000
878817,2,2,2,1,12,3,0,1,8,1000,0,33,52000
879636,1,1,1,1,12,10,5,7,50,20000,5000,20,15000
879688,1,1,1,1,12,4,2,1,30,20000,0,33,10000
879712,1,1,1,1,12,1530,153,1,39,40000,0,34,50000
879958,1,1,1,1,12,2,0,1,50,22000,5000,50,15000
880291,1,1,1,1,12,30,24,2,35,25000,65000,20,4000000
881009,1,1,1,1,12,2,1,6,60,12000,0,65,50000
881015,1,1,1,1,12,2,0,7,25,100,0,50,1000
881055,2,2,2,1,12,2,0,1,10,6000,0,30,1000
881074,1,1,1,1,12,1,0,8,48,12000,0,50,12000
881114,1,1,2,1,12,1,0,6,78,7000,0,33,25000
881680,1,1,1,1,12,2,0,7,50,18000,0,50,300000
881817,2,1,1,1,12,2,0,7,50,14000,0,50,30000
881839,2,1,1,1,12,4,2,7,40,0,25000,100,50000
881931,1,1,1,1,12,2,0,6,50,5000,50000,80,500
881931,2,1,1,1,12,2,0,6,1,5000,0,20,500
881946,1,1,2,2,8,3,0,8,4,3000,300,35,500
882357,2,2,1,2,4,4,3,1,60,15000,7000,50,50000
882518,1,1,1,1,12,3,0,4,48,30000,10000,51,100000
882518,2,1,1,1,12,3,0,4,24,13000,5000,40,50000
883754,2,2,1,1,12,2,0,1,35,0,70000,50,60000
884168,1,1,2,1,12,220,180,2,30,2000,0,30,20000
884332,2,2,1,1,12,5,2,7,50,17400,13000,33,100000
884490,2,1,1,1,12,2,0,7,40,9000,0,50,2000
884493,1,1,1,1,12,3,1,7,40,8000,0,50,10000
886436,1,1,1,1,12,4,3,1,50,2000,0,50,250000
886443,1,1,1,1,12,3,2,2,40,60000,0,51,1000000
886636,1,1,1,1,12,18,15,1,70,27000,0,50,500000
886877,1,1,1,1,12,15,9,7,30,10,9000,5,30000
887236,1,1,1,1,12,3,1,6,60,14400,0,55,70000
887519,2,1,1,1,12,5,3,1,60,12000,7200,50,200000
889294,1,1,1,1,12,4,0,2,50,25000,0,35,1500000
889348,1,1,1,1,12,2,0,7,45,16000,0,50,25000
889478,2,1,1,1,12,14,11,1,50,0,120000,56,200000
889703,1,1,1,1,12,2,0,6,60,1,0,75,500
889703,2,2,1,1,12,2,0,6,60,1,0,25,500
