nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
686717,13002.373613,10000,10000,0,3000,0,0,0,3000,0,0,3000,3000,0,0,0,0,2.3736133073,0,0,0,2.3736133073,2.3736133073,0,0,0
686730,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,0,0,0,0,0,0,0,0,0,0
686741,20518.248162,14500,14500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6018.2481623,6000,0,6000,18.248162295,18.248162295,0,0,0
686742,22859.340333,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,7259.3403327,7200,0,7200,59.340332682,59.340332682,0,0,0
686757,50045.501661,0,0,0,40300,40300,40300,0,0,0,0,0,0,0,0,0,0,9745.5016612,9600,0,9600,145.50166118,145.50166118,0,0,0
686760,17208,0,0,0,15408,15408,15408,0,0,0,0,0,0,0,0,0,0,1800,1800,0,1800,0,0,0,0,0
686763,36306.822038,3000,3000,0,0,0,0,0,0,0,0,0,0,0,10000,10000,0,23306.822038,23300,0,23300,6.8220382301,6.8220382301,0,0,0
686806,4164,0,0,0,4164,3484,3484,0,680,0,0,680,680,0,0,0,0,0,0,0,0,0,0,0,0,0
686810,9621.9334661,0,0,0,9600,9600,9600,0,0,0,0,0,0,0,0,0,0,21.933466097,0,0,0,21.933466097,21.933466097,0,0,0
686829,12070,0,0,0,10270,10270,10270,0,0,0,0,0,0,0,0,0,0,1800,1800,0,1800,0,0,0,0,0
686831,12700,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
686862,10349,0,0,0,6149,6149,6149,0,0,0,0,0,0,0,0,0,0,4200,4200,0,4200,0,0,0,0,0
686863,15560.437159,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,1260.4371594,1200,0,1200,60.437159411,60.437159411,0,0,0
686866,19638.491947,16000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3638.4919472,3600,0,3600,38.491947177,38.491947177,0,0,0
686870,14162.172526,0,0,0,8450,8450,8450,0,0,0,0,0,0,0,0,0,0,5712.1725261,5600,2000,3600,112.17252611,112.17252611,0,0,0
686893,12108.680665,0,0,0,8390,10790,10790,0,-2400,0,0,-2400,0,2400,0,0,0,3718.6806654,3600,0,3600,118.68066536,118.68066536,0,0,0
686898,11332.570919,0,0,0,8840,8840,8840,0,0,0,0,0,0,0,0,0,0,2492.570919,2400,0,2400,92.570918983,92.570918983,0,0,0
686911,12679.092782,8000,8000,0,4000,0,0,0,4000,4000,0,0,0,0,0,0,0,679.09278156,600,0,600,79.092781556,79.092781556,0,0,0
686913,19205.33917,0,0,0,13910,13910,13910,0,0,0,0,0,0,0,0,0,0,5295.3391703,5000,0,5000,295.33917031,295.33917031,0,0,0
686920,16620.87594,0,0,0,14690,14690,14690,0,0,0,0,0,0,0,0,0,0,1930.8759395,1800,0,1800,130.87593954,130.87593954,0,0,0
686940,51718.478092,0,0,0,33800,33800,33800,0,0,0,0,0,0,0,0,0,0,17918.478092,12700,0,12700,5218.4780915,356.04199609,313.70555454,4548.7305409,0
686954,18964.168343,18850,18850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.16834279,0,0,0,114.16834279,114.16834279,0,0,0
687007,25309.186212,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,9709.1862121,9600,0,9600,109.18621213,109.18621213,0,0,0
687018,18749.494453,0,0,0,12740,12740,12740,0,0,0,0,0,0,0,0,0,0,6009.4944532,6000,0,6000,9.4944532291,9.4944532291,0,0,0
687022,36701.508995,25300,25300,0,1800,0,0,0,1800,1800,0,0,0,0,0,0,0,9601.5089954,8400,0,8400,1201.5089954,130.77795959,0,1070.7310358,0
687024,54810.458172,0,0,0,39000,39000,39000,0,0,0,0,0,0,0,0,0,0,15810.458172,15600,0,15600,210.45817188,210.45817188,0,0,0
687030,36613.130265,0,0,0,35750,35750,35750,0,0,0,0,0,0,0,0,0,0,863.13026478,500,0,500,363.13026478,363.13026478,0,0,0
687033,12700,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
687039,29489.337999,2200,2200,0,21840,21840,21840,0,0,0,0,0,0,0,0,0,0,5449.3379988,5300,0,5300,149.33799883,149.33799883,0,0,0
687043,27677.753446,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3677.7534458,3600,0,3600,77.753445771,77.753445771,0,0,0
687056,32947.612608,15500,15500,0,12610,12610,12610,0,0,0,0,0,0,0,0,0,0,4837.612608,4800,0,4800,37.61260802,249.22939726,0,0,211.61678924
687063,35900,0,0,0,29900,29900,29900,0,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0
687070,35111.348305,29040,28340,700,0,0,0,0,0,0,0,0,0,0,0,0,0,6071.3483046,6000,0,6000,71.348304552,71.348304552,0,0,0
687075,18045.185075,0,0,0,11375,11375,11375,0,0,0,0,0,0,0,0,0,0,6670.1850749,6000,0,6000,670.18507492,26.035004454,644.15007046,0,0
687099,40250.456996,0,0,0,34450,34450,34450,0,0,0,0,0,0,0,0,0,0,5800.4569963,4800,0,4800,1000.4569963,59.340332682,0,941.11666363,0
