NQUEST,anabit,godabit,unipro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,poss,impacq,fittonop,tfittonop,tfitto,tipoaff,dfittom,tfittom,propriet,tfitimp,UBIC1N,supab,ancostr,bagni,boiler,valabit,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra,tmanstra,manstr2,tmanstr2,ristrut,tristrutn,tristrut,energia,tenergian,tenergia,imupricas,timupricas,imualtab,timualtab,imurip1,imurip2,imuasp,debita1,ndebita1,debita2,ndebita2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,fmutrif,mutuoe,mutuorif,reapmut,mutuor3,mutuoe3,mutuoric,mutuoric3,intpersezd,docsezd,ritaff,QUOPRO
22168,1980,2,,,,,,,,,,,,,,,,250,4,1,300,4,,2,40,1965,1,2,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,80,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
22169,1987,2,,,,,,,,,,,,,,,,300,4,1,500,4,,1,40,1960,1,2,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,80,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
22173,1971,2,,,,,,,,,,,,,,,,700,1,1,1000,4,,2,85,1950,1,2,600000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,30,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
22208,1978,1,2,1978,1,0,0,0,0,0,0,0,0,2,23000,2,,,,,,,500,3,107,1976,2,1,80000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,280,2,,,,70,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,50
22222,1960,1,1,1960,1,0,0,0,0,0,0,0,0,7,2000,,,,,,,,500,4,130,1960,2,1,400000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,150,2,,,,100,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
22276,1949,1,1,2007,1,0,0,0,0,0,0,0,0,4,,,,,,,,,500,3,60,1500,1,1,100000,2,,2,,2,,2,,2,,1,13000,,,2,,,2,,,1,20,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
22277,1986,5,,,,,,,,,,,,,,,,,,,,3,350,3,120,1982,1,1,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,150,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,
22279,1954,1,1,1998,1,0,0,0,0,0,0,0,0,4,,,,,,,,,500,5,80,1900,1,1,100000,2,,1,1,2,,2,,2,,2,,2,,,,,,,,1,174,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
22286,1992,1,1,1992,1,1,0,0,0,0,0,0,0,4,,,,,,,,,500,3,200,1992,2,1,300000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,200,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,2,2,,100
22292,1952,5,,,,,,,,,,,,,,,,,,,,2,500,5,150,1900,2,1,200000,1,2,2,,2,,2,,2,,2,,2,,,,,,,,2,,1,150,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,
