NQUEST,ctit,NCTIT,ictit,unaban,banche,anniban,servb1,servb2,servb3,servb4,servb5,servb6,privateb,scoper,utscoper,mesiscoper,vmscoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,DEPOSIT,NDEPOSIT
28859,2,,,1,1,4,1,0,1,0,0,0,2,2,,,,,,2,,,,,2,,2,,700,2,1,1
28920,2,,,1,1,4,1,0,0,1,0,0,2,3,,,,,,2,,,,,2,,2,,1800,2,1,1
28992,2,,,1,1,4,0,0,0,1,0,1,2,1,2,,,,,2,,,,,2,,2,,1300,2,1,1
29006,2,,,1,1,4,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,1,1,1200,2,1,1
29140,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,1,,,1,2,2,,300,2,1,2
29280,2,,,2,2,4,0,1,1,0,0,0,2,1,1,4,1200,1,700,1,1,2,,,1,2,2,,1000,2,1,2
29288,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,800,2,1,1
29678,2,,,1,1,4,1,0,0,1,0,0,2,1,2,,,,,2,,,,,2,,2,,800,2,1,1
29680,2,,,1,1,4,1,0,1,0,0,0,1,2,,,,,,1,1,2,,,1,1,1,1,600,2,1,1
29684,1,1,2,2,2,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,2,,1,1,1200,2,1,4
29737,2,,,2,2,3,1,0,0,0,0,0,2,3,,,,,,1,2,1,,,1,2,1,1,1500,1,1,4
29742,2,,,2,2,4,0,0,0,0,0,0,2,2,,,,,,1,2,2,,,1,2,2,,1500,2,1,2
29774,,,,1,1,4,1,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,700,2,1,1
29798,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1500,2,1,1
29823,2,,,2,2,3,1,0,0,0,0,0,2,2,,,,,,1,1,3,2,,1,1,2,,300,2,1,2
31092,2,,,1,1,4,1,0,0,1,0,0,2,2,,,,,,2,,,,,1,2,2,,1500,2,1,1
31093,2,,,1,1,4,1,0,0,1,0,0,2,1,2,,,,,1,1,2,,,1,1,2,,600,2,1,2
31122,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,600,2,1,1
31137,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,1,,,1,3,1,2,1400,2,1,3
31145,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,800,2,1,1
31161,2,,,2,2,4,1,0,0,0,0,0,2,1,2,,,,,1,2,2,,,1,2,2,,600,1,1,2
31219,,,,1,1,4,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,700,2,1,1
31220,1,2,2,2,2,4,1,0,0,1,0,0,2,1,2,,,,,2,,,,,2,,2,,300,2,1,2
31221,2,,,2,2,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1000,2,1,2
31246,1,1,2,1,1,4,1,0,0,1,1,0,2,3,,,,,,2,,,,,2,,2,,1200,2,1,1
31304,2,,,2,4,4,1,0,0,1,0,1,2,2,,,,,,2,,,,,1,1,2,,1800,2,1,4
31309,2,,,2,3,3,1,1,0,0,0,1,2,3,,,,,,2,,,,,1,3,2,,2000,2,1,4
31387,1,1,1,1,1,4,1,0,0,1,0,0,3,1,2,,,,,2,,,,,1,1,2,,1600,1,1,1
31403,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,300,2,1,1
31441,1,3,2,2,3,4,1,0,0,1,0,0,2,1,2,,,,,1,2,2,,,1,1,2,,1000,1,1,3
31448,1,1,1,1,1,4,1,0,0,1,0,0,2,3,,,,,,2,,,,,1,1,2,,500,2,1,1
31561,2,,,2,2,3,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,2,2,,400,2,1,2
31625,2,,,2,3,4,1,0,1,0,0,0,2,2,,,,,,1,2,2,,,1,3,1,1,900,1,1,3
31652,1,1,1,1,1,4,1,0,1,1,0,0,2,1,2,,,,,1,1,2,,,1,1,2,,1000,2,1,1
31665,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
31671,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,1,1,1,,,1,1,2,,1500,2,1,1
31695,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,3,1,1,1000,1,1,3
31724,2,,,2,2,4,1,0,0,0,1,0,2,2,,,,,,1,1,1,,,1,2,1,2,1000,1,1,2
31735,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,600,2,1,1
31757,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,200,2,1,1
31785,2,,,2,2,4,0,0,0,0,0,1,2,2,,,,,,1,2,2,,,1,2,2,,1200,2,1,2
31798,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,160,2,1,1
31799,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,600,2,1,1
31860,2,,,1,1,4,0,0,1,0,0,0,2,1,1,4,2000,1,0,2,,,,,1,1,2,,1500,2,1,1
31868,2,,,1,1,4,0,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,1000,2,1,1
31869,2,,,1,1,3,0,0,0,0,0,0,2,3,,,,,,2,,,,,1,1,2,,800,2,1,1
31912,,,,1,1,3,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,1000,2,1,1
32001,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,700,2,1,1
32028,1,3,3,2,2,4,1,0,0,1,0,0,2,2,,,,,,1,1,2,,,1,3,2,,1200,1,1,3
32034,2,,,1,1,4,1,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
32041,2,,,1,1,4,1,0,0,0,0,1,2,2,,,,,,2,,,,,1,2,2,,800,2,1,1
32044,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,500,2,1,1
32052,2,,,2,2,4,1,0,0,1,0,0,2,2,,,,,,2,,,,,1,2,2,,1000,2,1,4
32057,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,3,2,,1300,2,1,1
32067,,,,1,1,4,1,0,0,0,0,1,2,,,,,,,2,,,,,1,1,2,,800,2,1,1
32144,2,,,1,1,4,1,1,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,500,2,1,1
32190,1,1,1,1,1,4,1,0,0,1,0,0,2,1,2,,,,,1,1,2,,,1,1,2,,900,2,1,1
32198,1,1,2,1,1,4,1,0,0,1,1,0,2,2,,,,,,2,,,,,2,,2,,800,2,1,1
32206,2,,,2,2,1,0,0,0,0,0,1,2,2,,,,,,2,,,,,2,,2,,1200,2,1,2
32209,2,,,1,1,1,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,800,2,1,1
32210,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,1,1,1000,2,1,2
32229,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,200,2,1,1
32288,2,,,2,3,3,0,0,0,0,0,0,2,3,,,,,,2,,,,,1,2,1,2,1500,2,1,3
32318,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,400,2,1,1
32320,2,,,1,1,4,1,1,0,0,0,0,2,1,2,,,,,1,1,2,,,1,2,2,,300,1,1,1
32328,,,,1,1,4,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,700,2,1,1
32470,,,,1,1,4,1,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,1300,2,1,1
32471,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,600,2,1,1
32524,2,,,2,3,4,1,0,0,1,0,0,2,1,2,,,,,1,2,2,,,1,3,1,1,2000,1,1,3
32556,2,,,1,1,4,1,1,0,1,1,1,2,1,1,10,200,1,0,2,,,,,1,1,2,,400,2,1,1
32668,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1000,2,1,1
32703,2,,,2,2,3,0,0,0,0,0,1,2,1,2,,,,,2,,,,,2,,2,,600,2,1,3
32709,1,4,4,2,3,2,0,0,0,1,0,0,2,2,,,,,,1,4,2,,,1,4,2,,1500,1,1,5
32713,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1000,2,2,0
