NQUEST,ctit,NCTIT,ictit,unaban,banche,anniban,servb1,servb2,servb3,servb4,servb5,servb6,privateb,scoper,utscoper,mesiscoper,vmscoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,DEPOSIT,NDEPOSIT
716500,2,,,1,1,4,1,0,0,0,0,0,2,1,1,12,5000,2,,2,,,,,1,2,2,,1000,2,1,1
716507,2,,,1,1,3,1,1,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,600,1,1,1
716512,2,,,1,1,4,1,0,0,1,0,0,2,2,,,,,,1,1,2,,,1,2,2,,1200,1,1,2
716834,2,,,1,1,2,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
716849,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,700,2,2,0
716856,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,400,2,2,0
716908,1,1,2,1,1,1,1,0,0,1,0,0,2,2,,,,,,2,,,,,2,,2,,1000,2,1,1
716910,1,1,2,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,1,,,1,2,2,,700,2,1,1
716937,1,1,2,2,2,4,1,0,1,1,0,0,2,1,2,,,,,1,2,1,,,1,3,1,1,1000,2,1,3
717014,2,,,2,2,4,1,0,1,0,0,0,2,1,2,,,,,1,1,2,,,1,1,2,,1000,2,1,2
717044,1,1,1,1,1,4,1,0,0,1,0,0,2,1,1,2,1000,1,1000,1,1,2,,,1,1,2,,1000,2,1,1
717205,2,,,1,1,4,0,0,0,0,0,0,2,1,1,6,300,1,1000,2,,,,,2,,2,,800,2,1,1
717242,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1000,2,1,4
717311,2,,,2,2,4,0,0,0,0,0,0,2,1,2,,,,,2,,,,,1,4,1,1,3000,2,1,10
717312,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,900,2,1,1
717316,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1000,2,2,0
717317,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1600,2,1,1
717331,2,,,2,2,4,0,0,0,0,0,0,2,3,,,,,,2,,,,,1,1,2,,1500,2,1,2
717409,2,,,1,1,4,1,1,1,0,0,0,2,2,,,,,,1,1,2,,,1,2,2,,500,2,1,3
717414,2,,,2,2,4,1,1,0,0,0,0,2,2,,,,,,2,,,,,1,3,1,1,300,2,1,7
717434,1,1,1,1,1,4,1,1,0,1,0,0,2,1,2,,,,,1,3,2,,,1,2,2,,300,1,1,2
717605,2,,,1,1,3,0,0,1,0,0,1,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
717624,2,,,1,1,3,0,0,0,0,0,1,2,3,,,,,,2,,,,,1,1,2,,600,2,1,1
717669,2,,,1,1,3,1,1,0,0,0,0,2,1,1,1,200,1,500,2,,,,,2,,2,,1000,2,1,1
717801,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1000,2,2,0
717804,2,,,1,1,2,1,0,0,0,0,0,2,1,1,1,2000,1,2000,2,,,,,1,1,2,,1000,2,1,1
717809,2,,,1,1,3,0,0,0,0,0,1,2,2,,,,,,2,,,,,2,,2,,1300,2,1,1
717834,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,530,2,2,0
717858,2,,,1,1,2,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,480,2,1,1
717865,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1200,2,1,1
717871,2,,,1,1,1,0,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,2,,800,2,1,1
717877,2,,,1,1,2,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,1000,2,1,1
717885,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,590,2,1,1
717900,2,,,2,2,3,1,0,0,0,0,0,2,3,,,,,,1,1,1,,,1,1,2,,2000,2,1,2
718006,2,,,1,1,1,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,800,1,1,1
718115,2,,,2,2,4,0,0,0,0,0,0,2,4,,,,,,1,1,1,,,1,1,1,1,900,1,1,3
718506,2,,,1,1,4,1,0,1,1,0,0,2,1,2,,,,,1,2,2,,,1,2,2,,2500,2,1,1
718531,2,,,2,4,4,0,0,0,0,0,0,2,2,,,,,,1,2,2,,,1,1,1,1,1500,1,1,7
718600,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,1,,,2,,2,,1000,1,1,1
718624,2,,,2,2,1,0,0,0,0,0,0,2,2,,,,,,1,1,1,,,1,1,2,,1000,2,1,2
718645,2,,,2,2,4,1,0,0,0,0,0,3,2,,,,,,2,,,,,1,1,2,,500,2,1,2
718674,2,,,2,3,4,1,1,0,1,0,0,2,1,2,,,,,1,5,2,,,1,5,2,,1500,1,1,5
718764,2,,,2,2,4,1,0,1,1,0,0,2,1,2,,,,,1,2,2,,,1,2,2,,300,1,1,2
718767,2,,,1,1,4,1,0,0,0,0,0,2,1,1,6,5000,1,5000,1,1,2,,,2,,1,1,1500,1,1,2
718772,2,,,2,3,4,1,0,0,1,0,0,1,2,,,,,,1,3,1,,,1,3,2,,2200,1,1,4
718832,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,400,2,1,1
719025,2,,,2,2,4,1,0,0,0,0,0,2,1,2,,,,,1,1,1,,,1,1,2,,1000,1,1,2
719109,1,1,2,1,1,4,1,1,0,0,0,0,2,2,,,,,,1,1,2,,,1,2,1,2,1300,1,1,1
719334,2,,,1,1,2,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,500,2,1,3
719358,2,,,1,1,4,1,0,0,0,0,1,2,2,,,,,,2,,,,,2,,2,,650,2,1,1
719528,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,550,2,2,0
719556,2,,,1,1,1,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
719565,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,1,1,1000,2,1,1
719571,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,2500,2,1,1
719606,,,,1,1,4,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,700,2,1,1
719609,2,,,1,1,4,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,1200,2,1,1
719611,2,,,1,1,2,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,1,1,1500,2,1,2
719613,,,,,,,,,,,,,,,,,,,,2,,,,,2,,1,1,300,2,2,0
719615,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1400,2,1,1
719656,2,,,1,1,3,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,2,2,,1700,2,1,1
719666,,,,1,1,3,1,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,600,2,1,1
719712,2,,,1,1,4,1,0,0,0,0,0,3,2,,,,,,2,,,,,2,,2,,600,2,1,4
719722,,,,1,1,4,1,0,0,0,0,0,3,,,,,,,2,,,,,2,,2,,500,2,1,1
719763,2,,,2,2,3,1,1,0,0,0,0,2,1,2,,,,,1,2,1,,,1,2,1,1,1300,1,1,4
719801,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,1,1,1,,,1,2,2,,1000,2,1,2
719810,2,,,1,1,4,1,0,0,1,0,0,2,2,,,,,,1,2,2,,,1,2,2,,500,1,1,2
719840,2,,,1,1,3,0,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,1,1,1500,2,1,1
719940,2,,,1,1,6,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,800,2,1,1
719963,2,,,1,1,4,1,1,0,0,0,0,2,2,,,,,,1,2,1,,,1,2,2,,1000,2,1,2
720003,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,2,2,,1000,2,1,4
720009,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,700,2,1,1
720110,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
720117,2,,,2,2,4,1,0,0,0,0,0,2,1,2,,,,,1,2,2,,,1,2,2,,300,2,1,3
720138,2,,,1,1,3,0,1,0,0,0,0,2,1,1,4,500,1,1,2,,,,,1,1,2,,1100,2,1,1
720139,2,,,1,1,4,0,1,0,0,0,0,2,1,1,12,400,1,1,2,,,,,1,1,2,,2500,2,1,1
720157,2,,,1,1,3,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
720161,2,,,1,1,2,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1500,2,1,1
720163,2,,,1,1,4,1,0,1,0,0,0,2,1,1,2,500,1,1,1,1,1,,,1,1,2,,800,2,1,1
720209,2,,,1,1,4,0,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,1800,2,1,1
720256,2,,,1,1,4,1,0,0,0,0,0,2,1,1,12,600,1,600,2,,,,,1,1,2,,300,2,1,1
720312,2,,,1,1,4,0,0,1,0,1,0,2,1,1,8,8000,1,8000,2,,,,,1,1,1,1,1900,2,1,2
720373,2,,,2,2,4,0,0,0,0,1,0,2,1,1,1,500,1,500,1,1,2,,,1,3,2,,1500,2,1,2
720404,2,,,2,2,4,0,1,0,0,0,0,2,2,,,,,,2,,,,,1,1,1,1,500,2,1,3
720416,2,,,2,2,3,0,1,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,850,2,1,2
720566,2,,,1,1,3,1,0,0,0,0,0,2,3,,,,,,2,,,,,1,1,2,,800,2,1,1
720593,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1200,2,2,0
720603,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,300,2,2,0
720634,2,,,1,1,4,1,1,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
720784,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,765,2,2,0
720883,2,,,1,1,1,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1500,2,1,1
720889,2,,,1,1,3,0,0,0,0,0,1,2,4,,,,,,2,,,,,1,1,2,,700,2,1,1
721201,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,1500,1,1,1
721260,,,,1,1,4,0,0,0,0,0,1,2,,,,,,,2,,,,,2,,2,,800,2,1,1
721520,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,400,2,1,1
721521,2,,,1,1,4,1,1,0,0,0,1,2,2,,,,,,1,1,2,,,1,1,1,1,400,2,1,1
721548,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,1,1,2,,,2,,2,,200,2,1,1
721628,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,2,,2,,600,2,1,1
721631,2,,,1,1,3,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1200,2,1,1
721717,2,,,2,3,3,0,0,1,0,0,0,2,1,1,2,1000,1,0,1,2,2,,,1,2,1,1,500,2,1,4
721747,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,2,2,,1000,1,1,2
721777,2,,,1,1,4,1,0,0,0,0,0,2,4,,,,,,1,1,2,,,1,2,2,,2000,2,1,3
721806,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,600,2,1,1
721843,2,,,2,2,4,1,0,0,1,0,0,2,2,,,,,,2,,,,,1,3,1,1,500,1,1,3
721862,2,,,1,1,1,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,1500,2,1,1
721871,2,,,1,1,3,1,0,0,0,0,0,2,1,2,,,,,1,1,2,,,1,2,1,2,1500,2,1,1
721872,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,750,2,1,1
722007,,,,1,1,1,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,900,2,1,1
722013,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,500,2,1,1
722104,2,,,1,1,4,1,0,0,0,0,1,2,3,,,,,,2,,,,,1,1,2,,600,2,1,1
722116,2,,,1,1,2,0,0,0,0,0,1,2,3,,,,,,2,,,,,1,1,2,,400,2,1,1
722139,2,,,1,1,4,1,0,0,0,0,1,2,3,,,,,,2,,,,,1,1,2,,300,2,1,1
722141,2,,,1,1,3,1,0,0,0,0,1,2,2,,,,,,1,1,2,,,1,1,1,1,200,2,1,1
722145,2,,,2,2,4,0,0,0,0,0,1,2,1,1,10,3000,1,2000,2,,,,,1,2,2,,700,2,1,2
722146,2,,,1,1,3,1,0,0,0,0,1,2,1,2,,,,,2,,,,,1,2,2,,700,1,1,1
722212,2,,,1,1,3,0,0,1,0,0,0,2,1,1,12,2000,1,2000,1,1,2,,,1,1,2,,500,2,1,1
722259,2,,,1,1,4,1,0,1,0,0,0,2,2,,,,,,2,,,,,2,,2,,1200,2,1,1
722310,2,,,2,2,4,1,0,1,0,1,0,2,1,1,9,2500,1,4500,2,,,,,1,2,2,,1000,1,1,2
722321,1,1,1,2,2,4,1,0,0,1,1,0,2,1,2,,,,,1,2,2,,,1,1,1,1,400,1,1,3
722324,1,1,1,2,2,4,0,0,0,1,0,0,2,2,,,,,,2,,,,,1,1,2,,150,2,1,2
722331,1,1,2,2,2,4,1,0,0,1,0,0,2,1,2,,,,,1,2,2,,,1,2,2,,500,1,1,2
722353,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,1,3,2,,,1,3,2,,500,2,1,3
722364,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,1,1,400,1,1,2
722365,2,,,2,2,4,1,0,0,0,0,0,2,1,1,3,800,1,0,2,,,,,1,2,2,,400,2,1,2
722378,2,,,2,2,4,1,0,0,0,0,0,2,1,2,,,,,1,2,2,,,1,2,1,1,1000,2,1,2
722447,2,,,1,1,3,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
722505,1,1,1,1,1,4,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,1,1,600,1,1,1
722509,1,1,2,1,1,4,1,0,0,0,0,0,2,1,2,,,,,1,1,2,,,1,2,2,,900,1,1,1
722518,1,1,1,2,2,4,1,0,0,1,0,0,2,2,,,,,,1,2,2,,,1,2,2,,300,1,1,3
722601,1,1,2,1,1,4,1,1,0,1,0,0,2,2,,,,,,1,2,2,,,1,2,1,1,800,1,1,3
722608,2,,,1,1,3,1,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,2,,850,2,1,1
722678,2,,,1,1,4,1,0,0,1,0,0,2,2,,,,,,1,2,2,,,1,2,2,,1500,1,1,1
722704,2,,,1,1,3,1,0,0,1,0,0,2,2,,,,,,2,,,,,1,2,2,,700,2,1,1
722720,2,,,1,1,4,1,0,0,1,0,0,2,2,,,,,,1,2,2,,,1,2,2,,1000,2,1,1
722743,2,,,1,1,3,0,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,2,,400,2,1,1
722853,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,1,1,1,,,1,2,2,,2000,2,1,1
722875,2,,,1,1,1,0,0,0,1,0,0,2,2,,,,,,1,1,2,,,1,1,2,,1000,2,1,1
723200,2,,,1,1,4,0,1,0,0,0,0,2,2,,,,,,1,1,3,1,1000,1,1,2,,500,2,1,1
723204,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,700,2,1,1
723207,2,,,2,2,2,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,800,2,1,3
723463,2,,,1,1,4,1,0,1,1,0,1,2,1,2,,,,,1,1,2,,,1,1,2,,300,2,1,1
723480,2,,,1,1,5,0,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,2,,500,2,1,1
723492,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,500,2,1,1
723504,2,,,2,2,4,0,0,0,0,0,0,2,2,,,,,,1,2,2,,,2,,2,,300,2,1,2
723506,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,2,2,,,1,3,1,1,1000,2,1,3
723507,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,500,2,1,1
723535,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,350,2,1,1
723536,2,,,1,1,4,1,0,0,0,0,0,2,1,2,,,,,1,2,2,,,1,2,2,,250,2,1,2
723629,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,1,1,500,1,1,1
723666,2,,,1,1,4,1,0,0,0,0,1,2,1,2,,,,,1,1,2,,,1,1,2,,800,2,1,1
723745,2,,,1,1,3,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,600,2,1,1
723934,2,,,1,1,1,1,0,0,0,0,0,2,1,2,,,,,1,1,2,,,1,1,2,,600,1,1,1
723986,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,300,2,1,1
724042,2,,,1,1,3,1,1,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,500,2,1,2
724103,,,,1,1,4,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,600,2,1,1
724132,,,,1,1,4,0,0,0,0,0,0,2,,,,,,,2,,,,,1,1,2,,1300,2,1,1
724209,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1500,2,1,1
724211,,,,1,1,4,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,700,2,1,1
724213,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,650,2,1,1
724307,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1000,2,1,1
724353,2,,,1,1,1,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1000,2,1,1
724509,2,,,2,2,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,600,2,1,2
724523,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,60,2,2,0
724537,2,,,1,1,3,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1300,2,1,1
724543,2,,,2,4,4,1,0,1,0,0,0,2,1,2,,,,,1,1,2,,,1,4,2,,1000,1,1,7
724635,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,1,1,1100,2,1,1
724636,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1000,2,1,1
724708,2,,,1,1,3,0,0,1,0,0,0,2,2,,,,,,2,,,,,1,1,1,1,500,2,1,1
724714,2,,,2,3,4,0,0,0,0,0,1,2,1,1,4,1000,1,1000,1,3,1,,,1,3,1,1,800,1,1,4
724818,2,,,1,1,4,1,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,2,,500,2,1,1
724867,2,,,1,1,4,0,0,0,0,0,1,2,1,2,,,,,2,,,,,1,2,2,,1000,2,1,1
724899,2,,,1,1,4,1,0,0,0,0,1,2,2,,,,,,1,2,1,,,1,2,1,1,2500,2,1,1
724926,2,,,1,1,4,1,1,0,0,0,1,2,2,,,,,,1,1,1,,,1,2,2,,2000,2,1,1
725236,2,,,1,1,4,0,0,0,0,0,0,2,1,2,,,,,2,,,,,2,,2,,500,2,1,1
725509,2,,,1,1,3,1,0,0,1,1,0,2,3,,,,,,2,,,,,1,2,2,,1300,2,1,2
725602,2,,,1,1,4,0,0,0,0,0,0,2,1,2,,,,,1,1,1,,,1,1,2,,1300,2,1,2
725619,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,700,2,2,0
725643,2,,,1,1,4,0,1,0,0,0,0,2,1,2,,,,,2,,,,,1,2,2,,2600,2,1,2
725701,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1000,2,2,0
725716,2,,,2,2,4,1,0,0,0,0,0,2,1,2,,,,,1,2,2,,,1,2,1,1,1200,1,1,2
725726,,,,1,1,4,1,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,900,2,1,1
725801,1,1,2,2,2,4,1,0,0,1,0,0,2,1,2,,,,,2,,,,,1,2,2,,500,1,1,2
725902,2,,,1,1,4,1,1,0,0,0,0,2,1,1,4,1000,1,700,2,,,,,1,4,1,3,500,1,1,3
726010,2,,,1,1,3,1,1,0,0,0,0,2,2,,,,,,1,1,1,,,1,2,2,,1000,2,1,2
726146,2,,,2,2,4,0,0,0,0,0,1,2,1,2,,,,,1,1,2,,,1,1,1,1,1000,2,1,3
726161,2,,,2,2,4,1,1,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,600,1,1,2
726234,2,,,2,3,4,1,0,0,1,0,0,2,1,2,,,,,1,4,2,,,1,4,1,1,1000,2,1,4
726463,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,2600,2,1,2
726553,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,2,2,,,1,1,1,1,500,2,1,1
726563,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
726568,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,500,2,1,2
726703,1,1,2,2,3,4,1,0,0,1,0,0,2,1,2,,,,,1,1,2,,,1,5,1,1,1000,1,1,4
726743,2,,,2,2,3,0,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,300,2,1,3
726811,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,700,2,1,1
726823,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,600,2,2,0
726867,2,,,2,2,4,0,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,2,1,1,300,2,1,2
726906,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,700,2,2,0
726932,2,,,1,1,2,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,800,2,1,1
727001,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,1000,2,1,4
727009,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,800,2,1,1
727039,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,2,2,,,1,2,2,,300,2,1,1
727138,2,,,1,1,4,0,0,1,0,0,0,2,1,2,,,,,2,,,,,2,,2,,1000,2,1,2
727160,1,1,1,2,3,4,1,1,0,0,0,0,2,2,,,,,,1,2,2,,,1,2,2,,500,2,1,3
727170,1,2,2,2,2,4,1,0,0,0,0,0,2,2,,,,,,1,2,2,,,1,2,1,1,1000,2,1,5
727171,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,500,2,1,1
727267,2,,,2,2,4,0,0,1,0,0,0,2,2,,,,,,1,1,2,,,1,2,1,1,500,1,1,2
727318,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1200,2,1,1
727326,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,200,2,1,1
727402,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1000,2,2,0
727473,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1500,2,2,0
727477,2,,,1,1,1,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,750,2,1,1
727520,,,,1,1,4,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,600,2,1,1
727537,,,,1,1,4,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,850,2,1,1
727567,2,,,1,1,3,0,0,1,0,0,0,2,1,2,,,,,2,,,,,1,1,1,1,800,2,1,1
727604,2,,,1,1,4,0,0,0,0,0,1,2,2,,,,,,2,,,,,2,,2,,800,2,1,1
727650,,,,1,1,4,0,0,0,0,0,1,2,,,,,,,2,,,,,2,,2,,580,2,1,1
727726,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,2,,2,,400,2,1,1
727740,2,,,2,2,3,0,0,0,0,0,0,2,1,2,,,,,1,1,2,,,1,2,1,1,350,2,1,2
727825,2,,,1,1,3,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,800,2,1,1
727842,,,,1,1,4,1,0,0,0,0,0,3,,,,,,,2,,,,,2,,2,,700,2,1,1
727922,1,1,1,1,1,4,0,0,1,1,1,0,2,1,1,10,4000,1,1000,1,1,2,,,1,1,1,1,300,2,1,2
728148,1,1,1,2,2,4,1,1,0,1,1,0,2,2,,,,,,1,2,2,,,1,2,1,1,1500,2,1,2
728160,1,1,1,1,1,2,1,1,0,1,0,0,2,2,,,,,,1,1,2,,,1,1,2,,750,1,1,1
728185,1,1,2,1,1,4,1,0,0,1,1,0,2,1,2,,,,,1,1,2,,,1,1,2,,800,1,1,1
728306,1,1,3,1,1,4,1,1,0,1,0,0,2,2,,,,,,1,1,2,,,1,3,1,1,2000,1,1,3
728464,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,500,2,1,1
728493,1,1,1,1,1,4,1,0,1,0,0,0,2,1,2,,,,,1,1,2,,,1,1,2,,400,2,1,2
728547,1,1,2,2,2,4,1,0,0,0,0,0,1,1,1,2,5000,1,0,1,4,2,,,1,2,1,1,500,1,1,2
728665,2,,,2,3,4,0,1,0,0,0,0,2,2,,,,,,2,,,,,1,2,1,1,500,2,1,3
728852,1,1,2,1,1,4,1,0,0,0,0,0,2,3,,,,,,1,1,2,,,1,1,2,,1000,2,1,2
728890,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,1,1,400,2,1,1
728891,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,600,2,1,1
729127,2,,,1,1,4,1,0,1,0,0,0,2,1,1,1,200,1,0,1,2,2,,,1,3,2,,1000,1,1,3
729412,2,,,1,1,2,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
729507,1,1,1,1,1,4,1,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,2,,450,2,1,1
729515,2,,,1,1,2,0,0,0,0,0,0,2,1,1,2,500,1,0,2,,,,,1,1,1,1,400,2,1,1
730105,2,,,1,1,3,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,1500,2,1,1
730312,2,,,2,2,4,0,0,0,0,0,0,2,3,,,,,,2,,,,,2,,2,,1400,2,1,3
730333,2,,,2,2,4,1,0,0,0,0,0,2,3,,,,,,2,,,,,1,1,1,1,400,2,1,2
730402,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,2,1,1,500,2,1,2
730429,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,2,1,,,1,2,2,,1000,2,1,1
730430,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,2,2,,600,2,1,3
730526,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1700,2,1,2
730756,2,,,1,1,4,1,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,2,,1500,2,1,1
730807,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1000,2,1,1
730815,2,,,1,1,4,0,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,2,,1500,2,1,1
730876,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1000,2,2,0
