nquest,numadd,numdip,quopro,forgiu,fatlor,ym,debatt1,ndebatt1,debatt2,ndebatt2,debcom,tdebcom,credcom,tcredcom,tfr,immob,valaz,ind1,ind2,ind3,ind4,ind5,ind6,attivp1,attivp2,attivp3,attivp4,attivp5,attivp6,mesilav1,mesilav2,mesilav3,mesilav4,mesilav5,mesilav6,oretot1,oretot2,oretot3,oretot4,oretot5,oretot6
881074,2,0,100,8,30000,24000,2,,2,,2,,2,,,2,20000,1,2,,,,,1,1,,,,,12,12,,,,,48,48,,,,
881585,3,2,100,8,22000,12000,2,,2,,2,,2,,10000,2,0,1,,,,,,2,,,,,,12,,,,,,10,,,,,
881821,2,0,100,7,16000,12000,2,,2,,2,,2,,,2,0,1,2,,,,,1,1,,,,,11,11,,,,,48,48,,,,
881839,4,2,100,7,20000,15000,2,,2,,2,,2,,4000,2,100000,1,2,,,,,1,1,,,,,12,12,,,,,8,8,,,,
881842,1,0,100,8,30000,5000,2,,2,,2,,2,,,1,10000,1,,,,,,1,,,,,,2,,,,,,10,,,,,
881902,2,0,100,7,40000,20000,2,,2,,2,,2,,,1,20000,1,2,,,,,1,1,,,,,12,12,,,,,70,70,,,,
882297,2,0,100,1,120000,90000,2,,2,,2,,2,,,2,200000,1,5,,,,,1,1,,,,,12,12,,,,,50,50,,,,
883762,2,1,100,8,20000,0,1,1,2,,2,,2,,,2,0,2,3,,,,,1,1,,,,,12,12,,,,,12,50,,,,
884279,1,1,100,9,12000,12000,2,,2,,2,,2,,3000,2,5000,2,,,,,,1,,,,,,12,,,,,,50,,,,,
884444,3,2,100,1,60000,30000,2,,2,,2,,2,,10000,1,150000,1,,,,,,1,,,,,,12,,,,,,70,,,,,
884972,1,0,100,8,50000,25000,2,,2,,2,,2,,,2,100000,2,,,,,,1,,,,,,12,,,,,,48,,,,,
885548,4,0,100,6,150000,50000,2,,2,,2,,1,25000,,1,300000,1,3,4,5,,,1,1,1,1,,,12,12,12,12,,,9,8,8,8,,
885602,5,3,100,8,90000,45000,1,1,2,,1,5000,2,,21000,1,150000,1,2,,,,,1,1,,,,,12,12,,,,,55,60,,,,
886062,1,0,50,6,1200,-4000,2,,2,,2,,2,,,1,300000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
886365,50,48,100,2,80000,55000,2,,2,,2,,2,,100000,1,2000000,1,,,,,,1,,,,,,12,,,,,,48,,,,,
887102,3,0,100,8,33000,12000,2,,2,,2,,2,,,2,95000,1,,,,,,1,,,,,,12,,,,,,60,,,,,
887303,1,0,100,8,30000,17000,2,,2,,1,2500,2,,,2,60000,1,,,,,,1,,,,,,12,,,,,,45,,,,,
888147,1,1,100,8,12000,10000,2,,2,,2,,2,,1200,2,13000,1,,,,,,1,,,,,,1,,,,,,35,,,,,
889561,4,2,100,9,23000,20000,2,,2,,2,,2,,14000,1,300000,1,2,,,,,1,1,,,,,12,12,,,,,40,40,,,,
889587,4,0,25,7,30000,18000,2,,2,,2,,2,,,2,150000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
