NQUEST,comprens,ita,veroaf,veroab,verored,klima,facil,durata
34252,5,6,6,6,7,6,6,35
34269,5,5,5,6,5,6,6,30
34377,10,10,10,10,10,10,10,49
34396,8,8,10,10,10,10,10,34
34513,9,8,8,9,9,9,9,55
34732,9,8,9,8,8,10,9,77
34738,7,7,7,7,8,8,8,90
34778,7,7,6,8,6,8,7,29
34793,9,9,9,9,9,9,9,47
34800,7,7,7,7,7,7,7,37
34825,8,8,8,8,8,8,8,77
34900,8,8,5,8,8,8,8,64
35005,4,7,9,9,9,7,4,50
35022,8,9,10,10,9,10,9,44
35032,6,8,9,9,9,9,7,89
35234,9,10,5,10,10,9,10,60
35319,8,7,7,8,8,8,8,39
35322,7,7,8,8,8,8,8,35
35323,7,7,7,7,7,7,7,46
35326,8,8,8,7,7,8,8,49
35340,6,6,7,6,7,7,6,63
35349,5,5,7,9,9,8,6,48
35355,8,7,8,8,9,8,7,46
35370,8,8,7,9,7,9,9,73
35372,7,7,8,8,8,8,8,75
35374,7,8,8,8,8,8,7,78
35379,8,8,7,8,8,8,8,55
35498,10,10,10,10,10,10,10,68
35500,10,10,10,10,10,10,10,64
35502,6,7,7,7,6,7,6,60
35507,8,8,8,8,8,8,8,45
35508,10,10,10,10,10,10,10,71
35518,7,10,6,8,6,10,6,78
35520,7,8,7,7,7,9,7,40
35600,9,10,10,10,10,10,9,29
35640,10,10,10,10,10,10,10,54
35682,7,7,7,7,7,7,7,74
35735,10,10,8,10,8,10,8,77
35788,10,10,10,10,10,10,9,84
35968,9,10,10,10,10,10,8,66
36010,10,10,8,7,10,10,10,82
36067,8,7,8,8,8,7,8,34
36106,10,9,9,10,10,9,9,76
36120,9,8,8,9,8,10,9,70
36130,9,10,8,8,8,9,9,65
36131,8,10,8,8,7,8,8,56
36146,8,10,8,8,8,9,8,58
36148,7,9,7,8,6,8,7,28
36164,10,9,10,10,10,10,10,53
36186,8,8,8,8,8,8,8,30
36249,6,6,7,6,6,6,6,20
36250,7,7,6,5,6,7,6,28
36311,9,9,9,9,9,9,9,60
36321,8,8,7,8,6,8,8,51
36333,10,10,10,10,10,10,10,64
36378,8,9,8,8,7,9,8,85
36403,9,8,8,8,8,9,8,35
36409,9,10,8,9,8,9,8,35
36443,9,7,8,10,8,8,8,50
36450,8,8,8,10,8,9,9,64
36494,9,9,6,9,7,9,8,66
36522,7,8,9,8,8,9,8,109
36524,8,9,8,9,8,9,7,39
36697,8,9,9,9,9,9,9,43
36774,10,10,10,10,10,10,10,37
36891,9,9,7,7,7,9,9,43
36893,9,9,9,9,9,9,9,58
37001,9,8,9,9,9,10,10,99
37011,9,9,9,9,9,9,9,89
37042,10,10,10,10,10,10,10,90
37286,9,9,9,9,9,9,9,50
37299,7,8,8,8,7,6,6,70
37459,9,6,7,7,7,8,8,28
37504,9,10,9,10,10,10,10,81
37521,8,9,9,9,9,9,9,52
37665,8,10,7,8,6,8,8,47
37677,10,9,8,9,9,9,9,32
37721,8,8,10,10,10,10,8,34
37808,7,7,5,7,5,7,7,53
37810,8,8,8,10,8,9,8,34
38014,8,10,8,8,8,9,8,55
38095,10,9,10,10,10,10,9,44
38106,10,10,10,10,10,10,10,27
38112,10,10,10,10,10,10,10,20
38128,9,10,10,10,7,10,8,29
38135,10,10,10,10,10,10,10,36
38177,9,10,8,8,8,9,9,42
38183,8,10,6,8,8,8,8,49
38255,10,10,10,10,10,10,10,49
38261,7,7,8,9,9,10,8,52
38272,10,10,10,10,10,10,10,53
38316,8,8,8,8,8,8,8,89
38319,9,8,7,7,7,9,9,42
38349,10,10,8,10,9,10,10,100
38554,9,10,10,10,10,10,9,46
38797,9,9,9,9,9,9,9,30
38800,9,9,9,10,9,10,9,66
38877,8,8,8,8,8,8,8,54
38885,8,8,8,8,8,8,8,54
38903,8,8,8,8,8,8,8,34
38909,9,9,9,9,9,9,9,48
38913,9,9,9,9,9,9,9,39
38939,10,10,10,10,10,10,10,82
38940,9,9,9,9,9,9,9,44
38957,9,9,9,9,9,9,9,30
38964,10,10,10,10,10,10,10,31
38967,9,9,9,9,9,9,9,65
38977,9,9,9,9,9,9,9,37
38979,9,9,9,9,9,9,9,49
38992,10,10,8,10,9,10,10,49
38995,10,9,9,10,10,10,10,77
39056,9,9,9,9,9,9,9,64
39057,9,9,9,9,9,9,8,32
39058,8,8,9,9,9,9,9,36
39060,8,8,9,9,9,9,9,31
39061,9,9,9,9,9,9,9,62
39086,8,9,9,9,9,9,8,83
39095,9,9,9,9,9,9,9,80
39111,7,9,7,10,10,10,7,57
39218,9,9,6,7,8,9,9,30
39227,8,8,6,6,6,9,9,37
39259,8,7,8,7,6,7,8,33
39284,8,8,8,8,8,8,8,64
39317,9,9,9,9,9,9,9,23
39318,9,9,9,9,9,9,9,24
39351,10,10,10,10,10,10,8,78
39356,10,10,6,10,6,10,10,59
39433,8,8,7,7,8,8,8,44
39436,8,8,6,9,9,9,9,52
39441,9,9,5,9,9,9,9,44
39485,10,10,10,10,10,10,10,57
39488,10,10,10,10,10,10,10,60
39491,10,10,9,10,10,10,10,43
39542,5,4,6,8,7,6,6,38
39581,7,7,7,7,7,8,7,69
39697,10,9,8,8,9,8,9,35
50052,9,9,6,10,5,10,8,75
50060,10,10,10,10,10,10,10,90
50085,8,8,8,8,8,8,8,25
50135,9,9,8,8,8,8,7,59
50150,9,8,9,9,7,9,9,78
50178,10,10,9,7,10,10,10,48
50231,9,9,9,9,9,9,9,26
50232,9,9,9,9,9,9,9,31
50281,7,7,8,9,8,7,7,40
50618,9,10,3,10,8,10,8,40
50674,4,6,10,7,10,9,7,70
51013,8,9,9,9,9,9,9,45
51351,8,8,8,7,8,9,9,55
51352,7,7,6,8,8,9,7,67
51363,6,7,7,8,8,8,6,58
51444,10,10,10,10,10,10,10,76
51467,8,10,8,8,8,9,8,55
51544,9,9,7,7,7,9,9,62
51719,5,9,5,5,5,9,9,80
51733,6,7,9,8,9,8,7,42
51895,9,9,9,9,9,9,9,27
52400,5,4,7,7,7,5,8,26
52455,7,7,8,6,8,8,8,50
52478,10,10,10,10,10,10,10,72
52505,8,8,8,9,8,9,7,60
52700,8,8,8,8,8,8,8,53
52716,9,9,9,9,9,9,9,22
52718,9,9,9,9,9,9,9,24
52736,8,8,8,8,8,9,9,48
53008,10,9,6,10,8,10,7,65
53028,6,8,9,9,9,7,7,34
53081,8,8,9,10,9,10,9,22
53085,9,9,8,9,8,10,9,62
53086,9,8,8,10,9,9,9,23
53108,8,8,9,10,9,9,8,70
53109,9,8,9,9,9,9,9,47
53202,7,7,5,8,8,8,8,77
53234,6,6,6,5,5,6,6,71
53373,10,10,10,10,10,10,10,47
53380,8,9,7,8,7,9,8,21
53520,10,9,6,7,5,10,10,54
53549,10,10,10,10,10,10,10,87
53552,9,9,9,9,9,9,8,65
