nquest,nord,SEX,PARENT,ANASC,CIT,ANINGR,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,motiv,annoenus,tipolau,tipodip,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
21461,1,2,1,1918,1,,4,2,,,,,,1,,15,1,1,,,,,5,1,5,1,94,5,6,3,1,5,1,1,1,1,2,1,0.2873686436
22099,1,1,1,1958,1,,1,3,,,,,,1,,8,,19,,,,,15,3,15,4,54,3,5,2,19,4,1,1,2,3,4,1,0.8092583024
22099,2,2,2,1962,1,,1,2,,,,,,2,,13,,,,,,,15,3,15,4,50,3,7,3,,5,0,0,2,3,4,1,0.8092583024
22099,3,2,6,1985,1,,2,5,70,100,2,2004,2,3,,4,,14,,,,3,15,3,15,4,27,1,3,1,14,4,0,1,2,3,4,1,0.8092583024
22099,4,1,6,1987,1,,2,4,,,,,,4,,11,,,,,,,15,3,15,4,25,1,7,3,,5,0,0,2,3,4,1,0.8092583024
22168,1,2,1,1958,1,,1,3,,,,,,1,,13,,,,,,,15,3,15,3,54,3,7,3,,5,0,0,2,3,4,3,0.4528883461
22168,2,1,2,1956,1,,1,2,,,,,,2,,16,,,,,,,15,3,15,3,56,4,6,3,,5,0,1,2,3,4,3,0.4528883461
22168,3,1,6,1984,1,,2,3,,,,,,3,,16,,,,,,,15,3,15,3,28,1,6,3,,5,1,1,2,3,4,3,0.4528883461
22169,1,2,1,1944,1,,1,2,,,,,,1,,16,,,,,,,15,3,15,3,68,5,6,3,,5,0,1,2,3,4,3,0.4814044736
22169,2,1,2,1937,1,,1,2,,,,,,2,,16,,,,,,,15,3,15,3,75,5,6,3,,5,1,1,2,3,4,3,0.4814044736
22169,3,1,6,1973,1,,2,4,,,,,,3,,11,,,,,,,15,3,15,3,39,2,7,3,,5,0,0,2,3,4,3,0.4814044736
22173,1,1,1,1938,1,,1,2,,,,,,1,,15,1,9,,,,,15,3,15,2,74,5,6,3,9,5,1,1,1,3,4,3,0.4112212404
22173,2,2,2,1935,1,,1,2,,,,,,2,,13,,,,,,,15,3,15,2,77,5,7,3,,5,0,0,1,3,4,3,0.4112212404
22208,1,2,1,1935,1,,4,2,,,,,,1,,15,1,3,,,,,5,1,5,1,77,5,6,3,3,5,1,1,1,1,2,1,0.3929467012
22222,1,1,1,1927,1,,4,2,,,,,,1,,15,2,3,,,,,5,1,5,1,85,5,6,3,3,5,1,1,1,1,2,1,0.3473236234
22276,1,1,1,1949,1,,2,5,8,10,2,1968,2,1,,15,2,15,,,,2,8,1,8,2,63,4,6,3,15,5,0,1,2,1,2,0,0.8480241205
22276,2,2,4,1924,1,,4,2,,,,,,2,,16,,,,,,,8,1,8,2,88,5,6,3,,5,1,1,2,1,2,0,0.8480241205
22277,1,2,1,1957,1,,1,5,50,60,2,1975,2,1,,2,,15,,,,5,8,1,8,3,55,4,2,1,15,3,0,1,2,1,2,0,1.3112244397
22277,2,1,2,1958,1,,1,4,,,,,,2,,9,,7,,,,,8,1,8,3,54,3,5,2,7,4,1,1,2,1,2,0,1.3112244397
22277,3,1,6,1989,1,,2,5,78,100,2,2008,1,3,,17,,,,,,3,8,1,8,3,23,1,7,3,,5,0,0,2,1,2,0,1.3112244397
22279,1,2,1,1954,1,,3,3,,,,,,1,,9,,7,,,,,8,1,8,3,58,4,5,2,7,4,0,1,3,1,2,0,1.5955982222
22279,2,1,7,1982,1,,2,5,83,100,2,2002,1,2,,1,,13,,,,2,8,1,8,3,30,1,1,1,13,4,1,1,3,1,2,0,1.5955982222
22279,3,2,7,1986,1,,2,5,66,100,2,2006,2,3,,9,,7,,,,2,8,1,8,3,26,1,5,2,7,4,0,1,3,1,2,0,1.5955982222
22286,1,1,1,1950,1,,1,3,,,,,,1,,15,1,15,,,,,8,1,8,2,62,4,6,3,15,5,1,1,1,1,2,0,0.9498063031
22286,2,2,2,1956,1,,1,3,,,,,,2,,13,,,,,,,8,1,8,2,56,4,7,3,,5,0,0,1,1,2,0,0.9498063031
22292,1,2,1,1935,1,,1,2,,,,,,1,,15,1,1,,,,,8,1,8,2,77,5,6,3,1,5,0,1,2,1,2,0,0.8518801821
22292,2,1,2,1929,1,,1,2,,,,,,2,,15,8,1,,,,,8,1,8,2,83,5,6,3,1,5,1,1,2,1,2,0,0.8518801821
22624,1,1,1,1957,1,,1,2,,,,,,1,,1,1,8,,,,,15,3,15,5,55,4,1,1,8,4,1,1,2,3,4,2,0.1366756325
22624,2,2,2,1961,1,,1,3,,,,,,2,,13,,,,,,,15,3,15,5,51,3,7,3,,5,0,0,2,3,4,2,0.1366756325
22624,3,1,6,1981,1,,2,3,,,,,,3,,1,1,6,,,,,15,3,15,5,31,1,1,1,6,4,0,1,2,3,4,2,0.1366756325
22624,4,2,6,1995,1,,2,3,,,,,,5,,17,,,,,,,15,3,15,5,17,1,7,3,,5,0,0,2,3,4,2,0.1366756325
22624,5,2,6,1997,1,,2,3,,,,,,6,,17,,,,,,,15,3,15,5,15,1,7,3,,5,0,0,2,3,4,2,0.1366756325
22657,1,2,1,1951,1,,1,7,110,110,1,1988,,1,,3,,16,,,9,3,16,3,16,2,61,4,2,1,16,3,1,1,2,3,4,2,1.1368860799
22657,2,1,2,1946,1,,1,5,8,10,2,1965,1,2,,15,2,2,,,,2,16,3,16,2,66,5,6,3,2,5,0,1,2,3,4,2,1.1368860799
22850,1,2,1,1949,1,,2,7,110,110,1,1981,,1,,3,,16,,,9,3,1,1,5,1,63,4,2,1,16,3,1,1,1,1,2,1,0.216796437
22995,1,1,1,1943,1,,1,3,,,,,,1,,15,1,8,,,,,5,1,1,2,69,5,6,3,8,5,1,1,1,1,1,2,0.2441004785
22995,2,2,2,1946,1,,1,3,,,,,,2,,13,,,,,,,1,1,1,2,66,5,7,3,,5,0,0,1,1,1,2,0.2441004785
22996,1,1,1,1934,1,,1,5,7,10,2,1953,2,1,,15,4,1,,,,1,1,1,1,2,78,5,6,3,1,5,1,1,2,1,1,2,0.2441004785
22996,2,2,2,1942,1,,1,3,,,,,,2,,16,,,,,,,1,1,1,2,70,5,6,3,,5,0,1,2,1,1,2,0.2441004785
