nquest,debm21,debrf21,tdebita21,mutuodu21,mutuoin21,anmutuo21,tmutuoab21,tipotax21,debgar21_1,debgar21_2,debgar21_3,debpers21,debm22,debrf22,tdebita22,mutuodu22,mutuoin22,anmutuo22,tmutuoab22,tipotax22,debgar22_1,debgar22_2,debgar22_3,debpers22,debm23,debrf23,tdebita23,mutuodu23,mutuoin23,anmutuo23,tmutuoab23,tipotax23,debgar23_1,debgar23_2,debgar23_3,debpers23,taxfis21,taxvar21,taxfis22,taxvar22,taxfis23,taxvar23
714430,1,2,38200,15,220000,2000,14000,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
726010,1,2,12000,6,24000,2010,4920,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
728148,1,2,15000,10,75000,2004,8500,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,
730430,2,2,11000,8,11000,2012,500,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,
732406,1,2,6000,10,40000,2004,5064,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,
800464,1,2,7000,20,140000,1993,3000,1,1,0,0,,2,2,60000,20,70000,2008,6000,1,0,1,0,,,,,,,,,,,,,,4,,5.05,,,
804882,1,2,84000,20,120000,2008,10200,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
805869,1,2,750,15,27000,1998,1800,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,
811858,1,2,50000,12,500000,2000,15000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
812503,1,2,80000,25,130000,2007,5000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
813026,1,2,6000,5,30000,2008,6000,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,
814448,1,2,2400,2,5000,2012,2500,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,
814868,2,2,70000,20,100000,2006,6000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,,
817749,2,2,12500,5,30000,2010,7500,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
819330,1,2,5000,15,50000,1999,4500,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
820173,2,3,50000,10,60000,2012,3600,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853796,3,2,3000,4,20000,2009,6000,3,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854862,1,2,87000,20,125000,2006,6000,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
854963,1,2,46000,15,80000,2005,6960,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
855238,2,2,60000,15,100000,2005,10800,2,0,1,0,,2,2,2000,7,12000,2005,2500,1,0,0,1,1,,,,,,,,,,,,,,3,7,,,
855274,1,2,81000,15,110000,2009,7200,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
855350,1,2,70000,15,90000,2007,8800,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
856731,1,2,28000,25,150000,2006,2500,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,8.04,,,,,
857273,2,2,10000,5,10000,2012,660,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
857373,1,2,295000,20,300000,2012,7200,2,0,1,0,,1,2,80000,20,120000,2005,7000,2,0,1,0,,1,2,70000,20,125000,2001,10000,2,0,1,0,,,3.5,,2.4,,3
858159,1,2,85000,20,100000,2008,8200,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
859453,1,2,180000,20,200000,2010,12390,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,
860851,1,1,80000,25,150000,1999,5000,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,
863055,1,2,177000,25,180000,2012,3000,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,
863239,1,2,140000,20,155000,2007,10000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
863863,2,2,650,10,30000,2003,4000,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
866597,2,2,7000,5,60000,2008,5000,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
867653,1,2,14000,5,20000,2012,3000,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,
868098,2,2,94000,20,100000,2011,6000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
868264,1,2,60000,15,120000,2007,11800,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
868474,1,2,15000,15,65000,2005,6000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
871697,1,2,70000,12,134000,2007,13200,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
872620,1,2,150000,20,250000,2007,15000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
872659,2,2,180000,15,500000,2000,30000,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,
873751,1,2,40000,25,50000,2009,2800,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,
873757,1,2,50000,10,60000,2010,6000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
875046,2,2,50000,15,150000,2002,8400,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,
875163,1,2,65000,20,80000,2005,6400,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,
875224,1,1,45000,10,50000,2011,2500,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,
875508,1,2,50000,20,55000,2005,4000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
875817,1,2,90000,30,100000,2007,4800,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
876202,1,2,130000,30,155000,2006,10000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
877241,2,2,67000,20,70000,2012,3000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,,,,
877244,1,2,160000,30,165000,2011,6000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
877285,1,2,8500,15,50000,2004,5400,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,
877488,1,2,300000,25,400000,2008,20000,1,0,1,0,,1,2,80000,25,100000,2008,3600,1,0,1,0,,1,1,25000,5,40000,2009,4800,1,0,1,0,,5.5,,5.5,,6,
877808,2,1,65000,25,68000,2011,3600,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
878103,1,2,50000,20,70000,2004,5020,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
878157,2,2,30000,15,30000,2000,5000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
878376,1,2,85000,20,120000,2003,9000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
878671,2,2,2500,6,10000,2009,3000,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
879258,2,2,8400,4,10000,2012,2000,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
879692,1,2,82000,20,100000,2005,7100,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
879724,1,2,50000,25,68000,2002,3600,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
880003,1,2,110000,20,120000,2011,9600,2,1,0,0,,1,2,4000,3,5000,2012,1000,3,0,0,1,1,,,,,,,,,,,,,,3,,,,
880042,1,2,1000,4,14000,2009,3200,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
880223,2,2,7000,5,10000,2011,2400,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
880515,1,2,120000,20,125000,2009,8000,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
880541,1,2,55000,15,75000,2012,2000,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,
880985,1,2,150000,20,200000,2009,12000,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,
881015,1,2,180000,15,300000,2010,12000,2,1,0,0,,2,2,190000,10,300000,2010,22000,2,1,0,0,,,,,,,,,,,,,,,3,,5,,
881817,2,2,12000,4,31000,2009,5096,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
881902,2,2,9800,3,10000,2012,530,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
881918,1,2,25000,10,80000,2005,7200,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,
883642,1,2,23000,10,35000,2005,4200,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
