Variabile;Modalita;freq_pond;n_indeb_imm_pond;n_indeb_cons_pond;n_indeb_carte_pond;n_indeb_az_pond;n_indeb_CC_pond;n_indeb_3_pond;n_indeb_fam_pond;n_indeb_compl_pond;sum_PFIMM_pond;sum_PFCONS_pond;sum_PFCARTE_pond;sum_PFAZ_pond;sum_PFCC_pond;sum_PF3_pond;Deb_tot_pond;sum_W_indeb_pond;sum_Y_FAM_indeb_pond;sum_MUTUOIN1_pond;sum_TDEBITA1_pond;Durata_Ori_pond_MUTUOIN1;Durata_Res_pond_TDEBITA1;LTV1_pond_MUTUOIN1;Tasso_pond1;sum_MUTUOIN1_SOSPENS1;sum_MUTUOIN2_pond;sum_TDEBITA2_pond;Durata_Ori_pond_MUTUOIN2;Durata_Res_pond_TDEBITA2;LTV1_pond_MUTUOIN2;Tasso_pond2;sum_MUTUOIN3_pond;sum_TDEBITA3_pond;Durata_Ori_pond_MUTUOIN3;TAEG_pond3;sum_MUTUOIN4_pond;sum_TDEBITA4_pond;Durata_Ori_pond_MUTUOIN4;Tasso_pond4;sum_TDEBITA3_1_pond;sum_TDEBITA3_2_pond;sum_TDEBITA3_3_pond;sum_TDEBITA3_4_pond;sum_TDEBITA3_5_pond
AREA5;2;1453.192775;165.80635617;128.41689315;19.346411866;30.302050762;57.237635896;21.068215028;306.23297521;321.91263609;13211188.75;1028019.7074;42842.794671;5154355.469;271618.58308;381385.58469;20089410.889;85000612.657;13598769.251;19135018.243;12557319.565;24.104203123;18.250845452;77.268391716;2.6505514816;1188034.8635;1496132.2307;653869.1857;14.891368519;12.544709643;61.077859616;2.6644265711;1744404.0328;1028019.7074;6.2172921657;4.2048818849;4992313.7496;4333747.5712;18.097384326;2.9697177588;745011.72218;51134.100063;13943.697322;147188.50085;68503.881504
AREA5;3;1520.493865;164.53384812;98.742182979;28.654792709;41.318712937;35.964324586;36.821938212;311.52326307;333.11523499;17620530.303;747577.76312;54124.062772;2012437.196;122651.99001;399069.84656;20956391.162;76265325.253;13303415.572;20471789.391;14382171.664;25.039390439;18.964193813;75.054711575;2.7419690386;267379.9957;4087299.9304;3238358.6394;23.066456747;21.653820425;61.729928856;1.6626726188;1163516.1854;747577.76312;5.6770677619;4.8525061612;2623948.8017;1744624.3717;20.622910724;2.7979344974;662531.95629;22973.317258;3752.3990932;58320.090487;0
AREA5;4;1813.765174;81.41688414;139.06334687;28.00824151;59.20149665;81.962250136;70.140975575;324.25635284;354.92538887;4912524.2888;1084689.4982;33633.539608;1036016.2613;202800.43507;683485.91957;7953149.9425;71346663.442;10300466.37;6197309.6565;4236172.9595;22.081933949;15.834929274;72.375617865;4.1249753943;190940.11693;1001711.1413;676351.32927;17.528074678;12.697341367;89.325687844;2.5665414357;1957411.264;1084689.4982;7.1602454735;5.6721651057;1588524.8379;669722.67877;12.447040554;5.6047441735;469656.23485;111748.06188;0;492727.8659;10557.335547
AREA5;5;564.77964595;35.884886653;54.81704319;4.9372478084;13.259156365;9.0006999418;31.649337747;126.07024718;131.26421298;1702505.0172;364497.76043;7231.7948353;507259.94297;94052.812497;147689.93327;2823237.2612;21713888.029;3741658.5619;2468318.3298;1578897.5715;20.638183977;14.991823711;76.146082035;4.057372779;0;208481.79697;123607.44569;12.433013975;6.2999347542;66.459224906;3.2179973201;706970.68437;364497.76043;5.6245648261;3.9010251338;691054.38489;476712.35133;12.006649561;5.1562705717;283346.34436;16844.260351;2499.0158446;61808.139875;0
IREG;1;760.16523161;52.733179668;39.125115836;18.202264585;16.667158664;9.7340417976;23.682936698;115.9954304;117.6932109;3623171.1797;490507.3717;24518.905701;2697208.4773;32311.383585;225757.61145;7093474.9294;25853371.43;4198989.105;5166540.8336;3390977.3612;23.236973923;16.961602968;73.989754616;2.6494557314;466842.34796;361891.83701;232193.81842;17.471617741;11.260700435;64.544774782;2.8992501256;662690.87906;490507.3717;7.1808407775;4.6460240136;3111545.0673;2567166.6237;9.5062745744;3.4612641284;318334.63433;13243.360234;0;158115.77103;813.60609782
IREG;2;47.153836061;0.7567466937;0;0;0.424935854;0.424935854;0;1.1816825478;1.1816825478;94872.181342;0;0;424.93585404;939.93905845;0;96237.056254;131500.07687;31282.757367;166875.89028;94872.181342;24.344661388;14.423644462;100;2;21872.042849;;;;;;;;;;;;;;;;;;;
IREG;3;979.16475816;167.58270736;107.24214528;13.481723711;12.181917137;49.457592237;21.897944557;272.67689518;274.82485955;14610590.832;854205.24815;25144.515543;250067.12269;108783.31936;967595.08246;16816386.12;64003748.385;11980343.162;19692982.33;12500021.49;23.34631565;18.264671623;73.945797787;2.1019066864;116233.91582;2734326.5845;2110569.3417;19.835505435;16.507275539;70.408086882;2.5503125714;1291852.2232;854205.24815;4.7636944517;4.4285529031;370539.88636;194292.42817;11.852377013;5.6883451907;705851.22802;52607.988362;0;57727.309916;38018.721848
IREG;4;276.18216201;30.501814292;6.9236571422;0;2.2593590221;1.9370146363;0;39.36248607;39.36248607;1808427.9653;57677.458124;0;3389038.5331;3874.0292727;0;5259017.9858;18534354.754;1593166.3657;3269319.1041;1740647.1946;21.390169392;14.992277518;70.220333009;2.7005106887;0;90374.360883;67780.770662;20;20;25;2.5;109005.94721;57677.458124;4.1444081016;0.4191840022;3389038.5331;3389038.5331;20;2.5;56529.20978;1148.2483439;0;0;0
IREG;5;418.60716882;34.814566841;30.051382681;7.5382487598;6.4235307852;19.772716234;7.6346045323;79.339129531;83.63808019;2724828.9898;259476.75456;23443.44719;1202485.7949;97335.918072;58215.845013;4365786.7496;14183531.148;3616818.1981;4343395.644;2566747.9636;24.298122338;14.979106607;83.351078679;3.3805627641;104858.28666;339107.9962;158081.02625;16.866664376;17.790879229;78.713316864;1.3260944508;424217.60214;259476.75456;6.7317463535;6.2396957446;879820.71418;524589.26846;16.213046535;4.8161664708;143386.66249;19558.02687;0;28028.183701;68503.881504
IREG;6;208.68746856;29.705979776;19.108890673;0;4.4360609969;11.29250485;1.4232068232;45.701159024;47.949519834;2344136.7146;140277.15681;0;25528.653063;90397.155678;7827.6375278;2608167.3177;8803256.7647;1806289.9665;3137818.8199;2212109.6795;22.710795297;16.869017677;77.993087107;2.5857987335;0;194271.56789;132027.03518;17.95293499;11.310759053;61.871649031;3.0179987017;242862.18583;140277.15681;4.9079457374;4.4614868478;25926.252709;17674.723755;3.5615739068;5.7907062917;134870.20978;5097.8687239;0;309.07830361;0
