nquest,quest,nquestp,contint,nopcf,stupcf,conpcf,setpcf,anapcf,citpcf,vitpcf,nompcf,anmortpcf,itpcf,nomcf,stumcf,conmcf,setmcf,anamcf,citmcf,vitmcf,nommcf,anmortmcf,itmcf,vitfcf,nfratcf,nsorecf,vitfco,nfratco,nsoreco,figlicf,nfiglicf,nfiglinoit,parnoit,anconv,motivpcf,motivmcf,NCOMP,CAPI
504885,3,,1,1,2,8,4,1895,,2,1,1962,,1,2,8,4,1911,,2,1,1990,,1,1,2,,,,1,2,,,,,,1,1
504886,3,,2,1,1,1,1,1923,,1,,,,1,1,9,,1926,,2,1,1988,,1,1,0,1,1,0,2,,,,1978,,,4,1
504889,3,,2,1,2,7,4,1919,,2,1,2004,,1,2,9,,1924,,1,,,,1,1,1,1,2,1,1,2,,,1977,,,2,1
504921,3,,2,1,4,2,3,1936,,2,1,1997,,1,4,9,,1934,,2,1,1994,,1,1,0,1,1,0,2,,,,1993,,,3,1
504937,3,,3,1,2,1,2,1930,,2,1,1981,,1,1,9,,1935,,2,1,1969,,1,1,3,1,3,1,2,,,,1995,,,4,1
504956,3,,2,1,3,5,4,1928,,1,,,,1,2,9,,1932,,1,,,,1,3,4,1,2,1,2,,,,2000,,,2,1
504959,3,,2,1,2,1,1,1916,,2,1,1976,,1,2,9,,1919,,1,,,,1,2,1,1,0,2,1,1,,,1978,,,3,1
504965,3,,2,1,1,1,1,1908,,2,1,1959,,1,1,9,,1910,,2,1,1998,,1,0,5,,,,1,1,,,,,,2,1
504988,3,,2,1,2,2,4,1904,,2,1,1972,,1,2,9,,1916,,2,1,2001,,1,0,2,1,0,3,1,3,,,1963,,,2,1
505022,3,,4,1,2,1,1,1913,,2,1,1992,,1,2,9,,1917,,1,,,,1,1,3,1,4,5,1,2,,,1974,,,3,1
505167,3,,1,1,1,1,1,1905,,2,2,,,1,1,9,,1907,,2,2,,,2,,,2,,,1,2,,,1960,,,2,0
505176,3,,2,1,2,1,1,1910,,2,2,,,1,2,9,,1915,,2,2,,,2,,,2,,,1,1,,,1972,,,2,0
505226,3,,3,1,2,1,1,1904,,2,1,1985,,1,2,9,,1912,,2,1,2000,,1,2,1,2,,,1,2,,,1973,,,3,0
505228,3,,4,1,2,1,2,1921,,2,1,1968,,1,2,9,,1925,,2,1,1987,,1,1,0,,,,2,,,,,,,3,0
505238,3,,1,2,,,,,,3,,,,1,2,9,,1887,,2,1,1980,,2,,,2,,,1,3,0,,1957,,,2,0
505243,3,,1,1,2,1,2,1913,,2,1,1991,,1,2,9,,1913,,1,,,,1,0,3,2,,,1,1,,,1971,,,3,0
505285,3,,2,1,2,8,4,1890,,2,1,1967,,1,1,9,,1917,,2,1,2002,,1,1,5,,,,2,,,,,,,2,1
505307,3,,2,1,2,1,1,1903,,2,2,,,1,2,9,,1905,,2,2,,,1,1,1,,,,1,2,,,,,,1,1
505322,3,,2,1,2,2,3,1908,,2,1,1988,,1,2,1,4,1914,,2,1,1996,,1,0,1,1,1,6,1,3,0,,1964,,,2,1
505334,3,,1,1,1,1,4,1892,,2,1,1971,,1,2,9,,1897,,2,1,1971,,1,4,1,,,,1,2,,,,,,2,1
505366,3,,3,1,2,8,1,1912,,2,1,1966,,1,2,9,,1913,,2,1,1968,,1,0,3,1,2,0,2,,,,1985,,,4,1
505374,3,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,1,2,,,,,,1,1
505385,3,,2,1,2,1,2,1948,,1,,,,1,3,1,2,1956,,1,,,,2,,,1,2,0,2,,,,2000,,,2,1
505390,3,,2,1,4,2,4,1935,,1,,,,1,4,3,3,1939,,1,,,,1,1,0,1,1,1,2,,,,1990,,,4,1
505407,3,,2,1,2,8,1,1892,,2,1,1972,,1,2,8,1,1896,,2,1,1983,,1,1,0,,,,1,2,,,,,,1,0
505416,3,,1,1,3,8,4,1905,,2,1,1979,,1,2,9,,1907,,2,1,1985,,1,1,0,1,0,1,2,,,,1955,,,2,0
505417,3,,2,1,1,8,1,1947,2,1,,,2,1,1,8,1,1950,2,1,,,2,1,1,0,,,,1,1,1,1,,,,1,0
505418,3,,2,1,3,8,4,1890,,2,1,1950,,1,3,9,,1900,,2,1,1973,,2,,,1,0,3,1,2,,,1965,,,2,0
505421,3,,2,1,2,1,2,1923,,2,1,1988,,1,2,8,4,1924,,2,1,1983,,1,3,0,,,,1,1,,,,,,1,0
505424,3,,2,1,2,2,3,1930,,2,1,2006,,1,4,1,2,1934,,1,,,,1,1,0,2,,,2,,,,1992,,,4,0
505425,3,,2,1,2,1,4,1902,,2,1,1942,,1,3,2,3,1904,,2,1,1977,,1,1,0,,,,1,2,,,,,,1,0
505430,3,,4,1,3,2,3,1927,,2,1,1998,,1,2,1,4,1928,,1,,,,1,1,1,1,3,1,2,,,,1997,,,3,0
505433,3,,4,1,4,8,4,1911,,2,1,1983,,1,2,1,2,1913,,2,1,1981,,1,1,1,1,1,0,1,2,,,1958,,,2,0
505436,3,,4,1,4,5,4,1936,,1,,,,1,3,9,,1937,,1,,,,1,1,0,,,,2,,,2,,,,3,0
505439,3,,4,1,2,8,1,1907,,2,1,1984,,1,2,9,,1919,,2,1,2002,,2,,,1,0,3,2,,,,1975,,,3,0
505442,3,,1,1,1,8,4,1889,,2,1,1967,,1,1,9,,1886,,2,1,1943,,1,0,1,,,,1,2,,,,,,1,0
505453,3,,2,1,2,8,4,1911,,2,1,1963,,1,2,9,,1923,,2,1,2004,,1,1,1,1,0,1,2,,,,1982,,,4,0
505454,3,,2,1,2,1,4,1903,1,2,1,1963,,1,2,9,,1907,1,2,1,1989,,1,1,0,,,,1,1,,2,,,,1,0
505463,3,,2,1,2,1,2,1902,1,2,1,1978,,1,2,9,,1904,1,2,1,1992,,2,,,1,0,1,1,1,0,,1965,,,2,0
505469,3,,3,1,2,2,3,1923,,2,1,2004,,1,2,8,4,,,,,,,2,,,,,,2,,,2,,,,3,0
505477,3,,4,1,3,1,2,1926,,2,1,2000,,1,2,9,,1929,,2,1,1987,,1,1,0,1,2,0,2,,,,1998,,,3,0
505486,3,,1,1,1,1,2,1875,1,2,2,,,1,1,9,,1876,1,2,2,,,2,,,,,,1,1,,,,,,1,0
505491,3,,1,1,2,1,2,1906,,2,1,1961,,1,2,9,,1908,,2,1,1994,,1,1,1,1,1,0,1,3,,,1965,,,2,0
505492,3,,1,1,2,8,1,1899,,2,1,1980,,1,2,9,,1898,,2,1,1964,,2,,,1,2,1,1,2,,,1949,,,2,0
505493,3,,3,1,2,2,2,1910,,2,1,1979,,1,2,9,,1908,,2,1,1970,,1,1,0,,,,2,,,2,,,,1,0
505498,3,,1,1,2,8,4,1899,,2,1,1964,,1,2,9,,1905,,2,1,1980,,1,0,2,,,,2,,,,,,,2,0
505502,3,,1,1,2,1,3,1894,,2,1,1935,,1,2,9,,1896,,2,1,1984,,1,0,1,1,1,0,1,2,,,1961,,,2,0
505517,3,,2,1,2,1,4,1916,,2,1,1988,,1,1,9,,1918,,2,1,1998,,1,1,2,1,1,2,2,,,,1970,,,2,1
505523,3,,1,2,,,,,,3,,,,2,,,,,,3,,,,1,1,0,,,,1,2,,2,,,,1,1
505525,3,,2,1,1,8,1,1903,,2,1,1976,,1,2,8,1,1908,,2,1,2004,,1,3,1,1,0,1,1,1,,,1973,,,2,1
505534,3,,2,1,2,8,4,1910,,2,1,1984,,1,1,8,4,1910,,2,1,1987,,2,,,1,1,0,2,,,,1990,,,3,1
505540,3,,2,1,1,8,1,1899,,2,1,1958,,1,1,9,,1904,,2,1,1975,,1,3,0,,,,2,,,,,,,1,1
505548,3,,2,1,2,8,1,1901,,2,1,1980,,1,1,9,,1901,,2,1,1996,,1,3,0,,,,1,1,,,,,,2,1
505566,3,,2,1,2,8,1,,,,,,,1,2,9,,1934,,2,1,2003,,2,,,2,,,2,,,,,,,2,1
505576,3,,2,1,1,1,2,1902,,2,1,1935,,1,1,9,,1905,,2,1,1936,,1,1,0,2,,,1,1,,,1958,,,2,1
505594,3,,2,1,1,1,2,1912,,2,1,1979,,1,1,9,,1914,,2,1,2003,,1,2,0,1,1,0,1,2,,,1977,,,4,0
505606,3,,2,2,,,,,,3,,,,2,,,,,,3,,,,2,,,1,1,0,2,,,,1980,,,3,0
505655,3,,4,1,2,1,2,1913,,2,1,1974,,1,2,1,2,1919,,1,,,,1,1,0,1,1,0,1,1,,,1973,,,3,1
505672,3,,2,1,2,1,1,1903,,2,1,1945,,1,2,1,1,1905,,2,1,1995,,2,,,1,1,0,2,,,,1973,,,3,1
505681,3,,1,1,2,8,1,1911,,2,2,,,1,2,8,1,1912,,2,2,,,1,0,2,,,,1,4,,,,,,1,1
505768,3,,2,1,1,1,1,1925,,2,1,2002,,1,2,1,2,1936,,1,,,,1,1,0,1,0,2,2,,,,1983,,,5,1
505771,3,,2,1,2,5,2,1902,,2,1,1999,,1,4,2,4,1912,,1,,,,2,,,2,,,1,1,,,1959,,,2,1
505798,3,,2,1,3,2,4,1933,,2,1,2005,,1,2,9,,1940,,1,,,,1,1,0,1,1,2,2,,,,1984,,,4,1
505806,3,,2,1,1,1,1,1880,,2,1,1957,,1,1,1,1,1884,,2,1,1962,,1,1,2,,,,2,,,,,,,2,1
505810,3,,2,1,1,1,4,1903,,2,1,1980,,1,1,9,,1907,,2,1,1995,,1,1,2,2,,,2,,,,1978,,,4,1
505818,3,,3,1,2,1,2,1924,,2,1,2003,,1,2,9,,1928,,2,1,1998,,1,0,1,1,2,3,2,,,,1985,,,4,1
505820,3,,2,1,1,1,1,1905,,2,1,1996,,1,1,1,1,1910,,2,1,1998,,1,2,3,1,5,2,1,2,,,1969,,,3,1
505833,3,,2,1,1,1,1,1911,,2,1,1998,,1,1,1,1,1912,,2,1,1988,,1,0,1,,,,2,,,2,,,,1,1
505839,3,,2,1,2,1,3,1932,,1,,,,1,2,9,,1942,,1,,,,1,2,2,1,0,1,2,,,,1998,,,2,1
505850,3,,2,1,2,1,1,1895,,2,1,1952,,1,2,9,,1894,,2,1,1975,,1,4,0,,,,1,1,,,,,,1,1
505881,3,,4,1,2,8,4,1906,,2,1,1991,,1,2,9,,1912,,2,1,1980,,2,,,2,,,1,1,,,1966,,,3,1
505979,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,1,2,,,,,,1,1
506007,3,,1,1,2,1,3,1891,,2,2,,,1,2,8,4,1898,,2,2,,,2,,,2,,,1,2,,,1960,,,2,1
506025,3,,1,1,4,1,2,1907,,2,2,,,1,1,9,,1914,,2,2,,,1,1,1,1,0,1,1,1,,,1965,,,2,1
506100,3,,1,1,1,1,4,1893,,2,1,1970,,1,1,9,,1899,,2,1,1986,,1,1,0,1,3,0,1,1,,,1961,,,2,1
506107,3,,3,1,1,1,4,1932,,1,,,,1,1,1,4,1929,,1,,,,1,0,1,1,2,0,1,1,,,1994,,,4,1
506112,3,,3,1,1,1,4,1893,,2,1,1954,,1,1,9,,1898,,2,1,1953,,1,1,3,1,1,0,1,2,,,1955,,,2,1
506126,3,,3,1,7,9,,1901,,2,1,1937,,1,7,9,,1903,,2,1,1943,,1,1,2,,,,1,1,,,,,,2,0
506132,3,,3,1,2,8,4,1931,,1,,,,1,2,9,,1938,,1,,,,1,0,1,1,0,1,2,,,,1984,,,4,0
506152,3,,2,1,2,8,1,1908,,2,1,1986,,1,2,1,1,1914,,2,1,1940,,1,0,1,,,,2,,,,,,,2,1
506153,3,,2,1,2,1,3,1918,,2,1,1991,,1,1,1,1,1922,,2,1,1990,,1,1,0,1,1,2,1,1,,,1962,,,2,1
506184,3,,2,1,3,2,4,1924,,2,1,1973,,1,2,9,,1924,,1,,,,1,0,1,1,0,1,1,2,,,1968,,,3,1
506195,3,,3,1,1,1,4,1890,,2,1,1986,,1,1,9,,1895,,2,1,1985,,1,1,1,,,,1,1,,,,,,1,1
506374,3,,2,1,2,1,1,1896,,2,1,1974,,1,1,9,,1902,,2,1,1970,,1,1,0,,,,1,1,,,,,,1,1
506380,3,,4,1,4,2,3,1921,,2,1,1999,,1,4,3,3,1923,,1,,,,1,0,1,,,,1,2,,2,,,,2,1
506385,3,,3,1,2,1,3,,,,,,,1,2,1,4,,,,,,,2,,,,,,1,1,,2,,,,4,1
506386,3,,1,1,2,1,4,,,,,,,1,2,9,,,,,,,,2,,,,,,2,,,2,,,,3,1
506389,3,,3,1,1,1,1,1920,,2,2,,,1,1,1,1,1920,,1,,,,1,3,2,1,1,4,1,2,,,1972,,,2,1
506396,3,,4,1,2,1,2,1940,,1,,,,1,2,1,2,1945,,1,,,,1,0,1,1,1,2,2,,,,2000,,,4,1
506402,3,,2,1,2,1,1,1908,,2,1,1982,,1,2,9,,1909,,2,1,1983,,1,1,1,1,2,2,1,2,,,1969,,,3,1
506410,3,,1,1,4,1,1,1937,,1,,,,1,2,9,,1942,,2,1,2002,,1,1,1,1,0,1,2,,,,1995,,,4,1
506411,3,,1,1,2,1,1,1902,,2,1,1972,,1,2,1,1,1907,,2,1,1996,,1,5,2,,,,2,,,2,,,,3,1
506413,3,,1,1,2,1,1,1928,,1,,,,1,2,9,,1931,,1,,,,1,1,0,1,2,0,2,,,,1999,,,4,1
506418,3,,2,1,2,1,1,1890,,2,1,1978,,1,2,9,,1911,,2,1,1956,,1,2,1,1,3,2,1,1,,,1962,,,2,1
506439,3,,4,1,3,2,4,1907,,2,1,1987,,1,4,2,4,1911,,2,1,2005,,1,1,0,1,0,2,1,1,,,1968,,,3,1
506446,3,,2,1,2,1,4,1903,,2,1,1994,,1,1,9,,1905,,2,1,1971,,1,0,2,1,2,1,1,3,,,1970,,,2,1
506458,3,,2,1,4,2,3,1936,,1,,,,1,3,9,,1938,,1,,,,1,2,0,1,1,1,2,,,,1991,,,4,1
506492,3,,2,2,,,,,,3,,,,2,,,,,,3,,,,2,,,1,1,1,2,,,,2002,,,3,1
506512,3,,2,1,2,8,4,1906,,2,1,1981,,1,1,1,2,1912,,2,1,1994,,1,2,0,,,,2,,,2,,,,1,1
506520,3,,1,1,2,1,4,1915,,2,1,1993,,1,2,9,,1903,,2,1,1997,,1,2,0,1,1,0,1,2,,,1974,,,2,0
506527,3,,2,1,2,1,2,1903,,2,1,1947,,1,2,9,,1909,,2,1,1995,,1,3,0,1,1,5,1,4,,,1960,,,2,0
506531,3,,3,1,2,1,4,1912,,2,1,1988,,1,2,9,,1911,,2,1,2002,,2,,,1,0,1,2,,,,1972,,,4,0
506565,3,,3,2,,,,,,2,1,2000,,2,,,,,,2,1,1998,,1,0,1,1,0,1,1,2,,,1974,,,3,1
506591,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,2,,,2,,,,1975,,,3,1
506601,3,,2,1,2,1,1,1887,,2,2,,,1,2,9,,1900,,2,2,,,2,,,,,,1,2,,,,,,1,1
506608,3,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,1,2,,,,,,1,1
506610,3,,3,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,2,,,2,,,,1980,,,5,1
506613,3,,1,1,1,1,1,1884,,2,1,1943,,1,1,9,,1903,,2,1,1980,,1,0,1,1,4,2,1,2,,,1953,,,2,1
506616,3,,3,1,2,1,1,1903,,2,1,1977,,1,2,1,1,1904,,2,1,1997,,1,1,3,,,,1,1,,,,,,1,1
506619,3,,3,1,2,1,2,1898,,2,1,1983,,1,2,9,,1898,,2,1,1969,,2,,,,,,2,,,2,,,,2,1
506628,3,,2,1,4,3,3,1922,,2,1,2003,,1,2,9,,1922,,1,,,,2,,,2,,,2,,,,1982,,,6,1
506657,3,,1,2,,,,,,1,,,,2,,,,,,3,,,,2,,,2,,,2,,,,1995,,,5,1
506666,3,,3,1,2,7,4,1941,,2,1,2004,,2,,,,,,2,2,,,2,,,2,,,2,,,,2008,,,2,1
506680,3,,1,1,2,1,2,1908,,2,1,1992,,1,2,9,,1913,,2,1,1996,,2,,,1,1,0,1,1,,,1966,,,3,1
506729,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,1,1,1,1,2,1,6,0,,1957,,,2,0
506733,3,,2,1,2,1,2,1916,,2,1,1997,,1,2,9,,1916,,1,,,,1,2,3,1,3,0,1,3,0,,2008,,,2,0
506736,3,,1,1,7,1,5,1908,,2,1,1979,,1,7,9,,1910,,2,1,1983,,1,2,3,1,1,1,1,2,,,1966,,,2,0
506738,3,,2,1,2,1,1,1918,,2,1,1999,,1,2,9,,1922,,2,1,1984,,1,2,0,1,0,1,2,,,,1990,,,4,0
506742,3,,2,1,2,1,2,1913,,2,1,1987,,1,2,8,4,1922,,2,1,2002,,1,1,0,1,1,1,1,1,0,,1968,,,3,1
506753,3,,2,1,2,1,1,1910,,2,1,1991,,1,2,9,,1920,,1,,,,2,,,1,0,1,2,,,,1976,,,3,0
506758,3,,3,1,2,3,5,1896,,2,1,1971,,1,2,3,5,1891,,2,1,1973,,1,0,1,1,2,0,1,1,,,1977,,,3,0
506759,3,,2,1,2,1,4,1918,,2,1,2002,,1,2,9,,1920,,2,1,2004,,2,,,1,0,1,1,2,,,1967,,,2,0
506760,3,,2,1,2,1,5,1925,,2,1,2005,,1,2,9,,1926,,1,,,,1,1,1,2,,,2,,,,1977,,,4,0
506767,3,,2,1,2,2,2,1897,,2,1,1972,,1,2,9,,1903,,2,1,1984,,2,,,2,,,2,,,,1972,,,2,0
506772,3,,3,1,2,1,4,1912,,2,1,1988,,1,2,9,,,,,,,,1,1,0,2,,,2,,,,1979,,,5,0
506778,3,,1,1,1,1,1,1901,,2,1,1966,,1,1,1,1,1897,,2,1,1986,,2,,,1,0,1,2,,,,1950,,,2,0
506782,3,,2,2,,,,,,3,,,,1,2,9,,1907,,2,1,1975,,1,1,0,,,,1,2,,,,,,2,0
506783,3,,1,1,1,1,3,1897,,2,1,1957,,1,1,9,,1900,,2,1,1958,,1,1,1,,,,1,3,,,,,,1,0
506785,3,,3,1,1,1,1,1911,,2,1,1993,,1,1,1,1,1908,,2,1,1977,,1,1,1,1,0,3,2,,,,1968,,,3,0
506798,3,,1,1,1,1,2,1925,,2,1,1990,,1,1,1,2,1930,,2,1,1996,,1,1,0,1,0,2,1,1,,,1971,,,3,1
506799,3,,2,1,2,1,1,1913,,2,1,1997,,1,2,9,,1916,,2,1,1961,,2,,,1,1,2,1,1,,,1976,,,3,1
506849,3,,3,1,3,4,3,1911,,2,1,1983,,1,2,9,,1906,,2,1,1983,,2,,,1,1,1,2,,,,1967,,,3,1
506863,3,,3,1,2,2,1,1909,,2,1,1990,,1,2,9,,1908,,2,1,1998,,1,1,0,,,,2,,,2,,,,1,1
506889,3,,4,1,1,1,2,1910,,2,1,1997,,1,1,9,,1912,,2,1,2008,,1,2,6,1,0,2,1,3,,,1964,,,3,1
506894,3,,3,1,2,1,2,1923,,2,1,2002,,1,2,9,,1923,,1,,,,1,1,0,1,2,3,2,,,,1980,,,4,1
506920,3,,2,1,2,8,4,1916,,2,1,1993,,1,2,9,,,,,,,,1,1,0,1,1,1,1,1,,,1992,,,5,1
506979,3,,1,1,1,1,4,1910,,2,1,1973,,1,2,9,,1909,,2,1,1989,,2,,,1,1,0,1,2,,,1969,,,2,1
506997,3,,4,1,2,8,1,,,,,,,1,2,9,,,,,,,,2,,,,,,2,,,2,,,,8,1
507037,3,,1,1,2,9,,1919,,2,1,1988,,1,2,9,,1924,,2,1,1981,,2,,,1,1,2,2,,,,1984,,,4,1
507078,3,,2,1,2,1,4,1905,,2,1,1957,,1,4,3,3,1906,,2,1,1999,,1,0,3,1,1,2,1,3,,,1962,,,2,1
507081,3,,2,1,2,1,4,1930,,1,,,,1,2,9,,1936,,1,,,,1,2,0,1,1,1,2,,,,1989,,,4,1
507111,3,,2,1,2,8,1,1894,,2,1,1964,,1,1,9,,1892,,2,1,1992,,2,,,,,,1,1,,,,,,1,0
507138,3,,1,1,2,1,4,1895,,2,2,,,1,2,2,3,1899,,2,1,1965,,2,,,1,0,1,1,2,,,1953,,,2,1
507147,3,,1,1,1,8,4,1920,,2,1,1986,,1,1,9,,1921,,1,,,,1,1,1,1,1,0,1,1,,,1976,,,4,1
507151,3,,4,1,2,8,4,1918,,2,1,2004,,1,4,3,3,1917,,1,,,,1,1,1,1,2,1,1,1,,,1968,,,2,0
507157,3,,4,1,2,1,2,1905,,2,1,1985,,1,2,9,,1906,,2,1,1989,,1,0,1,,,,1,2,,,,,,1,1
507168,3,,2,1,2,2,3,1892,,2,1,1949,,1,2,9,,1898,,2,1,1978,,1,0,1,,,,2,,,2,,,,1,0
507172,3,,2,1,2,2,3,1886,,2,1,1947,,1,2,9,,1887,,2,1,1973,,2,,,2,,,2,,,,1960,,,2,0
507175,3,,3,1,2,1,1,1920,,2,1,1994,,1,1,1,1,1925,,1,,,,1,1,1,1,1,3,1,2,,,1973,,,3,0
507181,3,,1,1,2,1,2,1884,,1,,,,1,2,9,,1892,,1,,,,1,1,1,2,,,2,,,,1950,,,2,0
507182,3,,4,1,1,1,1,1909,,2,1,1983,,1,1,9,,1913,,2,1,1983,,1,1,0,1,2,1,1,1,,,1979,,,3,0
507185,3,,3,1,1,2,3,1896,,2,1,1980,,1,1,9,,1894,,2,1,1984,,2,,,,,,1,2,,,,,,5,0
507190,3,,3,1,2,9,,1912,,2,1,1970,,1,2,1,2,1919,,2,1,2007,,1,1,2,1,2,1,2,,,,1976,,,5,1
507260,3,,2,1,2,1,4,1945,,1,,,,1,2,1,4,1945,,1,,,,1,1,0,1,1,1,2,,,,1988,,,5,1
507282,3,,2,1,2,1,1,1934,,1,,,,1,2,1,1,1935,,1,,,,1,1,0,1,1,1,2,,,,1992,,,5,1
507287,3,,3,1,2,1,4,1940,,1,,,,1,2,1,4,1946,,1,,,,2,,,,,,2,,,2,,,,2,1
507303,3,,2,1,1,1,1,1910,,2,1,1991,,1,2,1,1,1926,,2,1,1998,,1,1,0,1,0,1,1,1,,,1974,,,2,0
507304,3,,4,1,3,1,4,1950,,1,,,,1,3,1,4,1949,,2,1,1995,,2,,,2,,,2,,,,2008,,,2,0
507316,3,,2,1,2,1,4,1914,,2,1,1942,,1,2,1,4,1915,,2,1,2004,,1,0,1,1,3,2,1,2,,,1962,,,2,0
507319,3,,2,1,2,1,4,1902,,2,1,1976,,1,2,9,,1906,,2,1,1982,,2,,,,,,2,,,2,,,,1,0
507322,3,,2,1,2,1,4,1936,,1,,,,1,2,9,,1941,,1,,,,2,,,1,1,0,2,,,,1993,,,4,0
507329,3,,2,1,2,8,4,1927,,1,,,,1,2,1,1,1934,,1,,,,2,,,2,,,1,2,,,2005,,,3,0
507336,3,,2,1,2,1,4,1915,,2,1,2005,,1,2,9,,1915,,2,1,1987,,1,0,1,2,,,2,,,,1977,,,4,0
507359,3,,3,1,4,4,1,1902,,2,1,1953,,1,4,3,3,1906,,2,1,1983,,1,1,0,2,,,1,2,,,1964,,,2,0
507360,3,,4,1,2,8,4,1925,,2,1,1982,,1,2,9,,1929,,1,,,,2,,,2,,,1,1,,,1977,,,3,0
507401,3,,4,1,2,1,3,1925,,1,,,,1,1,9,,1925,,2,1,2007,,1,1,0,1,0,2,2,,,,1980,,,3,0
507419,3,,4,1,2,1,1,1925,,1,,,,1,1,1,1,1927,,1,,,,1,1,2,1,0,2,1,1,,,1979,,,3,1
507425,3,,4,1,2,1,3,1910,,2,1,1999,,1,1,9,,1920,,2,1,1989,,2,,,1,0,3,2,,,,1978,,,4,0
507426,3,,2,1,7,8,4,1897,,2,1,1933,,1,1,9,,1901,,2,1,1979,,1,0,1,1,4,0,1,2,,,1955,,,2,0
507431,3,,3,1,4,1,4,1945,,1,,,,1,2,9,,1947,,1,,,,1,0,2,1,1,1,2,,,,1995,,,4,0
507441,3,,3,1,4,3,3,1916,1,1,,,1,1,5,3,3,1929,,1,,,,1,0,1,1,1,0,2,,,,1994,1,,3,0
507444,3,,2,1,1,1,1,1921,,2,1,1990,,1,1,1,1,1920,,1,,,,1,3,2,1,1,1,1,1,,,1982,,,3,0
507455,3,,2,1,2,2,3,1910,,2,1,1988,,1,2,9,,1915,1,2,1,1996,,1,0,1,1,1,1,1,2,,,1973,,,2,0
507462,3,,4,1,4,2,3,1937,,1,,,,1,4,3,3,1943,,1,,,,1,1,1,1,0,1,2,,,,1995,,,5,0
507477,3,,1,1,1,1,1,1922,,1,,,,1,1,1,1,1924,,1,,,,1,1,1,1,0,4,1,2,,,1966,,,2,0
507482,3,,3,1,1,1,4,1924,,2,1,1997,,1,1,9,,1923,,2,1,1999,,1,2,1,1,1,4,1,2,,,1972,,,2,0
507502,3,,2,1,1,1,1,1909,,2,1,1990,,1,1,9,,1912,,2,1,2008,,2,,,1,3,2,1,1,,,1959,,,2,1
507509,3,,2,1,1,8,1,1892,,2,1,1940,,1,1,9,,1899,,2,1,1991,,1,2,0,1,1,2,1,1,,,1952,,,2,1
507519,3,,4,1,3,8,4,,,,,,,1,2,9,,1949,,2,1,2006,,1,0,2,,,,2,,,2,,,,3,1
507529,3,,4,1,2,1,1,1931,,2,1,2004,,1,2,1,1,1936,,1,,,,1,1,1,1,0,1,2,,,,1986,,,3,0
507541,3,,3,1,3,2,3,1918,,2,1,1974,,1,3,1,2,1934,,1,,,,1,0,1,1,1,0,2,,,,1988,,,4,0
507542,3,,4,1,3,2,3,1920,,2,1,1980,,1,5,3,3,1927,,1,,,,1,0,1,1,1,0,2,,,,1992,,,4,0
507544,3,,4,1,2,8,1,1922,,1,,,,1,2,8,1,1928,,1,,,,1,0,1,1,1,0,2,,,,1983,,,4,0
507547,3,,2,1,1,1,1,1899,,2,1,1971,,1,1,9,,1909,,2,1,1970,,1,1,1,1,1,4,1,1,,,1957,,,3,0
507552,3,,1,1,3,1,4,1944,,1,,,,1,2,1,4,1942,,2,1,2008,,2,,,1,0,1,2,,,,1996,,,4,0
507556,3,,2,1,1,1,1,1890,,2,1,1960,,1,1,1,1,1895,,2,1,1972,,1,0,1,,,,1,2,,,,,,1,0
507557,3,,2,1,1,1,2,1902,,2,1,1974,,1,1,9,,1902,,2,1,1974,,1,1,0,,,,1,3,,,,,,1,0
507573,3,,3,1,5,5,4,1915,,2,1,1964,,1,4,9,,1916,,1,,,,1,1,2,1,1,0,1,1,,,1967,,,2,0
507580,3,,2,1,2,1,4,1930,,2,1,2005,,1,2,9,,1936,,1,,,,1,0,1,1,1,0,2,,,,1984,,,5,0
507588,3,,2,1,2,8,1,1916,,2,1,1981,,1,2,9,,1914,1,2,1,1991,,1,2,2,1,4,1,2,,,,2002,,,2,0
507594,3,,3,1,1,1,1,1908,,2,1,1990,,1,1,9,,1911,,2,1,1977,,1,0,2,1,1,3,1,2,,,1963,,,2,0
507595,3,,2,1,2,1,1,1924,,1,,,,1,2,9,,1930,,2,1,2000,,1,0,1,1,1,0,2,,,,1985,,,3,0
507596,3,,2,1,2,8,1,1949,,1,,,,1,2,8,1,1950,,1,,,,1,0,1,1,0,1,2,,,,1996,,,3,0
507598,3,,2,1,1,1,1,1915,,2,1,1996,,1,1,9,,1918,,1,,,,1,1,3,1,1,0,1,1,,,1971,,,3,0
507599,3,,1,1,7,8,1,1889,,2,1,1952,,1,7,9,,1894,,2,1,1967,,2,,,1,2,0,1,1,,,1962,,,2,0
507602,3,,2,1,4,2,2,1897,,2,1,1953,,1,2,2,3,1897,,2,1,1990,,1,2,2,,,,2,,,,,,,1,0
507605,3,,4,1,2,1,1,1934,,2,1,2008,,1,2,1,1,,,,,,,2,,,,,,2,,,2,,,,2,0
507615,3,,2,1,2,1,2,1918,,2,1,1982,,1,2,9,,1926,,1,,,,1,0,1,,,,1,2,,2,,,,1,0
507617,3,,2,1,2,1,3,1928,,2,1,2001,,1,1,1,1,1932,,1,,,,1,0,2,1,0,1,2,,,,1986,,,4,0
