nquest,anabit,godabit,unipro,quopro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,poss,impacq,tfitto,tipoaff,propriet,tfitimp,supab,ancostr,bagni,riscald,valabit,vac,vacdov1,vacdov2,vacdov3,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra,tmanstra,manstr2,tmanstr2,ristr,tristr,debita1,ndebita1,debita2,ndebita2,debitb,tdebitb,debitc,tdebitc,debitd,tdebitd,debite,tdebite,ratab,ratac,taxc,ratad,taxd,ratae,taxe,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,mutuoe,mutuorif,mutuoric,pro7,pro8,pro9,TDEBITA
20223,1976,1,1,100,1968,1,2,,,,,1,87654,,,,450,70,1960,1,1,150000,1,0,1,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
20231,2008,1,1,100,2008,1,2,,,,,2,200000,,,,600,90,2008,1,1,250000,2,,,,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,1,8000,2,,2,,,3000,7,,,,,1,1,2,2,,2,,1,1,,,,0,0,198000
20297,1964,2,,,,,,,,,,,,340,2,4,,83,1960,1,1,120000,1,0,0,1,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,1,15000,2,,2,,,4200,,,,,,,1,2,2,,2,,2,,,2,,,,
20372,1986,1,1,100,1986,1,2,,,,,1,30000,,,,800,84,1952,1,1,200000,1,0,0,1,2,,2,,2,,2,,2,,1,2800,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
20711,1970,1,1,100,1967,2,,,,,,4,,,,,450,87,1941,1,1,250000,2,,,,2,,2,,1,1,2,,2,,1,9000,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
20767,1974,1,1,100,2008,3,4,,,,,4,,,,,800,160,1970,1,1,600000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
20837,1963,1,1,100,1962,1,2,,,,,2,1500,,,,500,100,1962,1,1,200000,1,1,0,0,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
20839,1981,1,1,100,1981,2,,,,,,7,70000,,,,900,220,1981,2,1,500000,1,1,0,1,1,17,1,14,1,3,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
20944,1986,1,1,100,1986,1,2,,,,,1,175000,,,,900,140,1974,2,1,350000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,3000,2,,2,,,3000,,,,,,,1,2,2,,2,,1,1,,,,0,0,
21384,1981,1,1,100,2000,1,,,,,,5,25000,,,,500,100,1978,1,1,130000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
