nquest,comprens,ita,verored,klima,facil,durata
36450,8,,8,8,7,33
36492,10,,10,10,10,65
36494,9,,10,10,9,119
36522,9,,9,10,8,65
36524,7,,8,9,8,48
36596,8,,7,8,7,36
36697,9,,9,10,8,64
36774,10,,8,8,9,70
36822,7,,7,7,7,30
36849,7,,7,7,7,24
36883,9,,9,9,9,56
36891,9,,9,9,9,54
36893,9,,9,9,9,57
37001,7,,6,7,7,70
37011,10,,10,10,10,91
37042,10,,10,10,10,90
37286,7,,5,7,7,32
37287,6,,6,8,6,22
37294,10,,8,8,8,24
37299,6,,5,7,5,25
37459,10,,10,10,10,62
37504,10,,9,10,9,66
37521,8,,9,9,8,54
37665,8,,7,8,8,60
37677,10,,9,8,8,25
37721,9,,10,10,9,70
37808,7,,4,6,7,41
37810,7,,8,8,8,23
37929,9,,9,9,9,45
38014,8,,6,8,7,80
38016,8,,10,10,9,80
38018,10,,10,10,10,149
38095,7,,9,9,7,57
38106,10,,10,10,10,60
38112,10,,10,10,10,85
38118,10,,10,10,10,70
38121,8,,8,9,8,100
38128,7,9,7,9,9,31
38135,9,,9,9,9,64
38153,10,,10,10,10,179
38160,9,,10,9,8,90
38169,7,8,7,8,6,70
38177,9,,9,9,9,37
38183,9,,9,9,9,53
38230,5,,6,6,6,30
38255,10,,10,10,10,82
38261,8,,9,9,9,60
38272,10,,10,10,10,56
38316,8,,7,8,8,84
38319,9,,8,9,9,64
38349,9,,7,9,9,75
38362,9,,9,10,9,58
38409,10,,10,10,10,67
38426,10,,10,10,10,48
38431,10,,10,10,10,32
38481,3,,7,10,4,38
38489,8,,6,10,9,56
38493,8,,8,10,9,74
38495,8,,7,10,9,59
38496,3,,9,10,5,44
38499,5,,8,10,7,49
38554,8,,8,9,8,60
38797,10,,6,10,9,45
38800,10,,9,10,10,60
38871,6,,8,7,7,44
38877,9,,9,8,9,69
38885,7,,7,7,7,68
38903,9,,9,9,9,29
38909,9,,8,9,9,41
38913,10,,10,10,10,37
38939,4,,4,6,5,60
38940,8,,10,10,9,52
38957,8,8,8,8,8,43
38964,7,,8,8,6,65
38967,9,,9,9,8,77
38977,8,,8,8,8,43
38979,8,,8,8,8,40
38992,9,,10,10,9,75
38995,10,,8,7,9,56
39055,8,,8,8,9,60
39056,10,,9,7,9,119
39057,10,,9,7,9,119
39058,9,,10,7,9,119
39060,6,,10,7,10,45
39061,9,,9,8,9,119
39083,7,,8,10,8,84
39086,8,10,8,9,7,79
39095,8,,7,9,7,101
39111,7,,8,10,8,62
39125,8,,7,8,7,47
39218,9,,8,9,9,29
39227,9,,6,9,9,31
39259,6,,6,7,6,57
39278,7,,7,7,7,40
39284,8,,8,8,8,70
39317,9,,9,9,9,60
39318,7,,7,8,8,65
39351,10,,10,10,10,52
39356,9,,5,9,8,34
39433,7,,7,5,5,41
39436,7,,7,7,7,53
39441,7,,7,7,7,30
39485,10,,8,10,10,64
39486,8,,8,8,8,46
39488,8,,8,8,8,41
39491,9,,9,10,7,54
39542,7,,8,8,8,35
39581,8,,7,8,8,42
39697,10,,8,8,8,42
39907,7,,7,7,7,59
39961,9,,9,9,9,55
50052,9,,8,7,8,50
50060,7,,8,8,7,60
50085,8,,8,8,8,37
50135,9,,9,9,9,58
50150,9,,8,9,8,72
50178,6,,10,10,10,44
50231,8,,8,8,8,51
50232,9,,9,9,9,34
50274,8,,8,8,7,60
50281,8,,8,9,8,65
50537,7,,8,8,8,21
50618,8,,8,8,8,50
50674,8,,9,9,8,50
50740,8,,7,8,7,65
50757,8,,3,4,6,48
51013,8,,8,8,7,42
51185,6,,5,6,6,32
51297,9,,9,9,10,100
51351,7,,5,8,7,60
51352,8,,6,8,8,80
51363,7,,7,8,7,70
51444,9,,9,9,9,49
51467,7,,7,8,8,55
51544,9,,8,9,9,69
51619,6,,6,8,6,88
51651,9,,7,9,9,87
51719,9,,9,9,9,55
51733,7,,8,8,8,58
51792,7,,7,7,7,20
51895,6,,7,7,7,54
51900,7,,7,7,7,74
51908,6,,8,9,7,51
52400,7,,7,7,7,28
52455,7,,7,8,7,40
52478,10,,9,10,10,41
52505,7,,7,8,6,36
52700,8,,8,8,8,92
52716,7,,7,8,8,40
52718,7,,8,9,8,89
52733,5,,8,8,8,56
52736,9,,9,9,9,71
52985,7,,5,10,8,80
53006,9,,8,8,9,25
53008,9,,9,8,9,24
53028,3,,3,5,5,90
53081,7,,8,9,8,20
53085,7,,7,9,8,44
53086,8,,7,8,8,49
53108,8,,9,9,8,29
53109,7,,7,8,8,37
53202,6,,6,6,6,149
53225,8,,8,8,8,40
53234,6,,7,8,7,47
53373,9,,9,9,9,46
53380,9,,9,9,9,50
53381,8,,7,8,8,77
53413,9,,9,9,9,88
53520,10,,10,10,10,45
53549,10,,9,9,9,119
