nquest,nord,intper,attivp,tuttanno,mesilav,numadd,numdip,forgiu,sedeit,oretot,compfiss,dividut,quopro,partecip
810369,2,1,1,1,12,5,3,8,1,40,1500,15000,20,10000
810514,1,1,1,1,12,4,1,1,1,65,12000,2500,75,150000
810514,2,1,1,1,12,2,1,7,1,40,12000,1000,100,50000
810749,1,1,2,1,12,3,3,1,1,20,,0,5,10000
810982,1,1,1,1,12,2,0,7,1,40,8500,1000,50,500
811789,1,1,2,1,12,2,2,7,1,70,15000,15000,50,1500000
811789,2,1,2,1,12,2,2,7,1,10,10000,10000,50,1500000
811822,1,1,1,1,12,5,2,7,1,40,13000,0,33,10000
812587,1,1,1,1,12,30,20,1,1,40,32500,0,10,10000
813288,2,2,1,1,12,1,0,1,1,40,25000,20000,100,20000
813944,1,1,1,1,12,2,0,1,1,40,30000,0,50,100000
814179,2,1,1,1,12,1,0,1,1,40,0,15000,100,20000
815195,1,1,1,1,12,7,5,8,1,50,15000,5000,50,750000
815235,1,1,2,3,,2,1,6,1,1,3000,3000,20,8000
815235,1,1,2,3,,1,1,7,1,1,5000,5000,25,100000
815501,1,1,1,1,12,3,0,1,1,20,30000,30000,33,50000
816274,1,1,1,1,12,3,2,8,1,50,14000,0,50,100000
816831,1,1,1,1,12,11,9,6,1,40,,0,80,1000000
816831,2,2,1,1,12,11,9,6,1,38,,0,20,1000000
816844,2,2,1,1,12,3,0,1,1,50,0,1000,50,50000
817400,1,1,1,1,12,2,0,7,1,30,10000,10000,50,30000
818635,1,1,2,1,12,4,2,6,1,60,1200,21000,50,600000
819125,1,1,1,1,12,4,2,7,1,54,20000,8000,50,60000
819197,1,1,1,1,12,14,11,1,1,48,1600,13000,25,75000
819580,2,1,1,1,12,20,17,1,1,50,,0,45,100000
821133,1,1,1,1,12,3,0,1,1,50,25000,0,34,2000
821451,1,1,1,1,12,6,4,1,1,30,10000,0,50,150000
821743,1,1,1,1,12,18,15,7,1,50,22000,0,50,1000000
821948,1,1,1,1,12,3,0,7,1,60,20000,0,33,30000
822398,3,3,1,1,12,3,1,1,1,40,12000,5000,50,10000
822466,1,1,1,1,12,7,5,2,1,60,20000,0,80,1000000
822466,2,1,2,3,,7,5,2,1,20,14000,0,20,1000000
823142,3,2,1,1,12,2,0,8,1,50,0,30000,50,30000
823566,2,1,1,1,12,2,0,8,1,40,4000,4000,50,15000
824887,3,1,1,1,12,3,3,7,1,40,20000,20000,33,100000
825094,1,1,2,1,12,3,1,1,2,50,3000,1500,50,500
825186,2,2,1,1,12,7,0,1,1,40,24000,0,15,45000
825397,1,1,1,1,12,2,0,6,1,50,40000,26000,50,75000
825959,1,1,1,1,12,2,1,8,1,50,50000,40000,70,30000
826156,1,1,1,1,12,13,11,1,1,80,18000,60000,50,110000
826705,3,1,1,1,12,2,0,7,1,50,90000,45000,50,90000
827036,1,1,2,1,12,2,0,7,1,40,18600,18600,50,7500
827069,2,2,1,1,12,7,5,1,1,40,70000,0,50,750000
827155,1,1,1,1,12,2,0,7,1,44,0,20000,50,500000
827155,2,2,1,1,12,2,0,7,1,44,0,20000,50,500000
827428,2,1,2,1,12,10,3,1,1,50,,0,10,500
850015,1,1,1,1,12,4,2,7,1,40,0,10000,50,15000
