nquest,numadd,numdip,quopro,forgiu,sedeit,fatlor,ym,debcr1,debcr2,debcr3,debcr4,debcr5,tfr,immob,valaz,ind1,ind2,ind3,ind4,attivp1,attivp2,attivp3,attivp4,mesilav1,mesilav2,mesilav3,mesilav4,oretot1,oretot2,oretot3,oretot4
683652,4,1,50,1,1,40000,37000,0,0,0,0,0,3000,2,600000,1,,,,1,,,,12,,,,50,,,
683957,2,0,100,8,1,20000,8000,0,0,0,0,0,,1,5000,1,3,,,1,2,,,8,8,,,20,40,,
684496,2,0,100,8,1,30000,20000,0,0,0,0,0,,2,0,1,2,,,1,1,,,12,12,,,50,50,,
684665,2,0,100,8,1,50000,18000,0,0,0,1500,0,,1,100000,1,3,,,1,1,,,12,4,,,50,50,,
685110,8,5,50,6,1,25000,15600,0,0,0,25000,1500,5,2,3500000,1,2,,,2,1,,,12,12,,,65,60,,
685417,2,2,100,9,1,40000,21000,0,0,0,7000,500,,2,80000,1,2,,,1,1,,,12,12,,,45,5,,
685664,8,5,33,7,1,12000,5000,50000,0,0,10000,8000,63800,1,300000,1,,,,1,,,,12,,,,40,,,
685956,1,0,100,8,1,24000,18000,0,0,0,0,0,,1,30000,2,,,,1,,,,12,,,,40,,,
686141,3,0,100,8,1,25000,8000,0,0,0,0,0,,1,100000,1,2,3,,1,1,1,,11,11,11,,80,80,80,
686326,4,2,100,8,1,25000,20000,0,0,0,0,0,4000,2,200000,2,,,,2,,,,12,,,,50,,,
686954,4,2,25,9,1,60000,19000,0,0,0,0,0,3000,2,60000,1,,,,1,,,,1,,,,1,,,
688127,1,0,100,8,1,20000,14000,0,0,0,0,0,,2,0,2,,,,1,,,,12,,,,50,,,
688264,1,0,100,8,1,15000,10000,0,0,0,0,0,,2,8000,1,,,,1,,,,12,,,,50,,,
700235,2,0,100,9,1,48000,30000,0,0,0,6000,0,,2,120000,1,2,,,1,1,,,12,12,,,50,40,,
700316,2,1,100,1,1,50000,27000,0,0,0,0,0,5000,2,0,1,,,,1,,,,12,,,,55,,,
700410,2,0,50,9,1,60000,30000,0,0,0,0,0,,2,20000,1,2,,,1,1,,,12,12,,,40,40,,
700714,2,0,100,8,1,50000,20000,0,0,0,0,0,,2,5000,1,2,,,1,1,,,12,12,,,40,40,,
701800,12,7,20,7,1,35000,22000,0,0,0,0,0,30000,1,100000,1,2,,,2,2,,,12,12,,,45,45,,
703746,2,0,100,8,1,50000,25000,0,0,0,10000,0,,2,15000,1,2,,,1,1,,,12,12,,,48,48,,
705140,2,0,100,8,1,50000,12000,0,27000,0,0,0,,2,25000,2,,,,2,,,,12,,,,5,,,
706456,2,0,100,8,1,50000,30000,120000,50000,20000,0,80000,,1,400000,3,4,,,1,1,,,12,12,,,60,60,,
706649,3,0,50,1,1,40000,30000,0,0,0,0,0,,2,40000,1,,,,1,,,,12,,,,30,,,
706914,2,0,100,8,1,75000,25000,0,35000,0,5000,0,,1,1800000,1,2,,,1,1,,,12,12,,,60,65,,
708044,1,1,100,8,1,150000,30000,110000,0,0,0,0,2,2,150000,1,,,,1,,,,12,,,,8,,,
708825,2,0,100,9,1,18000,3000,0,0,0,0,0,,1,20000,1,2,,,1,1,,,12,12,,,48,36,,
709614,3,0,100,8,1,40000,25000,0,0,0,0,20000,,2,30000,2,3,4,,1,1,1,,12,12,12,,50,45,45,
710064,4,2,100,8,1,25000,20000,12000,0,0,0,0,10000,1,500000,1,2,,,1,1,,,12,12,,,50,30,,
710547,3,1,100,8,1,20000,10000,0,0,0,0,0,30000,2,30000,1,2,3,,1,1,1,,12,12,12,,30,30,30,
