NQUEST,NORD,NCOMP,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,UNIVER1,ANNIUNIVER,NORDP,MOTENT,APQUAL,ASNONOC,APSETT,MOTIV,ANNOENUS,TIPOLAU,NASCREG,NASCAREA,IREG,AREA3,AREA5,ACOM4C,ETA,CLETA,CLETA5,QUAL,Q,SETT,CFRED,PERC,NPERC,PESOFIT,SALUTC,TIPODIP
814326,2,2,1,5,1990,2,2008,1,2,3,,,,,,,,,,17,,,,,,,,3,1,1,3,18,1,1,7,3,5,0,0,1,1.7502056401,,
814338,1,2,1,1,1932,1,,2,1,5,54,60,2,1951,2,,,,,15,5,2,,,,3,1,3,1,1,3,76,5,5,6,3,5,1,1,2,1.749972038,,2
814338,2,2,2,2,1938,1,,2,1,5,54,60,2,1958,2,,,,,15,2,9,,,,3,1,3,1,1,3,70,5,5,6,3,5,0,1,2,1.749972038,,2
814354,1,2,1,1,1928,1,,4,1,3,,,,,,,,,,15,2,9,,,,11,2,3,1,1,3,80,5,5,6,3,5,1,1,1,1.749972038,9,
814354,2,2,2,2,1936,1,,3,1,3,,,,,,,,,,13,,,,,,3,1,3,1,1,3,72,5,5,7,3,5,0,0,1,1.749972038,,
814384,1,2,1,1,1943,1,,3,1,7,110,110,1,1968,,2,,,,15,4,2,,,4,1,1,3,1,1,3,65,4,5,6,3,5,1,1,2,1.687104384,,3
814384,2,2,2,2,1948,1,,2,1,7,110,110,1,1973,,2,,,,15,3,9,,,9,1,1,3,1,1,3,60,4,4,6,3,5,0,1,2,1.687104384,,3
814390,1,2,1,1,1934,1,,2,1,5,7,10,2,1952,2,,,,,15,2,9,,,,3,1,3,1,1,3,74,5,5,6,3,5,1,1,2,1.749972038,,2
814390,2,2,2,2,1935,1,,2,1,2,,,,,,,,,,15,1,2,,,,3,1,3,1,1,3,73,5,5,6,3,5,0,1,2,1.749972038,,
814392,1,1,1,1,1970,1,,2,2,5,36,60,2,1991,2,,,,,2,,9,,,,9,2,3,1,1,3,38,2,2,2,1,3,1,1,1,2.8574891999,,2
814395,1,2,1,1,1946,1,,2,1,7,110,110,2,1972,,2,,,,5,,9,,,6,19,3,3,1,1,3,62,4,4,3,1,3,1,1,2,1.6256602179,,2
814395,2,2,2,2,1947,1,,2,1,7,100,110,2,1975,,2,,,,15,5,4,,,6,4,1,3,1,1,3,61,4,4,6,3,5,0,1,2,1.6256602179,,2
814413,1,4,1,1,1960,1,,2,1,8,110,110,1,1984,,2,,,,5,,9,,,6,1,1,3,1,1,3,48,3,3,3,1,3,0,1,2,1.7498046905,,3
814413,2,4,2,2,1962,1,,2,1,5,60,60,2,1982,1,,2,,,7,,4,,,,3,1,3,1,1,3,46,3,3,4,2,4,1,1,2,1.7498046905,,3
