nquest,npagcart,npagcaan,nprel1,nprel1an,prelmed1,pagam4u,pagam4,pagam4an,nprel2,nprel2an,prelmed2,assban,nassban,nassban2,assdep,limass,ammass,checkcc,checktipo,scont1,scont2,scont3,scont4
33335,2,,4,,200,1,3,,,5,500,1,,8,3,,,4,1,2,2,2,1
33336,1,,,5,200,2,,,,2,1000,1,,4,3,,,2,1,2,1,,
33455,,,,,,,,,0,,,1,,4,3,,,4,2,2,2,2,1
33479,2,,4,,250,2,,,0,,,2,,,3,,,4,3,2,2,1,
33631,,,4,,210,1,,8,,3,200,2,,,3,,,1,3,2,2,2,1
33684,,,,,,,,,2,,400,2,,,3,,,3,3,1,,,
33751,2,,2,,250,1,3,,,6,1000,2,,,1,1,100000,1,1,2,2,2,2
33777,,,,10,250,1,2,,1,,500,1,1,,2,,,2,1,1,,,
33778,,,1,,250,1,3,,,4,500,1,,4,1,1,100000,3,1,2,2,2,2
33814,5,,,2,250,1,2,,0,,,2,,,1,1,103000,1,1,2,2,2,2
33839,,,2,,200,2,,,,4,100,2,,,3,,,3,2,1,,,
33865,1,,2,,250,1,1,,0,,,1,,3,1,3,,2,1,2,2,1,
33983,3,,2,,500,2,,,2,,250,2,,,1,2,,2,2,2,2,2,2
33994,,,4,,200,1,,2,0,,,1,,2,3,,,3,3,2,1,,
34198,,,4,,150,2,,,,8,300,2,,,3,,,1,2,2,2,2,2
34211,,,,,,,,,,,,,,,,,,,,2,1,,
34230,,,,,,,,,2,,250,2,,,2,,,3,2,2,2,2,1
34252,,,,,,,,,1,,400,2,,,2,,,4,3,2,2,2,2
34269,,,,,,,,,,,,,,,,,,,,2,2,2,2
34377,,,,,,,,,,,,,,,,,,,,2,2,2,2
34525,,,,,,,,,1,,1200,2,,,2,,,3,2,2,2,2,2
34732,,,,,,,,,0,,,2,,,3,,,4,2,2,2,2,1
34793,,,,,,,,,0,,,2,,,2,,,3,2,2,2,2,2
34800,,,,,,,,,,,,,,,,,,,,2,2,2,2
34833,,,6,,200,2,,,0,,,1,,2,3,,,4,1,2,2,2,2
35022,,,2,,500,2,,,,3,1000,2,,,3,,,4,3,1,,,
35025,,,,,,,,,,,,,,,,,,,,2,2,2,1
