nquest,nord,intper,casd,casv,mobd,mobv,disd,disv,liqd,liv,aced,acev,ared,arev,aprd,aprv,acod,acov,ausd,ausv,aeld,aelv,aipd,aipv,borsad,borsav,rrd,rrv,rod,rov,alimd,alimv,altred,altrev
500155,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,2500,2,0,2,0,2,0,2,0,2,0,2,0
500160,3,1,1,700,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
500576,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,600,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
502355,3,2,2,0,2,0,2,0,2,0,2,0,1,500,2,0,2,0,2,0,2,0,2,0,1,500,2,0,2,0,2,0,2,0
502512,3,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1000,2,0,2,0,2,0,2,0
502512,4,4,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,5160,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
502512,5,5,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,5100,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
503561,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,15000,2,0,2,0,2,0,2,0
504889,1,1,2,0,2,0,2,0,1,55000,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
505022,3,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
505285,2,2,2,0,1,8400,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
505407,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,4000,1,4000,2,0,2,0
505421,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1500,1,8000,2,0,2,0
505454,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,180,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
505681,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,3000,2,0,2,0,2,0
506152,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,500
506184,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,5000
506782,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,6000
506894,1,1,2,0,1,659,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
506894,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,800,2,0,2,0,2,0,2,0
506979,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,10000
507081,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,400,2,0,2,0
507081,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,200,2,0,2,0
507081,4,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,200,2,0,2,0
507181,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,2000
507287,1,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,2000,2,0,2,0
507444,1,1,2,0,2,0,1,4200,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
507462,3,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1000,2,0,2,0
507462,4,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1000,2,0,2,0
