nquest,nord,figl,nfigl,altrf,desf1,desf2,motnf1,motnf2,motnf3,HAPPY
33773,3,,,,,,,,,
33773,4,,,,,,,,,
33781,1,,,,,,,,,7
33781,2,,,,,,,,,
33781,3,,,,,,,,,
33781,4,,,,,,,,,
33823,1,,,,,,,,,7
33877,1,2,,5,,,10,9,99,7
33877,2,,,,,,,,,
33882,1,,,,,,,,,7
33882,2,1,1,,1,,,,,
33882,3,,,,,,,,,
33888,1,,,,,,,,,5
33889,1,,,,,,,,,7
33889,2,1,1,,1,,,,,
33937,1,,,,,,,,,8
33937,2,1,2,,2,,4,10,99,
33937,3,,,,,,,,,
33937,4,,,,,,,,,
33941,1,,,,,,,,,7
33941,2,1,2,,1,,,,,
33985,1,,,,,,,,,8
33985,2,,,,,,,,,
33985,3,,,,,,,,,
33985,4,,,,,,,,,
33985,5,,,,,,,,,
34059,1,,,,,,,,,7
34059,2,,,,,,,,,
34199,1,,,,,,,,,8
34199,2,,,,,,,,,
34396,1,2,,2,,,,,,6
34396,2,,,,,,,,,
34513,1,,,,,,,,,8
34513,2,1,4,,1,,,,,
34513,3,,,,,,,,,
34513,4,2,,2,,,,,,
34541,1,,,,,,,,,7
34541,2,1,2,,1,,,,,
34738,1,,,,,,,,,9
34738,2,1,3,,1,,,,,
34738,3,,,,,,,,,
34778,1,,,,,,,,,6
34778,2,,,,,,,,,
34825,1,,,,,,,,,7
34825,2,,,,,,,,,
34825,3,,,,,,,,,
34825,4,,,,,,,,,
34886,1,,,,,,,,,7
34886,2,,,,,,,,,
34900,1,,,,,,,,,9
34900,2,1,2,2,,,,,,
34900,3,,,,,,,,,
34900,4,,,,,,,,,
35005,1,,,,,,,,,3
35005,2,,,,,,,,,
35234,1,,,,,,,,,10
35234,2,,,,,,,,,
35319,1,,,,,,,,,6
35322,1,,,,,,,,,7
35322,2,,,,,,,,,
35323,1,,,,,,,,,9
35323,2,,,,,,,,,
35340,1,,,,,,,,,8
35340,2,,,,,,,,,
35355,1,,,,,,,,,4
35372,1,1,2,,2,,1,2,99,8
35372,2,,,,,,,,,
35372,3,,,,,,,,,
35374,1,,,,,,,,,4
35374,2,,,,,,,,,
35374,3,,,,,,,,,
35374,4,,,,,,,,,
35374,5,,,,,,,,,
35379,1,,,,,,,,,9
35379,2,1,2,,1,,,,,
35379,3,,,,,,,,,
35401,1,,,,,,,,,6
35401,2,,,,,,,,,
35401,3,,,,,,,,,
35450,1,1,2,,1,,,,,4
35450,2,,,,,,,,,
35498,1,,,,,,,,,8
