nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm,nattivita
33985,2,1,1,1,1,1,12,1,,42,2,,22000,2,0,1
33985,3,1,1,1,1,1,12,2,4,36,2,,14500,2,0,1
33994,3,1,1,1,1,1,12,2,2,40,2,,13000,2,0,1
34059,1,1,1,1,1,1,12,1,,42,1,6,24000,2,0,1
34059,2,1,1,1,1,1,12,1,,36,2,,22000,2,0,1
34198,1,1,1,1,1,1,12,2,1,45,2,,13000,2,0,1
34252,1,1,1,1,1,1,12,2,3,40,2,,14400,2,0,1
34269,1,1,1,1,1,1,12,2,2,40,2,,18000,2,0,1
34269,2,2,1,1,1,1,12,2,2,42,1,0,21000,2,0,1
34396,1,1,1,1,1,1,12,2,2,40,2,,14300,2,0,1
34513,3,1,1,1,1,3,,2,2,30,2,,11000,2,0,1
34513,4,1,1,1,1,1,12,2,2,40,2,,11000,2,0,1
34738,1,1,1,1,1,1,12,1,,36,2,,19000,2,0,1
34778,2,1,1,1,1,1,12,2,1,40,2,,9600,2,0,1
34793,1,1,1,1,1,1,12,2,2,40,2,,20000,2,0,1
34793,4,4,1,1,1,1,12,2,1,30,2,,5000,2,0,1
34825,1,1,1,1,1,1,12,2,7,38,2,,22500,2,0,1
34825,2,1,1,1,1,1,12,1,,36,2,,20000,2,0,1
34825,4,1,1,2,2,1,12,2,5,20,1,3,11000,2,0,1
34833,3,1,1,2,2,3,,2,6,10,2,,2000,2,0,1
34833,3,1,2,1,2,2,3,2,3,40,2,,3000,2,0,2
34886,1,1,1,1,1,1,12,1,,40,2,,45500,2,0,1
34900,1,1,1,1,1,1,12,2,4,40,2,,19500,2,0,1
35022,1,1,1,1,3,1,12,2,5,60,2,,18000,2,0,1
35032,1,1,1,1,1,1,12,1,,38,1,2,18000,2,0,1
35032,2,2,1,1,1,1,12,2,7,36,2,,18000,1,72,1
35366,1,1,1,1,1,1,12,1,,36,2,,16000,2,0,1
35366,2,1,1,1,1,1,12,1,,20,2,,19000,2,0,1
35372,1,1,1,1,1,1,12,1,,36,1,0,17000,2,0,1
35374,2,1,1,1,1,1,12,1,,22,2,,17000,2,0,1
35399,1,1,1,1,1,1,12,2,7,40,2,,26000,1,700,1
35399,2,1,1,1,1,1,12,1,,18,2,,22000,2,0,1
35399,3,1,1,1,1,1,12,2,6,25,2,,24000,2,0,1
35401,3,3,1,1,1,1,12,2,2,40,2,,13000,2,0,1
35458,2,1,1,1,1,1,12,2,4,40,2,,14000,2,0,1
35498,3,1,1,1,1,1,12,2,7,40,2,,19500,1,2000,1
35502,2,2,1,1,2,2,4,2,2,30,2,,5000,2,0,1
35507,1,1,1,1,1,1,12,1,,36,1,2,21000,1,750,1
35507,4,1,1,1,1,1,12,1,,18,2,,22000,2,0,1
35512,1,1,1,1,1,1,12,2,5,40,2,,21000,2,0,1
35520,3,1,1,2,1,1,12,2,5,20,2,,6500,2,0,1
35588,1,1,1,1,1,1,12,1,,36,2,,22100,1,500,1
35647,3,1,1,1,1,1,12,1,,36,2,,14300,2,0,1
35682,2,1,1,1,1,1,12,2,7,40,2,,24000,2,0,1
35735,1,1,1,1,1,1,12,2,4,40,2,,33000,2,0,1
35735,2,2,1,1,1,1,12,2,2,40,2,,22400,2,0,1
35735,3,1,1,1,1,1,12,2,2,35,2,,13000,2,0,1
35788,1,1,1,1,1,1,12,1,,36,2,,18000,1,60,1
35812,3,1,1,1,1,1,12,2,2,45,1,5,18000,1,1500,1
35862,3,1,1,1,1,1,12,2,7,40,2,,20000,2,0,1
36067,3,3,1,2,1,1,12,2,2,25,2,,10500,2,0,1
36073,1,1,1,2,1,1,12,2,2,20,1,0,4060,2,0,1
36120,1,1,1,1,2,2,3,1,,36,2,,2700,2,0,1
36120,2,2,1,1,1,1,12,2,6,40,1,8,18000,2,0,1
36120,3,1,1,2,2,2,2,2,1,12,2,,1200,2,0,1
36130,1,1,1,1,1,1,12,2,4,45,1,5,25000,2,0,1
36130,2,2,1,2,2,1,12,2,6,20,2,,4500,2,0,1
36131,1,1,1,1,1,1,12,1,,50,2,,20500,2,0,1
36131,2,2,1,1,1,1,12,1,,50,2,,19500,1,800,1
36146,4,1,1,1,1,1,12,2,2,39,1,4,11000,2,0,1
36164,1,1,1,1,1,1,12,2,5,45,1,10,12000,2,0,1
36164,2,2,1,2,1,1,12,2,1,10,2,,4500,2,0,1
36164,3,1,1,1,2,1,12,2,5,40,2,,5400,2,0,1
36164,4,1,1,1,2,1,12,2,2,40,2,,3600,2,0,1
36250,1,1,1,1,1,1,12,1,,40,2,,15600,2,0,1
36311,1,1,1,1,1,1,12,1,,42,1,2,20000,2,0,1
36333,1,1,1,1,1,1,12,2,2,42,2,,14000,2,0,1
36378,2,2,1,2,2,1,12,2,5,20,1,5,9000,1,1000,1
36378,4,1,1,1,1,1,12,2,2,40,1,10,17000,2,0,1
36409,1,1,1,1,1,1,12,1,,45,2,,21000,2,0,1
36409,2,1,1,1,1,1,12,1,,50,1,5,16000,2,0,1
36409,3,1,1,1,1,1,12,2,7,40,2,,14000,2,0,1
36415,3,1,1,1,1,1,12,2,1,40,1,2,12500,2,0,1
36427,1,1,1,1,1,2,6,2,5,40,2,,7000,2,0,1
