nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
22273,2,0,0,5980,0,0,0,0,0,0,5980,0,0,5980,0,0,0,0,0,0,0,0,0,0,5980,0,0
22274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.136,0,869.45,0,1565.586,1565.586,1565.586,0,0
22274,2,0,0,18200,0,0,0,0,0,0,18200,0,0,18200,0,0,0,0,0,0,0,0,0,0,18200,0,0
22276,1,0,0,14560,0,0,0,0,0,0,14560,0,0,14560,0,0,1200,1200,969.73946061,2173.625,0,0,3143.3644606,4343.3644606,18903.364461,0,0
22276,2,0,0,11700,0,0,0,0,0,0,11700,0,0,11700,0,0,0,0,0,0,0,0,0,0,11700,0,0
22277,1,16000,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,6000,6000,103.24482585,0,1158.0494758,0,1261.2943016,7261.2943016,23261.294302,0,0
22277,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,15000,15000,0
22279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,3600,3600,23.719515524,227.05874213,0,0,250.77825765,3850.7782577,18850.778258,15000,0
22279,2,8000,200,0,0,0,0,0,0,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8200,0,0
22286,1,0,0,10400,0,0,0,0,0,0,10400,0,0,10400,0,0,7200,7200,109.41918214,0,513.49393057,0,622.91311271,7822.9131127,18222.913113,0,0
22286,2,15000,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0
22292,1,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,4800,5300,10100,186.70539733,2173.625,0,0,2360.3303973,12460.330397,21560.330397,0,0
22292,2,0,0,13930,0,0,0,0,0,0,13930,0,0,13930,0,0,0,0,0,0,0,0,0,0,13930,0,0
22353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,70.581884267,0,0,328.944,-258.3621157,11741.637884,11741.637884,0,0
22353,2,0,0,21450,0,0,0,0,0,0,21450,0,0,21450,0,0,0,0,0,0,0,0,0,0,21450,0,0
22353,3,11100,0,0,0,0,0,0,0,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11100,0,0
22516,1,0,0,12350,0,0,0,0,0,0,12350,0,0,12350,0,0,4800,4800,261.051,0,2217.0975,0,2478.1485,7278.1485,19628.1485,0,0
22516,2,15600,0,0,0,0,0,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15600,0,0
22624,1,0,0,0,0,817,0,0,0,0,0,0,817,817,0,0,1800,1800,0,0,0,43.420608,-43.420608,1756.579392,2573.579392,0,0
22624,3,5700,0,0,0,0,0,0,0,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,0,0
22624,4,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0
22657,1,21400,0,0,0,0,0,0,1000,21400,0,-1000,-1000,-1000,0,0,30000,30000,348.068,3043.075,0,0,3391.143,33391.143,53791.143,0,0
22657,2,5500,0,11700,0,0,0,0,0,5500,11700,0,0,11700,7019.3076821,0,0,0,0,0,0,0,0,0,24219.307682,7019.3076821,0
22850,1,21450,0,0,0,0,0,0,0,21450,0,0,0,0,0,0,10200,10200,139.2272,0,1869.3175,0,2008.5447,12208.5447,33658.5447,0,0
22850,2,0,0,11310,0,0,0,0,0,0,11310,0,0,11310,0,0,0,0,0,0,0,0,0,0,11310,0,0
