nquest,nopco,stupco,conpco,setpco,nomco,stumco,conmco,setmco
56563,1,1,1,1,1,1,9,
56572,1,2,1,1,1,2,9,
56575,1,1,8,1,1,2,8,1
56577,1,1,1,1,1,1,9,
56582,1,2,1,1,1,2,1,1
56608,1,1,1,4,1,1,9,
56632,,,,,,,,
56680,1,1,8,4,1,1,9,
56721,1,2,1,4,1,1,9,
56761,1,1,1,2,1,1,9,
56762,1,1,1,2,1,1,9,
56765,1,2,1,4,1,2,9,
57043,1,1,10,,2,,,
57138,1,2,8,1,1,2,9,
57217,2,,,,2,,,
57546,1,2,1,2,1,2,9,
57609,1,1,1,2,1,1,9,
57616,1,2,8,4,1,2,9,
57621,1,1,8,4,1,1,8,4
57670,,,,,,,,
58042,,,,,,,,
60078,1,1,1,1,1,1,1,1
91079,1,3,2,3,1,2,9,
91081,1,2,8,4,1,2,8,4
121067,,,,,,,,
137008,1,2,1,2,1,3,9,
138399,1,2,1,2,1,2,9,
176011,1,2,1,3,1,1,9,
176057,1,2,8,4,1,2,8,4
176068,1,3,2,3,1,2,9,
178001,,,,,,,,
178058,1,2,1,3,1,1,9,
193016,,,,,,,,
193082,1,3,1,2,1,3,1,4
213440,1,2,1,2,1,2,9,
215011,,,,,,,,
216022,1,2,8,4,1,2,8,4
230003,1,1,1,1,1,1,1,1
230029,1,2,8,1,1,2,9,
230030,,,,,,,,
230039,1,7,10,,1,7,10,
230043,,,,,,,,
230048,,,,,,,,
244004,,,,,,,,
244064,1,2,1,1,1,2,9,
250005,2,,,,2,,,
250037,,,,,,,,
250039,,,,,,,,
256015,1,2,1,2,1,3,9,
279054,1,1,1,1,1,1,9,
284086,1,1,1,4,1,1,9,
285054,1,1,1,1,1,1,9,
305042,1,2,8,1,1,2,8,1
310001,,,,,,,,
310002,1,1,1,2,1,1,9,
310040,,,,,,,,
310066,,,,,,,,
321009,2,,,,2,,,
330057,,,,,,,,
333081,1,4,2,3,1,4,9,
343010,1,2,1,2,1,2,1,2
350068,,,,,,,,
355063,,,,,,,,
365034,1,1,1,2,1,1,9,
387029,1,2,8,4,1,2,9,
389029,2,,,,2,,,
500160,2,,,,2,,,
500176,1,1,1,1,1,1,1,1
500180,,,,,,,,
500280,1,3,2,3,1,2,9,
500356,,,,,,,,
500412,2,,,,2,,,
500575,1,1,1,2,1,1,1,1
500584,2,,,,2,,,
500594,,,,,,,,
