nquest,servb1,servb2,servb3,servb4,servb5,servb6,servb7,servb8,servb9,servb10,servb11,servb12,servb13,servb14,depc,ndepc,idepc,lib,nlib,ilib,unaban,banche,scoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,scorta,spesecon,compusa,compcasa,internet,ebuy,coldis,utscoper
687883,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,200,800,2,,,,2,
687888,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,3,2,,,1,1,2,,,2,,,,,1,2,2,,500,1800,1,1,1,2,2,
687892,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,2,2,1,1,,,,2,,,,,2,,2,,300,1000,2,,,,2,
687893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,2,,,1,1,2,,,2,,,,,1,3,2,,300,1800,1,1,2,,2,
687894,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,,,1,1,2,,,2,,,,,1,1,2,,300,1200,1,1,1,2,2,
687897,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,300,1200,2,,,,2,
687900,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,300,300,2,,,,2,
687915,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,1,1,1,1,1,,,,2,,,,,1,1,2,,100,450,2,,,,2,
687916,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,200,1200,2,,,,2,
687917,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,2,,,,,1,2,2,,150,1000,2,,,,2,
687923,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,100,800,2,,,,2,
687933,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,200,450,2,,,,2,
687934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,350,900,2,,,,2,
687938,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,50,500,2,,,,2,
687939,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,400,1000,1,1,1,1,1,
687950,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,1,,,1,1,2,,,1,2,1,1,500,500,1,1,1,1,2,2
687953,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,2,,,2,2,2,,,1,1,1,,,1,2,2,,200,1200,1,1,1,2,2,
687955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,300,1500,2,,,,2,
687961,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,2,2,1,,,2,,,,,1,2,1,1,200,1000,2,,,,2,2
687971,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,2,3,1,2,,1,1,3,2,,1,2,2,,200,300,2,,,,2,2
687981,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,,,1,1,2,,,1,1,1,,,1,2,2,,300,600,2,,,,2,
687986,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,50,350,2,,,,2,
687987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,1,1500,2,,,,,2,,2,,600,1200,2,,,,2,1
687988,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,200,300,2,,,,2,
687990,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,3,2,,,1,1,2,,,2,,,,,2,,2,,500,800,2,,,,2,
687992,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,2,,,,,1,2,2,,500,2500,1,1,1,2,2,
687993,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,2,2,2,,,2,,,,,1,3,2,,300,1500,1,1,1,2,2,
687997,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,400,400,2,,,,2,
688003,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,,,1,1,1,,,2,,,,,1,2,2,,200,300,2,,,,2,2
688009,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,50,400,2,,,,2,
688018,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,1,2,,1000,2000,1,1,2,,2,
688022,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,2,,,1,1,2,,50,250,2,,,,2,
688033,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,4,2,,,1,1,3,,,1,1,2,,,1,1,2,,300,2000,1,1,1,1,2,
688086,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,1,1,2,,,1,2,2,,300,1500,1,1,1,2,2,
688089,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,1,2,,100,400,1,1,1,1,1,
688097,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,500,600,2,,,,2,
688099,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,500,600,2,,,,2,
688104,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,200,800,2,,,,2,
688111,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,2,,,1,1,1,,,1,1,2,,,1,1,2,,400,1000,1,1,1,1,2,2
688123,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,1500,1500,2,,,,2,
688127,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,2,2,,,1,1,3,,,2,,,,,1,2,2,,600,1000,1,1,1,2,2,
688128,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,600,1000,2,,,,2,
688139,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,2,2,1,2,2,2,4,1,,,1,7,2,,,1,3,1,1,200,500,1,1,1,1,1,2
688142,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,2,2,,,1,1,2,,,1,1,1,,,1,2,2,,200,300,1,1,1,2,1,
688149,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,2,,2,,,,,1,1,2,,100,1000,2,,,,2,2
688157,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,150,900,1,1,1,2,2,
688159,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,150,800,2,,,,2,
688162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,,1,1,1,,,2,,,,,1,1,2,,500,1100,2,,,,2,2
688172,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,150,1200,1,1,1,2,2,
688179,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,2000,1,2,1,,,1,2,2,,50,100,1,1,1,1,1,1
688194,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,,1,1,2,,,1,2,2,,,1,2,1,1,100,200,1,1,1,2,2,
688196,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,2,,,,,1,1,2,,50,800,2,,,,2,2
688204,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,1,2,2,,,1,2,1,1,250,2000,1,1,1,1,2,2
688210,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,500,500,2,,,,2,
688212,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,500,1300,1,1,2,,2,
688214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,500,500,1,2,1,2,2,
688219,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,3,2,2,,,2,2,1,2,,1,4,2,,,1,3,2,,1000,3000,1,1,1,1,1,2
688222,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,2,,,,,1,1,2,,50,500,2,,,,2,2
688226,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,500,500,1,1,1,2,2,
688228,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,1200,1200,1,1,1,2,2,
688231,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,2,,,1,1,1,,,1,1,2,,,1,1,2,,200,500,1,1,1,2,1,2
688233,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,,,1,1,1,,,1,1,2,,,1,1,2,,200,350,1,1,1,2,1,2
688250,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,1,,,2,,,,,2,,2,,250,750,2,,,,2,2
688252,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,3,2,2,,,1,1,3,,,1,1,1,,,1,3,1,2,20,200,1,1,1,2,1,
688264,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,2,,,,,2,,2,,300,2000,2,,,,2,
688275,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,2,,,,,2,,2,,300,1100,2,,,,2,
688276,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,2,,,,,2,,2,,300,1500,2,,,,2,
688277,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,2,2,1,1,1,2,2,1,,,2,,,,,2,,2,,200,1300,1,1,1,2,2,2
688282,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,100,700,2,,,,2,
688287,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,200,600,1,1,1,2,2,
688296,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,,,2,2,1,,,1,1,2,,,1,1,2,,1500,1300,1,1,1,2,2,2
688300,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,2,2,3,,,1,1,1,,,1,1,2,,500,1000,1,1,1,2,1,
688323,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,2,2,3,,,1,1,2,,,1,1,2,,200,1300,1,1,1,2,1,
688324,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,50,1000,2,,,,2,
688325,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,3,1,1200,1,1,2,,300,1350,1,1,1,2,2,
688326,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,1,1,2,,,1,2,2,,250,1200,2,,,,2,
688338,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,1000,1000,2,,,,2,
688339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,2,,2,,,,,1,1,2,,0,1000,1,1,1,1,2,2
688344,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,2,,,,,1,1,2,,20,800,2,,,,2,
688351,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,800,600,2,,,,2,
688360,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,300,700,1,1,2,,2,
688377,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,3,2,,2000,2000,1,1,1,2,2,
688385,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,2,,,1,1,1,,,1,2,2,,50,1000,2,,,,2,
688390,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,3,4,2,,,1,1,3,,,2,,,,,1,3,1,1,100,500,1,1,1,1,1,
688444,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,300,600,2,,,,2,
700011,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,400,1300,1,1,1,1,2,2
700037,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,400,800,2,,,,2,
700067,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,800,800,1,2,1,2,2,
700073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,300,800,2,,,,2,
700201,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,2,,,1,1,2,,,2,,,,,1,2,2,,500,500,2,,,,2,
700213,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,,,1,1,2,,,2,,,,,1,2,2,,500,1000,1,1,1,1,2,
700221,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,200,600,2,,,,2,
700234,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,200,500,2,,,,2,
700235,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,,1,1,1,,,1,1,2,,,1,2,2,,400,900,2,,,,2,2
700306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,2,1,1,,,,2,,,,,2,,2,,1200,1000,1,1,1,2,2,
700316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,2,,,2,,,,,1,1,2,,400,1500,1,1,1,2,2,
700403,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,2,2,,1000,1000,1,1,1,1,1,2
700410,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,1,,,1,1,2,,400,400,1,1,1,2,2,
700508,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,5,2,,,1,1,3,,,2,,,,,1,3,2,,100,1500,1,1,2,,2,
700531,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,,1,1,3,,,2,,,,,1,1,1,1,150,1200,1,1,1,1,1,
700622,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,2,,,1,1,2,,400,600,2,,,,2,
700624,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,600,800,2,,,,2,
700643,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,2,,,1,1,2,,,2,,,,,2,,2,,600,800,1,1,2,,2,
700651,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,1,,,1,1,2,,500,700,1,1,2,,2,
700714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,1,10000,1,1,1,,,1,1,2,,500,500,2,,,,2,1
700715,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,400,550,2,,,,2,
700719,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,2,,2,,,,,1,1,2,,600,600,2,,,,2,2
700729,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,250,400,2,,,,2,
700730,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,300,400,2,,,,2,
700738,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,2,,,1,1,2,,400,500,2,,,,2,
700740,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,800,800,2,,,,2,
700752,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,2,,,1,1,2,,,1,1,1,,,1,2,2,,700,700,1,1,2,,2,
700818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,2,,,,,1,1,2,,150,900,2,,,,2,
700826,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,300,1500,2,,,,2,2
700833,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,100,500,2,,,,2,
700839,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,1,1,1,1,1,,,,2,,,,,1,1,2,,200,500,2,,,,2,
700913,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,1,2,,150,600,2,,,,2,
700938,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,50,400,2,,,,2,
700950,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,250,1000,1,1,1,2,2,
701002,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,,,1,1,3,,,1,1,2,,,1,1,2,,400,600,1,1,1,2,2,
701012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,1,1,,1,1,2,,,1,1,2,,,1,2,2,,500,1200,1,1,1,2,1,
701035,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,3,,,2,,,,,2,,2,,250,2000,1,1,1,2,2,
701037,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,1,,,1,1,1,,,1,2,2,,500,1200,1,1,1,2,1,2
701059,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,,1,1,2,,,2,,,,,1,2,2,,500,1000,1,1,2,,2,
701105,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,800,800,2,,,,2,
701111,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,2,,,1,1,2,,,2,,,,,2,,2,,800,800,2,,,,2,
701229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,500,500,2,,,,2,
701240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,600,600,2,,,,2,
701324,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,5,3,1,2,1,1,1,1,2,,1,3,2,,,1,3,1,1,50,600,1,1,1,1,1,2
701336,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,2,,,1,1,2,,,1,1,2,,100,350,1,2,1,1,1,
701361,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,2,1,2,2,1,1,1,,,2,,,,,1,2,1,1,200,500,1,1,1,1,2,2
701401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,100,800,2,,,,2,
701436,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,600,600,2,,,,2,
701514,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,300,300,2,,,,2,
701527,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,20,100,2,,,,2,
701531,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,300,600,2,,,,2,
701536,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,,,1,1,1,1,5000,2,,,,,2,,2,,50,300,1,1,1,2,2,1
701553,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,2,,,,,1,1,2,,50,1200,1,1,1,2,2,2
701579,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,4,2,,,1,1,1,,,1,4,2,,,1,4,2,,100,300,1,1,1,1,2,2
701604,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,,,2,2,2,,,2,,,,,2,,2,,150,600,2,,,,2,
701620,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,500,700,2,,,,2,
701638,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,2,,,1,1,2,,,1,1,2,,150,200,2,,,,2,
701647,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,1,2,,500,800,2,,,,2,
701650,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,1,2,,200,500,1,1,1,1,1,
701653,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,250,800,2,,,,2,
701668,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,2,,,2,,,,,1,1,2,,200,200,2,,,,2,
701727,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,,1,1,2,,,2,,,,,2,,2,,250,900,2,,,,2,
701800,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,2,,,1,1,2,,200,400,1,1,1,2,2,
701809,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,2,1,1,1,2,2,2,,,1,2,2,,,1,2,2,,200,600,1,1,1,2,2,
701872,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,200,600,2,,,,2,
702017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,,,1,1,1,,,1,1,1,,,2,,2,,800,600,2,,,,2,2
702020,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,1,1,2,,,1,1,2,,500,700,2,,,,2,
702023,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,1100,1000,2,,,,2,
702033,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,400,1000,2,,,,2,2
702046,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,,,2,,,,,2,,2,,500,550,2,,,,2,
702053,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,1,2,2,1,1,,,,2,,,,,2,,2,,1000,1000,2,,,,2,
702056,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,1,,,1,1,2,,500,800,2,,,,2,
702062,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,,,2,,,,,2,,2,,400,400,2,,,,2,
702150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,100,600,1,2,1,2,2,
702235,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,300,600,2,,,,2,
702428,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,500,500,2,,,,2,
702432,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,,,1,1,2,,,1,1,2,,,1,2,2,,400,700,1,1,1,1,1,
702613,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4,2,,,2,3,2,,,1,4,1,,,1,4,1,4,100,2000,1,1,1,1,1,
702638,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,150,400,2,,,,2,
702643,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,80,1000,1,1,1,1,1,
702656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,2,,,1,2,1,,,1,2,2,,200,1000,1,1,1,1,1,
702723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,3,,,2,,,,,2,,2,,100,500,2,,,,2,
702771,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,3,,,2,,,,,1,1,2,,200,700,2,,,,2,
702827,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,1,1,300,1000,1,1,1,2,2,
702839,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,,,1,1,3,,,1,1,2,,,1,1,2,,500,600,2,,,,2,
702844,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,100,950,2,,,,2,
702853,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,3,1,1,2,2,2,1,,,1,1,1,,,1,2,2,,500,750,1,1,1,1,2,2
702937,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,100,600,2,,,,2,
702954,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,50,500,2,,,,2,
702964,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,2,,,2,3,2,,,2,,,,,1,2,2,,50,250,1,1,1,2,1,
703122,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,400,900,1,1,2,,2,
703258,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,2,2,1,1,,2,2,1,,,1,1,2,,,1,1,2,,250,1400,1,1,1,2,1,2
703601,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,1,1,2,2,2,,,2,,,,,1,2,2,,200,1000,1,1,1,2,2,
703712,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,1,,,1,2,2,,500,500,1,1,1,2,2,
703716,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,500,500,2,,,,2,
703717,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,2,,,1,1,2,,,1,1,1,,,1,2,2,,500,500,2,,,,2,
703735,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,200,400,1,1,1,2,2,
703745,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,200,250,2,,,,2,
703746,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,500,500,2,,,,2,
703751,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,500,500,2,,,,2,
