nquest,servb1,servb2,servb3,servb4,servb5,servb6,servb7,servb8,servb9,servb10,servb11,servb12,servb13,servb14,depc,ndepc,idepc,lib,nlib,ilib,unaban,banche,scoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,scorta,spesecon,compusa,compcasa,internet,ebuy,coldis,utscoper
22277,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,1,2,,200,1000,1,1,1,2,2,2
22279,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,2,,,,,1,1,2,,500,1000,1,1,1,2,2,
22286,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,2,,,2,2,2,,,2,,,,,1,3,2,,200,1000,2,,,,2,
22292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,150,1400,2,,,,2,
22353,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,2,2,2,,,2,,,,,1,1,2,,600,850,1,1,1,1,2,
22516,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,2,2,2,,,2,2,1,,,1,1,2,,,1,1,2,,500,1800,1,2,1,2,1,2
22624,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,100,600,2,,,,2,
22657,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,1,2,2,,,1,2,2,,500,500,1,1,1,2,1,2
22850,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,2,2,,,1,1,1,,,2,,,,,1,1,2,,200,1800,1,1,1,2,1,2
22891,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,300,1800,2,,,,2,
22995,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,2,,,1,1,2,,450,600,1,1,2,,2,
22996,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,1,,1,1,2,,,1,1,1,,,1,1,2,,600,600,2,,,,2,
23193,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,600,600,2,,,,2,
23370,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,150,400,1,1,1,2,2,2
23384,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,,,2,2,2,,,1,2,1,,,1,1,2,,50,1000,2,,,,2,
